targets,yards_per_coverage_snap,draft_season,missed_tackles,catch_rate,team_name,tackles,coverage_percent,jersey_number,dropped_ints,player_game_count,eligible_season,grades_tackle,yards,receptions,forced_incompletion_rate,grades_coverage_defense,interceptions,snap_counts_coverage,grades_run_defense,snap_counts_pass_play,penalties,forced_incompletes,team,coverage_snaps_per_target,stops,declined_penalties,position,longest,missed_tackle_rate,grades_defense,yards_per_reception,grades_defense_penalty,player,franchise_id,yards_after_catch,avg_depth_of_target,pass_break_ups,qb_rating_against,coverage_snaps_per_reception,assists,grades_pass_rush_defense,player_id,touchdowns
0,0,2008,3,,ARZ,4,0.6,93,0,17,2008,35.5,0,0,,69.2,0,2,69.2,341,1,0,ARZ,,8,1,DI,,37.5,72.2,,73.1,Calais Campbell,1,0,,0,0,,1,65.1,4364,0
0,0,2010,0,,TB,0,12,91,0,3,2010,20.3,0,0,,61.8,0,3,28.7,25,0,0,TB,,0,0,ED,,,37.2,,77.1,Jason Pierre-Paul,30,0,,0,0,,0,57.4,5540,0
2,0.5,2011,1,100,WAS,3,4,24,0,17,2011,47.7,6,2,0,47.1,0,12,67.2,301,1,0,WAS,5.5,9,0,ED,6,20,64.4,3,70.4,Von Miller,32,5,0.5,0,79.2,5.5,1,62.4,6154,0
3,1.2,2011,3,100,NO,6,5.1,94,0,17,2011,73,21,3,0,76.9,0,18,82.1,354,0,0,NO,5.7,15,0,ED,12,30,76,7,88.3,Cameron Jordan,20,19,0.7,0,95.8,5.7,1,59.5,6176,0
0,0,2011,1,,PIT,7,1.1,97,0,18,2011,69.8,0,0,,67.2,0,6,84.4,538,4,0,PIT,,9,1,DI,,11.1,90.4,,50.4,Cameron Heyward,25,0,,0,0,,1,85.6,6183,0
59,1,2012,4,74.6,WAS,38,88.4,54,0,17,2012,90.5,569,44,3.4,51.1,2,588,90.3,665,2,2,WAS,9.4,17,1,LB,69,7.8,78.6,12.9,48.5,Bobby Wagner,32,421,4.1,2,107.2,12.6,9,92.4,7050,3
69,1,2012,15,85.5,TB,40,85.8,54,1,17,2012,48.3,549,59,2.9,45.1,1,576,66.2,671,3,2,TB,7.9,20,1,LB,24,22.7,52.6,9.3,86.6,Lavonte David,30,297,6,2,132.4,9.3,11,48.6,7060,8
48,0.7,2012,7,93.8,NO,30,88.1,56,0,17,2012,67.1,364,45,4.2,70.3,0,517,88.9,587,2,2,NO,10.3,16,0,LB,22,15.9,81.4,8.1,70.5,Demario Davis,20,277,2.3,2,112.2,11,7,57.4,7079,2
28,0.6,2012,6,75,MIN,26,89.8,22,1,15,2012,45.6,230,21,10.7,69,2,388,61.7,432,2,3,MIN,13.1,10,0,S,30,17.6,68.9,11,63.5,Harrison Smith,18,104,8.6,3,81,17.5,2,71.5,7641,1
40,1.3,2013,3,70,PIT,23,99.7,23,1,10,2013,50.6,396,28,12.5,58.6,0,329,54.2,330,0,5,PIT,7.7,5,0,CB,81,10,58.3,14.1,84.9,Darius Slay,25,166,10.9,3,126.7,11,4,60,7817,3
0,0,2013,1,,BLT,0,1.2,94,0,17,2013,53.2,0,0,,59.9,0,3,60.4,258,1,0,BLT,,1,0,DI,,100,64.7,,74.2,John Jenkins,3,0,,0,0,,0,66.3,7863,0
13,0.4,2013,4,69.2,BUF,17,98.2,21,1,11,2013,63.3,91,9,15.4,62.8,1,222,71.4,226,1,2,BUF,15.8,3,0,S,20,16,68.6,10.1,81.3,Jordan Poyer,4,65,6.5,2,82.5,22.9,4,71.7,8000,1
14,0.2,2013,3,64.3,LAC,28,96.6,23,0,14,2013,60.7,62,9,21.4,72.6,4,346,61,358,1,3,LAC,23.4,8,0,S,20,8.1,70.8,6.9,35.3,Tony Jefferson,27,43,11.7,3,34.5,36.4,6,71.7,8361,0
0,0,2014,3,,DAL,2,1.7,42,0,13,2014,54.1,0,0,,62.9,0,4,70.6,231,4,0,DAL,,10,1,ED,,60,79.2,,25.7,Jadeveon Clowney,9,0,,0,0,,0,80.6,8636,0
3,0.9,2014,2,100,LAC,4,4.8,52,0,13,2014,55.9,12,3,0,74.7,0,15,77.2,311,0,0,LAC,4.7,9,0,ED,6,33.3,79.2,4,88.1,Khalil Mack,27,3,3,0,83.3,4.7,0,67.5,8640,0
2,1.9,2014,11,100,SEA,8,3,00,0,19,2014,33,28,2,0,84.9,0,15,83.7,502,2,0,SEA,7.5,13,1,ED,15,52.4,82.1,14,82.2,DeMarcus Lawrence,29,21,3.5,0,118.8,7.5,2,64.5,8669,0
4,0.5,2014,2,50,BLT,6,12.9,53,0,15,2014,53.9,22,2,25,83.2,1,50,76.7,388,2,1,BLT,11.8,7,0,ED,13,25,63,11,57.4,Kyle Van Noy,3,11,7.3,1,27.1,23.5,0,51.8,8675,0
0,0,2014,0,,BLT,1,2.9,97,0,15,2014,37.8,0,0,,60.3,0,4,63.7,137,1,0,BLT,,2,0,DI,,0,58.6,,62.8,Brent Urban,3,0,,0,0,,1,51.1,8769,0
0,0,2014,1,,CLV,3,0.4,93,0,17,2014,39.3,0,0,,62.6,0,1,64.4,262,4,0,CLV,,2,0,DI,,25,61.9,,30.5,Shelby Harris,8,0,,0,0,,0,60.8,8869,0
0,0,2014,0,,KC,1,0.7,69,0,16,2014,66.2,0,0,,66.5,0,1,55.6,139,0,0,KC,,0,0,DI,,0,55.2,,85.3,Mike Pennel,16,0,,0,0,,1,51,9316,0
2,2,2015,1,50,DAL,2,3.5,13,0,17,2015,53.2,18,1,50,64.1,0,9,67.8,257,0,1,DAL,4.5,4,0,ED,18,33.3,77.6,18,87.8,Dante Fowler Jr.,9,10,9.5,1,81.3,9,0,72.8,9436,0
1,-0.1,2015,5,100,SEA,13,2.6,99,0,20,2015,41.7,-1,1,0,68.7,0,17,71.6,657,4,0,SEA,17,17,0,DI,-1,23.8,76.1,-1,56.2,Leonard Williams,29,7,-8,0,79.2,17,3,70.1,9439,0
0,0,2015,3,,JAX,2,2.4,91,0,17,2015,47.5,0,0,,57.8,0,12,59.6,497,0,0,JAX,,6,0,DI,,50,63.1,,87.8,Arik Armstead,15,0,,0,0,,1,61.8,9450,0
6,1.2,2015,1,83.3,LAC,4,14.8,48,0,16,2015,53.7,39,5,0,59.3,0,35,61.7,237,1,0,LAC,5.5,6,0,ED,19,16.7,54.8,7.8,66.7,Bud Dupree,27,34,2.7,0,93.8,6.6,1,50.8,9455,0
37,0.8,2015,9,78.4,BUF,25,86.9,45,1,13,2015,35,223,29,5.4,72.2,1,279,60.6,321,0,2,BUF,7.2,9,0,LB,24,25,69,7.7,84.8,Shaq Thompson,4,167,4.5,2,89.5,9.1,2,60.8,9458,1
9,1.3,2015,0,100,SF,9,84.2,43,0,4,2015,82.9,79,9,11.1,59.9,0,64,58.9,76,0,1,SF,6.9,3,0,LB,19,0,57.6,8.8,80.1,Eric Kendricks,28,49,3.3,1,103.2,6.9,1,47.7,9478,0
20,1.2,2015,3,85,LAC,13,96.5,06,3,11,2015,55.3,192,17,15,50.5,0,167,67.7,173,1,3,LAC,8,3,0,LB,27,15,57.1,11.3,29.2,Denzel Perryman,27,125,4,3,106.7,9.4,4,53,9481,0
0,0,2015,0,,BUF,1,1,52,0,11,2015,72.6,0,0,,60.1,0,1,29.4,100,1,0,BUF,,1,0,DI,,0,34,,52.6,Jordan Phillips,4,0,,0,0,,0,61.2,9485,0
1,3.3,2015,7,100,HST,2,0.5,55,0,19,2015,49.2,10,1,0,54.7,0,3,60.8,566,1,0,HST,3,19,0,ED,10,70,89.9,10,86.3,Danielle Hunter,13,0,10,0,108.3,3,1,90.8,9521,0
0,0,2015,3,,CHI,6,0.6,50,0,16,2015,60.5,0,0,,68.9,0,3,42,484,2,0,CHI,,3,0,DI,,27.3,56.9,,78,Grady Jarrett,6,0,,0,0,,2,63.4,9570,0
11,0.4,2015,1,72.7,SEA,10,97.5,37,0,9,2015,64,73,8,9.1,64.4,0,192,64.7,197,0,1,SEA,16.5,4,0,S,24,7.1,66.1,9.1,88.7,Quandre Diggs,29,33,7.7,1,90.3,22.6,3,55,9633,0
0,0,2015,0,,NYG,0,75,47,0,1,2015,,0,0,,61.9,0,3,61.2,4,0,0,NYG,,0,0,LB,,,64.5,,71.1,Neville Hewitt,21,0,,0,0,,0,58.3,9836,0
68,0.8,2015,6,79.4,DEN,50,87.3,49,1,18,2015,75.9,511,54,7.4,55.2,0,654,88.8,749,0,5,DEN,9.1,24,0,LB,47,8.3,72.1,9.5,86.2,Alex Singleton,10,350,4.1,4,107.8,11.4,16,62.8,9994,2
2,0.3,2016,4,50,BUF,5,5.5,97,0,17,2016,26.5,8,1,0,61.9,0,23,52,422,5,0,BUF,11.5,10,2,ED,8,44.4,74.6,8,43,Joey Bosa,4,5,5,0,60.4,23,0,85.5,10637,0
62,0.7,2016,4,72.6,PIT,40,96.3,05,0,18,2016,86.6,466,45,9.7,58.8,1,695,81.4,722,7,6,PIT,10.6,16,3,S,43,7.1,64.5,10.4,47,Jalen Ramsey,25,166,8.2,6,119.4,14.6,12,65.7,10639,6
0,0,2016,0,,IND,5,0.6,99,0,10,2016,70.7,0,0,,69.4,0,2,56.3,319,0,0,IND,,8,0,DI,,0,74,,86.7,DeForest Buckner,14,0,,0,0,,0,74.9,10641,0
1,0.8,2016,1,100,ATL,2,7.4,56,0,15,2016,44.8,15,1,0,51.9,0,23,60,310,2,0,ATL,19,5,0,ED,15,33.3,60.1,15,58,Leonard Floyd,2,18,-3,0,118.8,19,0,61.8,10643,0
0,0,2016,0,,SF,0,100,30,0,1,2016,,0,0,,60,0,1,,1,0,0,SF,,0,0,CB,,,60.3,,64.2,Eli Apple,28,0,,0,0,,0,,10644,0
0,0,2016,4,,DAL,2,0.4,95,0,17,2016,51.7,0,0,,61.3,0,2,53.7,464,0,0,DAL,,6,0,DI,,57.1,67.6,,87.8,Kenny Clark,9,0,,0,0,,1,72.4,10661,0
3,0.6,2016,0,66.7,JAX,2,8.5,90,0,13,2016,77.7,11,2,0,56.8,0,17,42.1,199,0,0,JAX,5.7,2,0,ED,8,0,45.9,5.5,87.2,Emmanuel Ogbah,15,9,5.3,0,72.9,8.5,0,51.7,10666,0
0,0,2016,3,,KC,1,0.2,95,0,17,2016,34,0,0,,56.3,0,1,43.4,496,9,0,KC,,8,2,DI,,75,70.5,,9.5,Chris Jones,16,0,,0,0,,0,90.7,10671,0
22,1.5,2016,2,72.7,IND,8,100,04,0,4,2016,54.2,195,16,0,34.2,0,141,51.4,141,4,0,IND,5.9,1,0,CB,31,18.2,36.1,12.2,82.4,Xavien Howard,14,62,8,0,139.2,8.1,1,,10672,3
0,0,2016,0,,JAX,2,0.9,99,0,15,2016,45.4,0,0,,64.6,0,1,41.5,115,0,0,JAX,,3,0,DI,,0,47.5,,83.4,Austin Johnson,15,0,,0,0,,0,54.8,10677,0
6,1.8,2016,2,83.3,TEN,5,7,53,0,17,2016,40.7,55,5,16.7,65,0,31,53.6,441,7,1,TEN,5.2,9,1,ED,23,22.2,50.8,11,17.9,Jihad Ward,31,36,5.8,1,144.4,6.2,2,56.4,10678,1
0,0,2016,1,,CAR,3,0.5,94,0,18,2016,59.2,0,0,,73.1,0,2,60.9,375,2,0,CAR,,3,0,DI,,20,63.7,,66.5,A'Shawn Robinson,5,0,,0,0,,1,62.5,10680,0
0,0,2016,0,,SEA,4,0.6,90,0,16,2016,78.8,0,0,,69.6,0,2,57.4,309,0,0,SEA,,4,0,DI,,0,62.3,,86.8,Jarran Reed,29,0,,0,0,,0,59.7,10683,0
8,0.8,2016,1,75,TB,6,83.1,45,1,12,2016,56.8,49,6,0,49,0,69,30.7,83,0,0,TB,8.1,2,0,LB,16,10,41.6,8.2,78.7,Deion Jones,30,12,9.4,0,90.1,10.8,3,69.3,10686,0
38,0.5,2016,6,73.7,CHI,33,98.4,31,2,19,2016,71,331,28,5.3,71.6,7,720,82.6,732,0,2,CHI,18,6,0,S,31,12.5,75.4,11.8,89,Kevin Byard,6,123,8.6,2,86.5,24.4,9,49.1,10698,3
0,0,2016,1,,CLV,1,0.7,96,0,12,2016,28.4,0,0,,52.8,0,2,57.2,293,2,0,CLV,,8,0,DI,,50,74.5,,55.6,Maliek Collins,8,0,,0,0,,0,87.2,10701,0
0,0,2016,0,,NO,2,0.9,98,0,15,2016,77.6,0,0,,60.4,0,1,63.9,117,2,0,NO,,1,0,DI,,0,58.9,,45.3,Jonathan Bullard,20,0,,0,0,,0,52,10706,0
0,0,2016,2,,MIN,2,1.3,97,0,16,2016,74.3,0,0,,67.8,0,4,57.3,299,2,0,MIN,,4,0,DI,,40,68.5,,60.5,Javon Hargrave,18,0,,0,0,,1,70.8,10723,0
0,0,2016,0,,WAS,0,2.1,98,0,10,2016,46.6,0,0,,61.4,0,2,49.4,97,1,0,WAS,,0,0,DI,,,47.4,,53.7,Sheldon Day,32,0,,0,0,,0,51.6,10737,0
25,0.5,2016,4,76,JAX,29,95.2,29,2,13,2016,69.7,212,19,16,60.6,1,416,67.3,437,3,4,JAX,16,5,1,S,27,10.3,62,11.2,28.4,Eric Murray,15,79,10.2,4,123.7,21,6,65.2,10740,3
0,0,2016,1,,CHI,1,0.4,97,0,19,2016,44.3,0,0,,62.1,0,1,37.6,241,5,0,CHI,,2,0,DI,,50,39.4,,25.2,Andrew Billings,6,0,,0,0,,0,61.2,10756,0
7,1.9,2016,3,85.7,BUF,4,18.4,36,0,14,2016,38.6,70,6,0,29.9,0,38,55.2,206,0,0,BUF,5.3,2,0,ED,22,42.9,43.2,11.7,85.7,Matthew Judon,4,47,4,0,108.3,6.2,0,46.2,10780,0
0,0,2016,0,,DET,0,7.7,79,0,1,2016,,0,0,,60,0,1,60,13,0,0,DET,,0,0,DI,,,64.7,,72.7,Quinton Jefferson,11,0,,0,0,,0,58.2,10781,0
0,0,2016,0,,DET,0,0.9,98,0,17,2016,59.8,0,0,,62.1,0,3,61.7,316,2,0,DET,,0,0,DI,,0,68.9,,64.9,DJ Reader,11,0,,0,0,,1,72.6,10800,0
23,0.9,2016,7,87,LV,10,94,52,0,17,2016,39.7,231,20,4.3,36.4,0,268,76.7,285,1,1,LV,11.1,4,0,LB,44,28,57.2,11.6,53.8,Elandon Roberts,23,105,6.3,1,137.5,12.8,8,43.8,10848,2
2,0.1,2016,1,50,DET,2,97.6,13,0,5,2016,58.1,7,1,0,66.2,0,80,65.2,82,0,0,DET,38,0,0,S,7,25,68.2,7,78.7,Jalen Mills,11,1,5.5,0,58.3,76,1,56.1,10867,0
3,0.2,2016,1,66.7,IND,2,95.1,33,0,2,2016,63.9,7,2,0,56.6,0,39,60.6,41,1,0,IND,11.7,1,0,CB,5,25,60,3.5,75.1,Mike Hilton,14,1,0.7,0,70.1,17.5,1,73.6,10898,0
41,1.3,2016,2,58.5,WAS,21,99.3,31,0,11,2016,61.8,321,24,12.2,48,0,272,56.6,274,2,5,WAS,6.2,5,0,CB,27,7.7,50.9,13.4,84.9,Jonathan Jones,32,100,12.2,5,83.5,10.6,3,80.2,11217,0
0,0,2016,4,,NYG,2,1.3,95,0,17,2016,57.7,0,0,,53.4,0,4,50.7,311,3,0,NYG,,1,1,DI,,66.7,51.8,,77,Roy Robertson-Harris,21,0,,0,0,,0,56.8,11341,0
17,1.2,2016,2,64.7,WAS,8,100,34,0,7,2016,52.7,82,11,11.8,60.7,0,70,71.9,70,1,2,WAS,4.1,2,0,CB,19,18.2,63.5,7.5,79.5,Antonio Hamilton Sr.,32,42,8.7,1,76.1,6.3,1,,11353,0
0,0,2017,3,,DAL,4,0.4,90,0,16,2017,54,0,0,,67.3,0,1,61.4,234,4,0,DAL,,2,1,DI,,42.9,59.6,,36.4,Solomon Thomas,9,0,,0,0,,0,55.8,11758,0
38,0.9,2017,7,94.7,LV,25,87.6,33,0,17,2017,36.5,211,36,2.6,69.2,0,247,62.3,282,2,1,LV,6,16,0,LB,22,20.6,67.3,5.9,20.3,Jamal Adams,23,196,0.7,0,98.6,6.3,2,71.4,11761,1
33,0.9,2017,2,54.5,WAS,15,100,02,0,9,2017,60.8,258,18,15.2,52.6,1,313,59.4,313,9,5,WAS,8.8,1,2,CB,44,10.5,53.2,14.3,50.2,Marshon Lattimore,32,43,15.8,5,87.7,16.1,2,,11766,2
17,1.5,2017,3,82.4,TB,14,21.8,05,0,13,2017,29.9,124,14,0,70,0,86,45.2,394,2,0,TB,4.9,11,0,ED,28,17.6,57.2,8.9,62.4,Haason Reddick,30,122,0.8,0,97.1,6,0,60.1,11768,0
18,0.8,2017,4,83.3,DAL,22,99.5,28,0,12,2017,78.7,295,15,5.6,51.8,0,372,83.4,374,0,1,DAL,19.4,2,0,S,52,12.1,61,19.7,86,Malik Hooker,9,91,15.6,1,155.8,23.3,7,58.5,11770,2
98,1.7,2017,10,68.4,BLT,45,95.4,44,1,15,2017,48,909,67,8.2,43.8,4,556,78.9,583,5,8,BLT,5.4,10,2,CB,62,16.9,50.1,13.6,64.3,Marlon Humphrey,3,322,10.6,7,90.9,7.9,4,57.9,11771,3
1,0.8,2017,5,100,MIN,2,1.2,93,0,17,2017,39.7,4,1,0,59.8,0,5,45.4,416,2,0,MIN,5,6,0,DI,4,62.5,53.2,4,69.4,Jonathan Allen,18,9,-5,0,83.3,5,1,64.9,11772,0
73,1.4,2017,9,64.4,PHI,46,100,08,0,15,2017,43.7,552,47,8.2,52.8,1,406,55,406,1,6,PHI,5.3,8,0,CB,40,16.4,53.6,11.7,87.2,Adoree' Jackson,24,155,10.4,6,90.7,8.2,0,,11773,2
7,1.5,2017,1,71.4,PIT,3,100,40,0,4,2017,67,72,5,0,52.9,0,50,90.9,50,1,0,PIT,6.7,1,0,S,35,16.7,65.1,14.4,0,Jabrill Peppers,25,28,7.9,0,144,9.4,2,,11780,1
47,0.5,2017,6,46.8,BUF,24,97.9,27,0,18,2017,40.3,242,22,23.4,68.2,1,477,49.3,487,6,11,BUF,9.7,11,1,CB,32,20,64.2,11,63.5,Tre'Davious White,4,43,13,8,75,20.8,0,52.9,11782,3
