grades_offense,twp_rate,btt_rate,spikes,dropbacks,thrown_aways,draft_season,team_name,grades_pass,hit_as_threw,first_downs,jersey_number,sack_percent,bats,sacks,player_game_count,eligible_season,completions,yards,accuracy_percent,scrambles,interceptions,drop_rate,grades_run,qb_rating,completion_percent,penalties,attempts,team,declined_penalties,passing_snaps,pressure_to_sack_rate,ypa,drops,position,grades_hands_fumble,avg_time_to_throw,big_time_throws,player,positive_epa_percent,franchise_id,avg_depth_of_target,turnover_worthy_plays,epa,aimed_passes,player_id,touchdowns,def_gen_pressures
92,3.3,7.7,4,755,26,2009,LA,91.7,8,285,09,3.8,6,29,20,2009,454,5643,72.3,9,9,6.6,37.4,106.7,63.4,5,716,LA,0,797,12.1,7.9,32,QB,62.9,2.73,58,Matthew Stafford,52.2,26,9.8,26,0.2,672,4924,52,240
76.9,3.1,5.4,2,737,44,2024,CHI,72.2,3,240,18,3.4,17,25,19,2024,377,4560,69.4,49,12,8.3,82.1,86.8,57.3,10,658,CHI,0,780,9.6,6.9,34,QB,66,3.23,37,Caleb Williams,45.9,6,9.2,24,0.05,592,144622,31,261
77.1,2.9,5,1,730,33,2024,DEN,76.1,7,221,10,3,16,22,18,2024,414,4210,75.5,38,12,8.8,65.3,87.8,62.9,9,658,DEN,1,771,9.5,6.4,40,QB,73.1,2.83,35,Bo Nix,46.2,10,8,22,0.09,601,97790,28,232
80.7,3.3,4.9,0,755,24,2024,NE,76.6,6,271,10,9,8,68,21,2024,424,5222,77,74,12,4.1,79.7,107.4,69.3,2,612,NE,0,797,23.9,8.5,18,QB,29.5,3.08,32,Drake Maye,51.8,19,9.7,26,0.18,574,143969,37,284
86.9,2.7,4.8,3,659,14,2016,DAL,85.4,6,230,04,4.7,13,31,17,2016,404,4552,76.6,26,10,6.5,61.3,99.5,67.3,5,600,DAL,0,712,13.3,7.6,28,QB,66.9,2.78,31,Dak Prescott,50.2,9,8.6,19,0.15,564,10769,30,233
83.7,3.3,4.8,3,682,13,2021,JAX,80.5,11,225,16,6.2,20,42,18,2021,359,4214,73.5,44,14,10,77.4,90.7,60.8,9,590,JAX,0,725,16.4,7.1,40,QB,70.6,2.9,30,Trevor Lawrence,47.5,15,9.5,24,0.05,543,77632,32,256
77.7,2,2.7,2,623,36,2016,DET,76.8,10,225,16,6.1,16,38,17,2016,393,4564,80.2,5,8,4.6,52.6,105.5,68,5,578,DET,0,648,17,7.9,19,QB,69.6,2.57,16,Jared Goff,48.3,11,7,13,0.14,514,10635,34,224
79,3.2,5.7,4,625,29,2018,SEA,79.9,7,223,14,5.3,16,33,20,2018,379,4720,77.1,16,14,4.1,41.6,99.6,66.7,5,568,SEA,0,660,14.9,8.3,16,QB,38.9,2.74,34,Sam Darnold,49.4,29,8.9,21,0.09,512,29048,30,222
70,4.1,4.8,1,630,13,2018,TB,64.8,8,198,06,5.7,9,36,17,2018,343,3693,71.9,43,11,6.8,86.8,90.6,63.2,5,543,TB,0,680,16.2,6.8,25,QB,41.4,2.89,28,Baker Mayfield,45.1,30,8.6,28,-0.02,512,46518,26,222
78,2.6,3.9,0,660,21,2020,LAC,73,11,206,10,9.1,7,60,17,2020,359,3886,76,56,13,6.3,82.7,93,66.1,5,543,LAC,0,691,20.8,7.2,24,QB,56.1,2.96,22,Justin Herbert,49.7,27,8.3,18,0.03,504,28237,26,288
