targets,grades_pass_block,grades_offense,yards_after_catch_per_reception,grades_pass_route,draft_season,team_name,yprr,wide_snaps,fumbles,first_downs,jersey_number,inline_snaps,contested_targets,player_game_count,eligible_season,inline_rate,contested_catch_rate,yards,receptions,targeted_qb_rating,interceptions,caught_percent,drop_rate,grades_hands_drop,slot_rate,slot_snaps,penalties,wide_rate,pass_block_rate,team,declined_penalties,route_rate,drops,position,grades_hands_fumble,longest,pass_blocks,routes,pass_plays,yards_per_reception,player,positive_epa_percent,franchise_id,contested_receptions,yards_after_catch,avg_depth_of_target,epa,avoided_tackles,player_id,touchdowns
124,68.1,85.9,4.5,85.5,2021,HST,2.27,434,1,49,12,0,34,16,2021,0,55.9,1138,74,102.8,1,59.7,1.3,88.9,20.4,111,3,79.6,0.2,HST,1,92.1,1,WR,51.3,57,1,502,545,15.4,Nico Collins,43.1,13,19,332,13,0,6,61441,6
124,46.8,76.4,3.6,76.4,2023,ARZ,1.59,469,0,51,14,1,34,17,2023,0.1,64.7,1006,78,90.3,5,62.9,4.9,80.2,30.2,204,1,69.5,0.1,ARZ,0,93.5,4,WR,82.4,50,1,631,675,12.9,Michael Wilson,44.6,1,22,277,12.2,-0.04,6,84423,7
122,,76.9,4,78.9,2021,PHI,1.92,253,0,46,06,0,25,18,2021,0,40,1078,85,104.5,1,69.7,3.4,81.7,56.6,335,2,42.7,0,PHI,0,94.8,3,WR,82.8,79,0,561,592,12.7,DeVonta Smith,44,24,10,344,11.7,0.03,7,61100,4
120,75.4,82.7,4.1,82.6,2015,NE,2.08,270,0,55,08,0,16,21,2015,0,75,1123,99,109.1,3,82.5,2.9,90,53,305,4,46.9,0.3,NE,0,93.9,3,WR,83.6,34,2,541,576,11.3,Stefon Diggs,53.4,19,12,408,8.4,0.21,12,9579,5
117,,79.6,5.5,81.6,2023,BLT,2.53,337,3,48,04,0,13,17,2023,0,53.8,1211,86,113.6,2,73.5,5.5,76,33.9,173,5,65.9,0,BLT,2,93.7,5,WR,23.5,64,0,479,511,14.1,Zay Flowers,47.6,3,7,473,10.1,-0.02,16,97268,5
114,81.3,73.6,4.5,82,2021,ATL,1.71,121,0,51,08,268,20,17,2021,45,55,928,88,104,3,77.2,4.3,81.8,34.7,207,7,20.3,3.9,ATL,0,91.1,4,TE,83.1,36,23,543,596,10.5,Kyle Pitts,45.6,2,11,399,7.5,-0.01,9,83964,5
114,,77.6,4.3,79,2020,DAL,2.37,321,0,43,88,0,30,14,2020,0,46.7,1077,75,94.1,3,65.8,9.6,55.2,34.7,173,6,64.5,0,DAL,2,91.4,8,WR,82.2,74,0,455,498,14.4,CeeDee Lamb,50.3,9,14,320,12.7,0.12,10,61570,3
112,38.8,74.3,7.3,74.3,2022,BUF,1.8,141,1,34,10,11,17,18,2022,2.1,41.2,876,91,103.7,2,81.3,5.2,78.6,69,358,2,27.2,0.6,BUF,0,93.6,5,WR,65.9,54,3,486,519,9.6,Khalil Shakir,46.4,4,7,665,3.5,0.08,25,84140,4
111,36.3,71.1,3.8,73.2,2019,JAX,1.52,347,1,44,03,0,26,17,2019,0,46.2,847,76,73.7,7,68.5,5,76.8,41.7,248,4,58.3,0.2,JAX,1,93.6,4,WR,82.3,50,1,557,595,11.1,Jakobi Meyers,51.3,15,12,290,9.4,0.16,9,47468,3
110,69.3,70.4,3.4,70.8,2020,IND,1.46,398,0,47,11,6,16,17,2020,1,43.8,784,80,94.7,5,72.7,4.8,75.2,28.9,166,5,69.2,0.2,IND,2,93.4,4,WR,82.4,27,1,537,575,9.8,Michael Pittman Jr.,49.6,14,7,272,8.4,0.07,7,29049,7
108,56.2,73.1,4.7,76.5,2018,HST,1.57,65,1,41,86,347,8,19,2018,55.4,25,836,87,108.2,0,80.6,1.1,90.3,32.1,201,7,10.4,7.8,HST,0,85,1,TE,54.7,47,49,532,626,9.6,Dalton Schultz,44.8,13,2,405,6.5,0.03,9,47304,3
