Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,ReceptionsTotal,ReceptionsPercentage,YardsTotal,TouchdownsTotal,TouchdownsInEndzone,AlignmentInlineRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,DropsTotal,AlignmentSlotRoutesPercentage,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Samaje Perine,CIN,RB,5,Yes,Yes,Yes,4,1,No,Yes,0.25,-2,1,-2,39.6,-6.198,1.5145,1.5145,0.2,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Efton Chism,NE,WR,8,Yes,No,Yes,7,1,No,Yes,0.1429,13,,13,147.9,1.0855,2.7907,2.7907,0.1429,8,1,1,1,1,1,10,1,1,0.1429,0.8571,1,1.4286,10,10,1,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,1,,,,,,,,,,,,,,,
Ryan Flournoy,DAL,WR,18,Yes,No,Yes,17,5,No,Yes,0.2941,59,,11.8,86.3,-0.8823,8.754,8.754,0.2778,15,4,0.8,1,3,0.6,41,,,,0.7059,4,2.4118,8.2,13.6667,2,4.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,7.1,5.6,7.1,7.1,1,7,4,1,0.2941,0.2,2.3333,1.3333,,,,,,,,
Mike Gesicki,CIN,TE,1,Yes,Yes,Yes,1,1,No,Yes,1,16,,16,118.8,4.809,2.0364,2.0364,1,13,1,1,,1,1,15,,,,1,1,15,15,15,1,1.5,2.5,2,2.5,3,2.5,2,2.5,2.5,2.5,2,3,2.5,,-1,,,,,-1,,,,,,,,,
Nikko Remigio,KC,WR,1,No,Yes,No,1,,No,No,,,,,,,,,,14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Deebo Samuel,WAS,WR,16,Yes,No,No,15,,No,Yes,,,0.0667,,,,,,,16,,,,,,,,,,0.5333,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
Devin Duvernay,CHI,WR,2,Yes,Yes,No,2,,No,No,,,0.5,,,,,,,17,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Tonges,SF,TE,3,Yes,No,No,3,1,Yes,Yes,0.3333,2,,2,118.8,-4.3701,3.8848,3.8848,0.3333,16,1,1,1,1,1,2,1,1,1,,1,0.6667,2,2,1,6.2,7.2,6.7,7.2,7.7,7.2,6.7,7.2,7.2,7.2,6.7,7.7,7.2,1,,,,,,,,,,,,,,,
Ben Skowronek,PIT,WR,8,No,No,No,8,2,Yes,Yes,0.25,15,,7.5,158.3,10.5686,2.6618,2.6618,0.2857,16,2,1,,2,1,35,1,,,0.375,2,4.375,17.5,17.5,2,9.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,11.5,10.5,11.5,11.5,,20,3,,0.625,,10,1.5,,,,,,,,
Beaux Collins,NYG,WR,2,Yes,Yes,No,2,,No,No,,,,,,,,,,9,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Roman Wilson,PIT,WR,4,Yes,Yes,No,4,,No,Yes,,,,,,,,,,13,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Trey Benson,ARZ,RB,2,No,No,No,2,,No,No,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wan'Dale Robinson,NYG,WR,19,No,No,No,19,7,No,No,0.3684,53,0.0526,7.5714,33.9,-1.5154,13.7852,13.7852,0.4118,16,5,0.7143,1,4,0.5714,40,,,,0.4211,6,2.1053,5.7143,10,1,4,8,6,8,8,8,6,8,8,8,6,8,8,2,8,,,0.5263,,2,,1,,,,,,,
Jeremy McNichols,WAS,RB,3,Yes,No,No,1,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
George Pickens,DAL,WR,36,Yes,No,Yes,35,6,No,Yes,0.1714,47,,7.8333,95.8,1.9096,10.1344,10.1344,0.1667,17,4,0.6667,,4,0.6667,55,,,,0.8857,4,1.5714,9.1667,13.75,3,5.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,9.5,7.5,9.5,9.5,1,25,10,,0.1143,,6.25,2.5,1,1,,,,,,
Pharaoh Brown,ARZ,TE,2,Yes,No,Yes,2,1,No,Yes,0.5,1,,1,79.2,-4.7754,1.5479,1.5479,0.5,7,1,1,,1,1,1,,,1,,1,0.5,1,1,,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,,,,,,,,,,,,,,,,
Rico Dowdle,CAR,RB,14,Yes,No,Yes,6,,No,Yes,,,1,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
