Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Troy Franklin,DEN,WR,358,No,No,No,333,78,No,No,60,0.7692,6,0.2342,51,0.6538,500,144,74,943,5,,,0.4474,0.5526,64,19,0.2436,12.0897,15,89.7,1.5015,6.4103,-2.2263,0.0641,9.8039,2.8235,1.451,22,145.6744,145.6744,0.2349,74,125,99.5,125,125,128,102.5,125,125,125,99.5,125,125,17,11,6,13,4,4,10,0.1961,
Laquon Treadwell,IND,WR,14,No,No,No,12,,No,Yes,,,,,,,,,,,,,,0.25,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Tim Jones,JAX,WR,8,No,Yes,No,7,1,No,No,1,1,,0.1429,1,1,15,11,9,4,,,,0.4286,0.5714,1,,,4,,118.8,2.1429,15,8.9502,,15,11,9,1,1.42,1.42,0.125,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,4,,,,,,2,2,
Tyler Goodson,IND,RB,20,No,No,No,17,3,No,Yes,2,0.6667,,0.1765,2,0.6667,8,10,2,-2,,0.7647,,0.1176,0.1176,2,,,-0.6667,,70.1,0.4706,2.6667,-3.155,,4,5,1,,6.0332,6.0332,0.1579,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,11,,,1,,,,,
Jordan Mason,MIN,RB,180,No,No,Yes,117,15,No,Yes,14,0.9333,,0.1282,13,0.8667,38,91,34,-55,1,0.8291,0.1026,0.0171,0.0513,8,8,0.5333,-3.6667,,79.2,0.3248,2.5333,-3.1383,0.0667,2.9231,7,2.6154,,23.3015,23.3015,0.0968,3.8,16.8,10.3,23.3,16.8,16.8,10.3,16.8,16.8,16.8,10.3,16.8,16.8,16,,,1,,,1,0.0769,
Tre Tucker,LV,WR,481,No,No,No,456,75,No,Yes,55,0.7333,7,0.1645,49,0.6533,606,250,90,821,4,0.0022,0.0066,0.1711,0.8202,67,12,0.16,10.9467,16,106.9,1.3289,8.08,-0.0733,0.0533,12.3673,5.102,1.8367,28,141.615,141.615,0.1843,90.6,139.6,115.1,139.6,139.6,142.6,118.1,139.6,139.6,139.6,115.1,139.6,139.6,17,8,5,7,5,2,7,0.1429,1
Michael Pittman,IND,WR,451,No,No,No,425,96,No,Yes,81,0.8438,5,0.2259,69,0.7188,697,214,83,898,4,0.0024,0.0024,0.2965,0.6988,86,6,0.0625,9.3542,9,92.2,1.64,7.2604,-0.5248,0.0417,10.1014,3.1014,1.2029,42,166.8371,166.8371,0.2353,99.7,168.7,134.2,168.7,168.7,171.7,137.2,168.7,168.7,168.7,134.2,168.7,168.7,17,20,10,10,5,2,1,0.0145,2
Malik Washington,MIA,WR,280,Yes,No,Yes,260,51,No,Yes,41,0.8039,1,0.1962,39,0.7647,252,228,85,201,1,0.0346,,0.5269,0.4385,42,19,0.3725,3.9412,3,84.8,0.9692,4.9412,-1.5919,0.0196,6.4615,5.8462,2.1795,12,89.2102,89.2102,0.2008,31.2,70.2,50.7,70.2,70.2,73.2,53.7,70.2,70.2,70.2,50.7,70.2,70.2,17,6,4,8,1,1,9,0.2308,
Greg Dortch,ARZ,WR,192,No,No,Yes,185,31,Yes,Yes,30,0.9677,1,0.1676,28,0.9032,204,194,28,25,2,0.0216,,0.7243,0.2541,24,13,0.4194,0.8065,1,126.3,1.1027,6.5806,0.8576,0.0645,7.2857,6.9286,1,10,53.3755,53.3755,0.1782,38.4,66.4,52.4,66.4,66.4,69.4,55.4,66.4,66.4,66.4,52.4,66.4,66.4,12,4,2,6,3,1,10,0.3571,
Terrell Jennings,NE,RB,5,No,Yes,Yes,4,1,No,No,1,1,,0.25,1,1,9,7,3,2,,1,,,,,,,2,,104.2,2.25,9,2.6053,,9,7,3,,1.3529,1.3529,0.25,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,6,,,,,,,,
Tip Reiman,ARZ,TE,25,No,No,No,19,4,No,Yes,3,0.75,,0.2105,3,0.75,18,9,6,15,,,0.8421,0.1053,0.0526,3,,,3.75,,83.3,0.9474,4.5,-1.7386,,6,3,2,1,5.9655,5.9655,0.1739,1.8,4.8,3.3,4.8,6.3,4.8,3.3,4.8,4.8,4.8,3.3,6.3,4.8,4,,,,,,1,0.3333,
Cam Akers,SEA,RB,3,No,No,No,3,1,No,No,1,1,,0.3333,,,,,,-7,1,0.3333,,0.3333,0.3333,1,1,1,-7,,39.6,,,-4.5287,1,,,,,1.1825,1.1825,0.5,,,,,,,,,,,,,,4,,,,,,,,
Javonte Williams,DAL,RB,370,No,No,No,262,42,No,No,36,0.8571,,0.1603,32,0.7619,135,197,67,-64,1,0.9008,,0.0573,0.042,9,5,0.119,-1.5238,,79,0.5153,3.2143,-2.7176,0.0238,4.2188,6.1562,2.0938,5,69.3165,69.3165,0.1239,12.5,44.5,28.5,60.5,44.5,47.5,30.5,43.5,43.5,43.5,27.5,44.5,43.5,16,4,,9,,,6,0.1875,
Courtland Sutton,DEN,WR,458,No,No,No,396,97,No,No,76,0.7835,9,0.2449,63,0.6495,854,212,92,1212,5,,,0.2146,0.7854,87,1,0.0103,12.4948,16,108.4,2.1566,8.8041,0.223,0.0515,13.5556,3.3651,1.4603,45,188.9243,188.9243,0.2304,127.4,190.4,158.9,190.4,190.4,193.4,161.9,190.4,190.4,190.4,158.9,190.4,190.4,17,23,15,14,7,3,5,0.0794,1
Tyrell Shavers,BUF,WR,150,No,No,No,114,19,No,Yes,13,0.6842,,0.1667,13,0.6842,195,81,9,237,,,0.0263,0.2368,0.7368,12,,,12.4737,3,101.9,1.7105,10.2632,1.7558,,15,6.2308,0.6923,9,30.4491,30.4491,0.1357,19.5,32.5,26,32.5,32.5,35.5,29,32.5,32.5,32.5,26,32.5,32.5,17,3,2,,,,,,2
Zach Ertz,WAS,TE,290,No,Yes,No,252,63,No,Yes,55,0.873,3,0.25,45,0.7143,429,99,27,512,8,,0.254,0.619,0.127,52,1,0.0159,8.127,2,99.2,1.7024,6.8095,-0.7717,0.127,9.5333,2.2,0.6,21,123.0826,123.0826,0.2461,60.9,105.9,83.4,105.9,128.4,108.9,86.4,105.9,105.9,105.9,83.4,128.4,105.9,13,14,12,7,3,2,2,0.0444,
Darnell Washington,PIT,TE,206,No,No,No,135,32,Yes,Yes,29,0.9062,1,0.237,27,0.8438,300,184,91,164,1,,0.6519,0.163,0.1852,20,3,0.0938,5.125,,92.7,2.2222,9.375,2.4763,0.0312,11.1111,6.8148,3.3704,12,55.2726,55.2726,0.1778,29,56,42.5,56,69.5,59,44.5,55,55,55,41.5,69.5,55,16,6,5,7,,,9,0.3333,
Audric Estime,NO,RB,101,No,Yes,No,78,12,No,Yes,11,0.9167,,0.1538,11,0.9167,84,104,38,-17,,0.9103,,0.0256,0.0641,6,3,0.25,-1.4167,,95.8,1.0769,7,1.2128,,7.6364,9.4545,3.4545,2,17.3229,17.3229,0.129,8.4,19.4,13.9,24.9,19.4,19.4,13.9,19.4,19.4,19.4,13.9,19.4,19.4,6,,,,,,4,0.3636,
Charlie Kolar,BLT,TE,89,No,Yes,Yes,66,11,Yes,Yes,10,0.9091,1,0.1667,9,0.8182,132,53,9,107,,,0.8485,0.0909,0.0606,7,,,9.7273,1,156.3,2,12,3.7021,,14.6667,5.8889,1,8,18.9121,18.9121,0.1392,25.2,34.2,29.7,34.2,38.7,37.2,32.7,34.2,34.2,34.2,29.7,38.7,34.2,17,1,1,2,2,1,1,0.1111,
Davis Allen,LA,TE,181,No,Yes,No,133,18,No,No,16,0.8889,,0.1353,13,0.7222,117,82,25,94,1,0.0075,0.4737,0.188,0.3308,8,2,0.1111,5.2222,1,89.4,0.8797,6.5,-0.3862,0.0556,9,6.3077,1.9231,5,29.9701,29.9701,0.1047,11.7,24.7,18.2,24.7,31.2,27.7,21.2,24.7,24.7,24.7,18.2,31.2,24.7,17,2,,1,,,1,0.0769,
Lil'Jordan Humphrey,DEN,WR,122,No,No,No,100,15,No,No,10,0.6667,3,0.15,9,0.6,103,23,7,160,,,0.01,0.38,0.61,13,,,10.6667,2,102.9,1.03,6.8667,-0.8284,,11.4444,2.5556,0.7778,5,32.7263,32.7263,0.1402,16.3,25.3,20.8,25.3,25.3,28.3,23.8,25.3,25.3,25.3,20.8,25.3,25.3,10,3,2,4,1,1,,,
Keon Coleman,BUF,WR,229,No,No,No,201,49,No,Yes,38,0.7755,4,0.2438,31,0.6327,295,73,25,547,5,,0.005,0.1841,0.8109,43,2,0.0408,11.1633,10,91.8,1.4677,6.0204,-2.1217,0.102,9.5161,2.3548,0.8065,18,91.6829,91.6829,0.2322,46.5,77.5,62,77.5,77.5,80.5,64,76.5,76.5,76.5,61,77.5,76.5,13,11,6,6,3,2,,,
Coleman Owen,IND,WR,1,No,Yes,Yes,1,1,No,No,,,,1,,,,,,3,,,,1,,1,,,3,,39.6,,,-5.4499,,,,,,1.4333,1.4333,1,,,,,,,,,,,,,,2,,,,,,,,
Tyler Lockett,LV,WR,316,No,No,No,292,47,No,Yes,37,0.7872,2,0.161,30,0.6383,249,78,18,292,4,,,0.7432,0.2568,38,3,0.0638,6.2128,1,75.6,0.8527,5.2979,-1.6301,0.0851,8.3,2.6,0.6,12,83.1588,83.1588,0.1895,30.9,60.9,45.9,60.9,60.9,63.9,48.9,60.9,60.9,60.9,45.9,60.9,60.9,17,8,4,2,1,1,1,0.0333,
Jakobie Keeney-James,GB,WR,9,No,No,Yes,8,1,No,Yes,1,1,,0.125,1,1,7,,10,7,,,,0.625,0.375,1,,,7,,95.8,0.875,7,-0.0645,,7,,10,,1.4549,1.4549,0.25,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,,,,,,,,
Jordan Addison,MIN,WR,359,No,No,Yes,318,65,No,Yes,49,0.7538,5,0.2044,40,0.6154,597,138,48,903,9,0.0031,,0.2264,0.7704,56,2,0.0308,13.8923,16,94.2,1.8774,9.1846,0.237,0.1385,14.925,3.45,1.2,25,117.3923,117.3923,0.2131,77.7,117.7,97.7,117.7,117.7,120.7,100.7,117.7,117.7,117.7,97.7,117.7,117.7,14,8,5,9,3,2,2,0.05,2
De'Von Achane,MIA,RB,320,No,No,No,271,79,No,No,68,0.8608,2,0.2915,62,0.7848,433,510,120,1,5,0.5978,0.0111,0.2657,0.1255,44,24,0.3038,0.0127,1,95.8,1.5978,5.481,-0.8428,0.0633,6.9839,8.2258,1.9355,20,129.1187,129.1187,0.2687,67.3,129.3,98.3,160.3,129.3,132.3,101.3,129.3,129.3,129.3,98.3,129.3,129.3,16,4,3,10,4,1,19,0.3065,1
Mike Evans,TB,WR,177,No,No,No,159,52,No,Yes,34,0.6538,6,0.327,26,0.5,337,42,17,738,3,,,0.2453,0.7547,47,,,14.1923,13,67.5,2.1195,6.4808,-2.4575,0.0577,12.9615,1.6154,0.6538,19,113.781,113.781,0.327,45.7,71.7,58.7,71.7,71.7,74.7,61.7,71.7,71.7,71.7,58.7,71.7,71.7,8,19,9,7,2,2,,,
Xavier Smith,LA,WR,129,No,Yes,No,109,16,No,No,12,0.75,,0.1468,12,0.75,258,85,14,333,,,,0.7248,0.2752,11,1,0.0625,20.8125,7,90.6,2.367,16.125,5.87,,21.5,7.0833,1.1667,9,29.7084,29.7084,0.1322,25.8,37.8,31.8,37.8,37.8,40.8,34.8,37.8,37.8,37.8,31.8,37.8,37.8,16,,,,,,,,1
Kenneth Walker,SEA,RB,169,No,No,No,143,30,No,No,29,0.9667,,0.2098,27,0.9,215,249,82,-28,2,0.7762,0.014,0.1189,0.0909,14,7,0.2333,-0.9333,,96.5,1.5035,7.1667,1.2113,0.0667,7.963,9.2222,3.037,11,45.0192,45.0192,0.2083,21.5,48.5,35,62,48.5,51.5,38,48.5,48.5,48.5,35,48.5,48.5,17,,,2,,,7,0.2593,
Brashard Smith,KC,RB,80,No,No,No,71,32,No,Yes,28,0.875,,0.4507,24,0.75,166,233,40,-57,2,0.5352,0.0141,0.2254,0.2254,28,19,0.5938,-1.7812,,96.6,2.338,5.1875,-0.89,0.0625,6.9167,9.7083,1.6667,7,51.6188,51.6188,0.4324,22.6,46.6,34.6,58.6,46.6,49.6,37.6,46.6,46.6,46.6,34.6,46.6,46.6,17,,,6,1,,5,0.2083,
Sean Tucker,TB,RB,56,No,No,No,37,10,No,Yes,8,0.8,,0.2703,7,0.7,30,44,11,-9,1,0.7838,,0.0541,0.1622,3,1,0.1,-0.9,,106.3,0.8108,3,-3.1807,0.1,4.2857,6.2857,1.5714,1,19.1664,19.1664,0.1852,9,16,12.5,19.5,16,16,12.5,16,16,16,12.5,16,16,17,,,3,1,,1,0.1429,
John FitzPatrick,GB,TE,105,Yes,Yes,Yes,78,9,Yes,Yes,8,0.8889,,0.1154,7,0.7778,39,30,11,15,1,0.0385,0.7564,0.141,0.0641,1,,,1.6667,,84.7,0.5,4.3333,-1.6161,0.1111,5.5714,4.2857,1.5714,,16.5441,16.5441,0.0947,3.9,10.9,7.4,10.9,14.4,10.9,7.4,10.9,10.9,10.9,7.4,14.4,10.9,15,1,1,1,,,,,
Jordan Watkins,SF,WR,12,No,Yes,Yes,11,3,No,No,2,0.6667,,0.2727,2,0.6667,26,1,,43,,,,0.3636,0.6364,2,,,14.3333,,93.8,2.3636,8.6667,-1.2601,,13,0.5,,1,5.69,5.69,0.3,2.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4.6,3.6,4.6,4.6,4,1,1,,,,,,
Tank Bigsby,PHI,RB,36,No,Yes,No,29,3,No,No,3,1,,0.1034,3,1,32,39,30,-7,,0.8621,,0.0345,0.1034,,,,-2.3333,,111.1,1.1034,10.6667,5.3076,,10.6667,13,10,1,4.4948,4.4948,0.0909,3.2,6.2,4.7,7.7,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,16,,,1,,,3,1,
Treyton Welch,NO,TE,5,No,Yes,No,3,,No,Yes,,,,,,,,,,,,,0.3333,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Xavier Gipson,PHI,WR,3,No,No,No,2,2,No,No,2,1,,1,2,1,6,15,1,-9,,,,1,,2,2,1,-4.5,,79.2,3,3,-1.3223,,3,7.5,0.5,,3.6325,3.6325,0.6667,0.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,2.6,1.6,2.6,2.6,6,,,1,,,1,0.5,
Tyrone Tracy,NYG,RB,247,No,No,No,190,40,No,Yes,37,0.925,2,0.2105,34,0.85,276,312,93,-6,2,0.8368,,0.0684,0.0947,14,8,0.2,-0.15,1,112.1,1.4526,6.9,1.0127,0.05,8.1176,9.1765,2.7353,12,67.0803,67.0803,0.1802,38.6,72.6,55.6,89.6,72.6,75.6,57.6,71.6,71.6,71.6,54.6,72.6,71.6,15,3,1,4,2,2,7,0.2059,
Michael Mayer,LV,TE,211,No,No,No,165,39,No,Yes,31,0.7949,,0.2364,27,0.6923,251,173,65,146,1,0.0242,0.6242,0.2424,0.1091,30,5,0.1282,3.7436,1,73.8,1.5212,6.4359,-0.1948,0.0256,9.2963,6.4074,2.4074,13,59.8113,59.8113,0.2143,31.1,58.1,44.6,58.1,71.6,61.1,47.6,58.1,58.1,58.1,44.6,71.6,58.1,13,4,,4,1,,4,0.1481,
Ben Yurosek,MIN,TE,30,No,No,Yes,16,3,No,Yes,3,1,,0.1875,2,0.6667,14,8,2,12,1,,0.875,0.0625,0.0625,2,,,4,,77.1,0.875,4.6667,-1.825,0.3333,7,4,1,1,4.25,4.25,0.1034,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,12,,,,,,,,
Devin Culp,TB,TE,22,No,No,No,20,1,No,No,1,1,1,0.05,1,1,6,,,11,,,0.35,0.3,0.35,1,,,11,,131.3,0.3,6,-2.7402,,6,,,1,2.1046,2.1046,0.0526,6.6,7.6,7.1,7.6,8.1,7.6,7.1,7.6,7.6,7.6,7.1,8.1,7.6,11,,,1,1,1,,,
Jelani Woods,NYJ,TE,20,No,No,No,16,1,No,Yes,1,1,,0.0625,,,,,,8,,,0.6875,0.1875,0.125,1,,,8,,39.6,,,-7.7205,,,,,,1.9732,1.9732,0.0625,,,,,,,,,,,,,,4,1,,,,,,,
Marvin Harrison,ARZ,WR,318,No,Yes,No,295,70,Yes,Yes,50,0.7143,14,0.2373,39,0.5571,549,126,58,951,7,,,0.2508,0.7492,60,2,0.0286,13.5857,16,88.3,1.861,7.8429,-1.1186,0.1,14.0769,3.2308,1.4872,28,136.1571,136.1571,0.2564,78.9,117.9,98.4,117.9,117.9,120.9,101.4,117.9,117.9,117.9,98.4,117.9,117.9,12,10,5,10,4,4,2,0.0513,2
Cedrick Wilson,MIA,WR,57,Yes,No,Yes,35,5,No,Yes,4,0.8,,0.1429,4,0.8,33,24,20,24,,0.0286,0.0286,0.2571,0.6857,5,,,4.8,,94.2,0.9429,6.6,-0.1058,,8.25,6,5,2,8.8619,8.8619,0.1042,3.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,7.3,5.3,7.3,7.3,10,2,2,1,,,2,0.5,
Mo Alie-Cox,IND,TE,136,No,No,No,77,12,No,Yes,10,0.8333,1,0.1558,8,0.6667,74,46,16,74,2,,0.8961,0.0909,0.013,9,,,6.1667,,111.1,0.961,6.1667,-1.0292,0.1667,9.25,5.75,2,3,19.5021,19.5021,0.0945,13.4,21.4,17.4,21.4,25.4,21.4,17.4,21.4,21.4,21.4,17.4,25.4,21.4,17,3,1,2,1,1,,,
Ollie Gordon,MIA,RB,84,Yes,No,Yes,51,7,No,Yes,7,1,,0.1373,7,1,32,56,13,-24,,0.9216,,0.0392,0.0392,5,5,0.7143,-3.4286,,125.3,0.6275,4.5714,-1.1735,,4.5714,8,1.8571,1,11.1772,11.1772,0.0886,9.2,16.2,12.7,19.7,16.2,16.2,12.7,16.2,16.2,16.2,12.7,16.2,16.2,17,,,2,1,,4,0.5714,
Bryce Oliver,TEN,WR,12,No,No,No,7,1,No,Yes,1,1,,0.1429,1,1,8,3,2,5,,,,0.1429,0.8571,1,,,5,,100,1.1429,8,1.6372,,8,3,2,,1.4109,1.4109,0.0909,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,3,,,,,,,,
Austin Hooper,NE,TE,157,Yes,No,Yes,126,17,No,Yes,17,1,2,0.1349,15,0.8824,207,76,24,180,1,0.0079,0.6984,0.0952,0.1984,15,1,0.0588,10.5882,1,156.6,1.6429,12.1765,3.6112,0.0588,13.8,5.0667,1.6,11,31.3154,31.3154,0.1197,32.7,47.7,40.2,47.7,55.2,50.7,43.2,47.7,47.7,47.7,40.2,55.2,47.7,16,5,4,2,2,2,,,1
Justin Watson,HST,WR,29,No,No,No,28,4,No,Yes,3,0.75,1,0.1429,3,0.75,30,13,3,39,,,,0.75,0.25,4,,,9.75,1,95.8,1.0714,7.5,-0.3524,,10,4.3333,1,1,9.5773,9.5773,0.1538,3,6,4.5,6,6,6,4.5,6,6,6,4.5,6,6,3,1,1,2,,,,,
Rashee Rice,KC,WR,188,No,No,No,173,64,No,No,57,0.8906,3,0.3699,48,0.75,477,382,76,191,3,0.0173,,0.4798,0.5029,57,25,0.3906,2.9844,1,110,2.7572,7.4531,1.2517,0.0469,9.9375,7.9583,1.5833,24,116.2708,116.2708,0.3765,71.7,119.7,95.7,119.7,119.7,122.7,98.7,119.7,119.7,119.7,95.7,119.7,119.7,8,9,1,14,4,1,10,0.2083,
Ty Chandler,MIN,RB,12,No,No,Yes,9,4,No,Yes,3,0.75,,0.4444,3,0.75,11,27,4,-20,,1,,,,3,3,0.75,-5,,77.1,1.2222,2.75,-2.5768,,3.6667,9,1.3333,1,6.5542,6.5542,0.4444,1.1,4.1,2.6,5.6,4.1,4.1,2.6,4.1,4.1,4.1,2.6,4.1,4.1,3,,,2,,,,,
Britain Covey,PHI,WR,20,No,Yes,No,19,4,No,No,3,0.75,,0.2105,2,0.5,20,20,3,8,1,,,0.5789,0.4211,3,1,0.25,2,,64.6,1.0526,5,-0.5838,0.25,10,10,1.5,2,6.2766,6.2766,0.2105,2,4,3,4,4,4,3,4,4,4,3,4,4,6,,,,,,,,
Jaylen Wright,MIA,RB,33,Yes,No,Yes,31,9,No,Yes,8,0.8889,,0.2903,5,0.5556,44,60,32,-33,2,0.7742,,0.2258,,6,6,0.6667,-3.6667,,68.8,1.4194,4.8889,-0.8703,0.2222,8.8,12,6.4,2,13.0261,13.0261,0.2727,4.4,9.4,6.9,11.9,9.4,9.4,6.9,9.4,9.4,9.4,6.9,9.4,9.4,10,2,,,,,1,0.2,
Woody Marks,HST,RB,245,No,No,No,165,26,No,Yes,22,0.8462,1,0.1576,20,0.7692,184,208,61,-15,1,0.8909,,0.0364,0.0727,10,7,0.2692,-0.5769,,108.5,1.1152,7.0769,0.9569,0.0385,9.2,10.4,3.05,5,42.7677,42.7677,0.1209,24.4,44.4,34.4,54.4,44.4,47.4,37.4,44.4,44.4,44.4,34.4,44.4,44.4,16,2,1,4,1,,4,0.2,
James Proche,TEN,WR,95,No,No,No,74,8,No,Yes,6,0.75,,0.1081,6,0.75,65,4,,108,,0.0135,,0.3243,0.6622,7,,,13.5,2,98.4,0.8784,8.125,-0.6777,,10.8333,0.6667,,2,16.4606,16.4606,0.0964,6.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,12.5,9.5,12.5,12.5,9,,,,,,,,1
Xavier Restrepo,TEN,WR,14,No,No,No,13,5,No,Yes,4,0.8,1,0.3846,2,0.4,27,26,3,47,,,,0.6923,0.3077,5,,,9.4,1,57.9,2.0769,5.4,-2.3265,,13.5,13,1.5,2,9.8312,9.8312,0.3846,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,2,2,,1,,,,,
Puka Nacua,LA,WR,412,No,Yes,No,393,152,No,No,131,0.8618,4,0.3868,121,0.7961,1637,624,343,1466,4,,0.0127,0.374,0.6132,138,17,0.1118,9.6447,19,130.7,4.1654,10.7697,2.9223,0.0263,13.5289,5.157,2.8347,78,261.6977,261.6977,0.4,222.7,343.7,283.2,343.7,343.7,346.7,285.2,342.7,342.7,342.7,282.2,343.7,342.7,16,30,23,16,10,2,19,0.157,9
Nyheim Hines,NO,RB,1,No,Yes,No,1,,No,Yes,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Luke Musgrave,GB,TE,179,No,No,Yes,153,25,No,Yes,23,0.92,,0.1634,18,0.72,197,54,12,213,3,,0.5556,0.3268,0.1176,18,2,0.08,8.52,3,94.9,1.2876,7.88,-0.0356,0.12,10.9444,3,0.6667,9,43.3876,43.3876,0.1524,19.7,37.7,28.7,37.7,46.7,40.7,31.7,37.7,37.7,37.7,28.7,46.7,37.7,17,6,2,1,,,,,
Aaron Jones,MIN,RB,169,No,No,No,139,35,No,Yes,29,0.8286,,0.2518,27,0.7714,188,218,38,-23,2,0.8993,0.0288,0.0144,0.0576,23,14,0.4,-0.6571,1,98.3,1.3525,5.3714,-0.5838,0.0571,6.963,8.0741,1.4074,8,57.279,57.279,0.2397,23.8,50.8,37.3,64.3,50.8,53.8,39.3,49.8,49.8,49.8,36.3,50.8,49.8,12,,,5,1,,1,0.037,
Luke Farrell,SF,TE,120,No,No,No,96,9,No,No,8,0.8889,1,0.0938,8,0.8889,56,29,18,37,,0.0104,0.7812,0.125,0.0833,4,,,4.1111,,92.6,0.5833,6.2222,-0.4224,,7,3.625,2.25,3,14.6905,14.6905,0.0849,4.6,12.6,8.6,12.6,16.6,12.6,7.6,11.6,11.6,11.6,7.6,16.6,11.6,17,4,4,1,,,,,
Christian Kirk,HST,WR,229,No,No,No,218,39,No,Yes,29,0.7436,2,0.1789,24,0.6154,181,105,30,222,1,0.0092,,0.6881,0.3028,31,5,0.1282,5.6923,3,49.2,0.8303,4.641,-1.9258,0.0256,7.5417,4.375,1.25,10,69.4728,69.4728,0.1912,24.1,48.1,36.1,48.1,48.1,51.1,39.1,48.1,48.1,48.1,36.1,48.1,48.1,13,6,2,4,1,1,2,0.0833,
Jalen McMillan,TB,WR,66,No,No,No,57,12,No,Yes,12,1,,0.2105,11,0.9167,145,55,8,94,1,,,0.2281,0.7719,7,2,0.1667,7.8333,,117,2.5439,12.0833,4.3842,0.0833,13.1818,5,0.7273,7,18.7026,18.7026,0.2105,14.5,25.5,20,25.5,25.5,28.5,23,25.5,25.5,25.5,20,25.5,25.5,4,1,1,1,,,1,0.0909,
Mitchell Evans,CAR,TE,102,No,No,No,78,16,No,Yes,16,1,1,0.2051,14,0.875,130,73,20,71,1,,0.6923,0.2308,0.0769,12,2,0.125,4.4375,,140.1,1.6667,8.125,1.2703,0.0625,9.2857,5.2143,1.4286,6,27.0406,27.0406,0.1818,25,39,32,39,46,42,35,39,39,39,32,46,39,17,1,1,2,2,1,1,0.0714,
Jahan Dotson,PHI,WR,306,No,Yes,No,287,27,No,No,15,0.5556,1,0.0941,14,0.5185,204,43,15,369,,,0.0035,0.4042,0.5923,22,,,13.6667,7,58.3,0.7108,7.5556,-1.2148,,14.5714,3.0714,1.0714,8,49.1092,49.1092,0.0975,26.4,40.4,33.4,40.4,40.4,43.4,36.4,40.4,40.4,40.4,33.4,40.4,40.4,17,2,2,4,1,,,,1
DeVonta Smith,PHI,WR,382,No,Yes,No,365,105,No,No,84,0.8,8,0.2877,72,0.6857,918,270,99,1301,5,,,0.6027,0.3973,89,10,0.0952,12.3905,21,104.4,2.5151,8.7429,0.2134,0.0476,12.75,3.75,1.375,41,201.6251,201.6251,0.3,115.8,187.8,151.8,187.8,187.8,190.8,154.8,187.8,187.8,187.8,151.8,187.8,187.8,17,18,10,10,4,2,1,0.0139,3
D'Ernest Johnson,NE,RB,20,Yes,No,Yes,14,,No,Yes,,,,,,,,,,,,0.6429,,0.1429,0.2143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
