Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,DropsTotal,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,ReceptionsContested,playerStatsInside20ReceivingTargetsTotal,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero
Justice Hill,BLT,RB,116,No,No,No,87,24,No,No,20,0.8333,,0.2759,18,0.75,157,175,59,-11,2,0.8621,,0.0805,0.0575,11,7,0.2917,-0.4583,,105.7,1.8046,6.5417,0.4714,0.0833,8.7222,9.7222,3.2778,6,33.6092,33.6092,0.2353,21.7,39.7,30.7,48.7,39.7,42.7,33.7,39.7,39.7,39.7,30.7,39.7,39.7,10,2,2,1,1,,8,0.4444,
Tyler Conklin,LAC,TE,69,No,No,No,58,8,No,No,7,0.875,,0.1379,6,0.75,68,36,14,32,1,0.0172,0.3103,0.5172,0.1552,7,2,0.25,4,,100,1.1724,8.5,1.4276,0.125,11.3333,6,2.3333,2,12.874,12.874,0.1429,6.8,12.8,9.8,12.8,15.8,12.8,9.8,12.8,12.8,12.8,9.8,15.8,12.8,10,,,,,,3,0.5,
James Conner,ARZ,RB,34,No,No,No,25,8,No,No,8,1,1,0.32,7,0.875,34,64,23,-4,,1,,,,3,3,0.375,-0.5,1,84.4,1.36,4.25,-2.8335,,4.8571,9.1429,3.2857,3,12.7237,12.7237,0.2667,3.4,10.4,6.9,13.9,10.4,10.4,6.9,10.4,10.4,10.4,6.9,10.4,10.4,3,1,,,,,4,0.5714,
Shedrick Jackson,LV,WR,17,No,No,No,16,5,No,Yes,4,0.8,1,0.3125,4,0.8,56,6,1,80,,,,0.5625,0.4375,4,,,16,2,152.9,3.5,11.2,2.229,,14,1.5,0.25,2,8.559,8.559,0.3571,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,5,,,,1,1,,,
Kyle Williams,NE,WR,133,Yes,No,Yes,124,21,No,Yes,13,0.619,2,0.1694,10,0.4762,209,85,6,383,1,,,0.0565,0.9435,17,,,18.2381,8,122.8,1.6855,9.9524,-0.1037,0.0476,20.9,8.5,0.6,7,40.4762,40.4762,0.1707,38.9,48.9,43.9,48.9,48.9,51.9,46.9,48.9,48.9,48.9,43.9,48.9,48.9,17,1,,,3,2,,,
Jonathan Mingo,DAL,WR,31,No,No,No,29,3,No,Yes,1,0.3333,,0.1034,,,,,,37,1,,,0.2069,0.7931,1,,,12.3333,,39.6,,,-8.6176,0.3333,,,,,7.5771,7.5771,0.1071,,,,,,,,,,,,,,6,,,,,,,,
Cooper Kupp,SEA,WR,335,No,No,No,305,59,No,No,46,0.7797,5,0.1934,40,0.678,460,223,89,473,3,0.0066,0.0033,0.5311,0.459,49,4,0.0678,8.0169,4,75.5,1.5082,7.7966,0.3029,0.0508,11.5,5.575,2.225,22,107.0168,107.0168,0.2027,51,91,71,91,91,94,73,90,90,90,70,91,90,16,10,5,10,1,1,6,0.15,2
Steven Sims,ARZ,WR,3,No,Yes,No,2,1,No,No,1,1,,0.5,,,,,,2,1,,,,1,,,,2,,39.6,,,-5.3344,1,,,,,1.374,1.374,0.3333,,,,,,,,,,,,,,3,,,,,,,,
Tommy Tremble,CAR,TE,216,No,No,No,180,23,No,Yes,17,0.7391,1,0.1278,16,0.6957,174,102,59,116,1,0.0222,0.4333,0.4278,0.1167,18,1,0.0435,5.0435,,120.6,0.9667,7.5652,0.7604,0.0435,10.875,6.375,3.6875,6,40.7181,40.7181,0.1223,29.4,45.4,37.4,45.4,53.4,48.4,40.4,45.4,45.4,45.4,37.4,53.4,45.4,17,2,1,3,2,1,5,0.3125,
Ja'Marr Chase,CIN,WR,544,No,No,Yes,529,168,No,No,135,0.8036,7,0.3176,114,0.6786,1236,593,210,1350,8,0.0076,0.0019,0.3308,0.6597,153,26,0.1548,8.0357,16,93.3,2.3365,7.3571,-0.0702,0.0476,10.8421,5.2018,1.8421,63,293.0574,293.0574,0.338,165.6,279.6,222.6,279.6,279.6,282.6,225.6,279.6,279.6,279.6,222.6,279.6,279.6,16,31,17,21,7,2,21,0.1842,2
