Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,AlignmentInlineRoutesPercentage,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsInEndzone,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,ReceptionsHero,DropsTotal,AveragesPerTargetDropsTotal
Josh Palmer,BUF,WR,20,No,Yes,No,20,1,No,1,No,1,1,0.05,11,0.3,0.7,11,39.6,-8.3152,1.35,1.35,0.1667,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,7,No,Yes,Yes,4,,No,,Yes,,,,,0.25,,,,,,,,17,0.5,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,4,No,Yes,No,4,,No,,No,,,,,0.25,0.75,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,16,No,Yes,Yes,14,1,No,,No,1,1,0.0714,4,,0.0714,4,87.5,-1.6619,1.4492,1.4492,0.2,9,0.8571,0.0714,1,1,5,1,1,0.3571,5,5,1,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,,
David Moore,CAR,WR,2,No,Yes,No,2,,No,,Yes,,,,,0.5,0.5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,12,No,Yes,No,12,1,No,,No,,,0.0833,21,0.6667,0.3333,21,39.6,-11.2393,1.4138,1.4138,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
Chris Moore,WAS,WR,13,Yes,Yes,Yes,12,2,No,,No,1,0.5,0.1667,30,0.1667,0.8333,15,75,-2.7899,3.7181,3.7181,0.6667,14,,,1,0.5,15,2,,1.25,7.5,15,2,,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,1,,,,,,,,,
Tutu Atwell,LA,WR,2,No,No,No,2,,No,,No,,,,,1,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,12,No,Yes,No,11,,No,,No,,,,,0.8182,0.1818,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adam Thielen,PIT,WR,12,No,Yes,No,12,1,No,,No,,,0.0833,9,0.4167,0.5833,9,39.6,-7.4539,1.654,1.654,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,11,No,No,No,11,,No,,No,,,,,0.4545,0.0909,,,,,,,17,0.1818,0.2727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,5,No,Yes,Yes,2,1,No,,No,1,1,0.5,5,,,5,87.5,-2.233,2.255,2.255,0.5,4,1,,1,1,5,,,2.5,5,5,,,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,1,,,,,,,,,,
Josiah Deguara,ARZ,TE,2,No,No,No,1,,No,,No,,,,,,,,,,,,,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harrison Bryant,HST,TE,3,Yes,Yes,No,2,1,No,,No,,,0.5,6,,,6,39.6,-7.093,1.665,1.665,1,12,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,8,No,Yes,No,8,1,No,,No,,,0.125,10,0.375,0.625,10,39.6,-7.5,2.6771,2.6771,0.3333,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,13,No,Yes,No,13,,No,,No,,,,,0.5385,0.2308,,,,,,,17,,0.2308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mason Taylor,NYJ,TE,36,No,Yes,Yes,33,2,No,,No,2,1,0.0606,1,0.1515,0.3333,0.5,87.5,-1.9117,2.8077,2.8077,0.2222,13,,0.5152,2,1,10,9,4,0.303,5,5,4.5,2,1,3,2,3,4,3,2,3,3,3,2,4,3,,,,1,,,,,,,,,
Emanuel Wilson,GB,RB,11,Yes,Yes,Yes,8,1,No,,No,1,1,0.125,-4,0.125,,-4,118.8,7.4301,1.4554,1.4554,0.25,17,0.875,,1,1,13,17,12,1.625,13,13,17,12,1.3,2.3,1.8,2.8,2.3,2.3,1.8,2.3,2.3,2.3,1.8,2.3,2.3,,,,1,2,2,,,,,,,
Quentin Johnston,LAC,WR,40,No,Yes,Yes,40,1,No,,No,,,0.025,18,0.15,0.85,18,39.6,-10.8991,5.3831,5.3831,0.0909,14,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Blake Whiteheart,CLV,TE,6,No,Yes,No,5,,No,,No,,,,,0.4,,,,,,,,16,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cameron Latu,PHI,TE,3,Yes,Yes,Yes,1,,No,,No,,,,,,,,,,,,,15,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chris Manhertz,NYG,TE,2,No,Yes,No,1,,No,,No,,,,,,,,,,,,,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,21,No,Yes,No,20,,No,,No,,,,,0.35,0.65,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,1,No,Yes,No,1,,No,,No,,,,,1,,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,21,No,Yes,No,21,2,No,1,No,1,0.5,0.0952,67,0.1905,0.8095,33.5,39.6,-13.2337,6.0154,6.0154,0.2857,14,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,
Luther Burden,CHI,WR,19,No,Yes,No,19,1,No,,No,1,1,0.0526,27,0.4211,0.5789,27,118.8,15.0867,1.0026,1.0026,0.1429,15,,,1,1,27,,,1.4211,27,27,,,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,,1,,1,,,,,,,,,
Ty Johnson,BUF,RB,20,No,Yes,No,17,2,No,,No,,,0.1176,6,0.1765,0.1176,3,39.6,-7.3553,2.6613,2.6613,0.3333,17,0.6471,0.0588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Van Jefferson,TEN,WR,13,No,Yes,No,13,,No,,No,,,,,0.1538,0.8462,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,23,No,Yes,No,22,3,No,1,No,2,0.6667,0.1364,34,0.2727,0.7273,11.3333,81.3,-2.9861,5.8542,5.8542,0.5,16,,,2,0.6667,17,-1,,0.7727,5.6667,8.5,-0.5,,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,1,,1,1,,,1,,,,,,
Andre Baccellia,ARZ,WR,3,No,Yes,No,3,,No,,Yes,,,,,,1,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,11,No,Yes,No,9,,No,,No,,,,,,,,,,,,,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robert Tonyan,KC,TE,2,No,Yes,Yes,2,,No,,No,,,,,1,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kareem Hunt,KC,RB,24,No,Yes,Yes,20,,No,,No,,,,,0.05,0.05,,,,,,,17,0.85,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,20,No,Yes,Yes,18,2,No,1,No,2,1,0.1111,9,0.1111,0.1111,4.5,83.3,2.7926,5.1707,5.1707,0.3333,17,,0.7778,1,0.5,19,16,7,1.0556,9.5,19,16,7,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,1,,1,1,,,,,,,,,
Zach Charbonnet,SEA,RB,9,No,Yes,Yes,7,,No,,No,,,,,,0.1429,,,,,,,16,0.8571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chuba Hubbard,CAR,RB,21,No,Yes,No,19,,No,,No,,,,,0.0526,0.2632,,,,,,,15,0.6842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jared Wayne,HST,WR,1,No,Yes,No,1,,No,,No,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Worthy,KC,WR,36,No,Yes,No,35,1,No,,No,1,1,0.0286,3,0.3143,0.6857,3,39.6,-5.4499,1.3903,1.3903,0.1111,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rachaad White,TB,RB,31,No,Yes,No,25,1,No,,No,1,1,0.04,-8,0.04,0.08,-8,79.2,-7.5287,2.7354,2.7354,0.1,17,0.88,,1,1,-3,5,1,-0.12,-3,-3,5,1,-0.3,0.7,0.2,1.2,0.7,0.7,0.2,0.7,0.7,0.7,0.2,0.7,0.7,,,,,,,,,,,,,
Elijah Moore,BUF,WR,7,No,Yes,No,7,,No,,No,,,,,0.4286,0.5714,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malachi Corley,CLV,WR,6,No,Yes,No,6,,No,,No,,,,,0.5,0.5,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darren Waller,MIA,TE,11,No,Yes,No,11,1,No,,No,1,1,0.0909,22,0.6364,0.2727,22,158.3,2.4251,3.5858,3.5858,0.3333,9,,0.0909,1,1,13,,,1.1818,13,13,,,7.3,8.3,7.8,8.3,8.8,8.3,7.8,8.3,8.3,8.3,7.8,8.8,8.3,1,1,1,1,,,,1,1,,,,
Isiah Pacheco,KC,RB,21,No,Yes,No,17,1,No,,No,,,0.0588,3,0.1176,,3,39.6,-6.5094,1.3701,1.3701,0.1429,13,0.8824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pat Freiermuth,PIT,TE,19,No,Yes,No,19,3,No,,No,2,0.6667,0.1579,49,0.7368,0.1579,16.3333,81.9,12.4025,6.2513,6.2513,0.3333,17,,0.1053,1,0.3333,68,37,2,3.5789,22.6667,68,37,2,12.8,13.8,13.3,13.8,14.3,13.8,13.3,13.8,13.8,13.8,13.3,14.3,13.8,1,1,1,1,,,,1,,1,,,
Calvin Austin,PIT,WR,15,No,Yes,No,15,,No,,No,,,,,0.4667,0.5333,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,19,No,Yes,Yes,16,2,No,,Yes,2,1,0.125,12,0.25,0.0625,6,93.8,-1.0873,2.6938,2.6938,0.25,17,0.6875,,2,1,13,1,,0.8125,6.5,6.5,0.5,,1.3,3.3,2.3,4.3,3.3,3.3,2.3,3.3,3.3,3.3,2.3,3.3,3.3,,,1,,,,,,,,,,
LeQuint Allen,JAX,RB,24,No,Yes,No,17,,No,,No,,,,,0.1765,,,,,,,,17,0.8235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,2,No,Yes,No,1,,No,,No,,,,,,,,,,,,,8,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colston Loveland,CHI,TE,27,No,Yes,No,26,3,No,,No,3,1,0.1154,32,0.2692,0.3077,10.6667,118.1,3.4303,5.1057,5.1057,0.3,16,0.0385,0.3846,3,1,37,5,1,1.4231,12.3333,12.3333,1.6667,0.3333,3.7,6.7,5.2,6.7,8.2,6.7,5.2,6.7,6.7,6.7,5.2,8.2,6.7,,,,2,1,0.3333,,,,,,,
Darnell Mooney,ATL,WR,13,No,Yes,Yes,13,1,No,,Yes,,,0.0769,17,0.3077,0.6923,17,39.6,-11.6653,4.6292,4.6292,0.1667,15,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,23,No,Yes,No,18,,No,,No,,,,,0.1111,0.2778,,,,,,,17,,0.6111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kalif Raymond,DET,WR,4,No,Yes,No,4,1,No,,No,,,0.25,9,0.75,0.25,9,39.6,-7.4539,1.7526,1.7526,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,21,No,Yes,No,21,1,No,,No,,,0.0476,3,0.5238,0.4762,3,39.6,-5.4499,8.8943,8.8943,0.1429,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,
Isaac TeSlaa,DET,WR,9,No,Yes,No,9,,No,,No,,,,,0.4444,0.5556,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Allen Lazard,NYJ,WR,18,No,Yes,No,17,2,No,,No,,,0.1176,75,0.7647,0.2353,37.5,39.6,-13.3764,3.466,3.466,0.4,10,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,
Hunter Renfrow,CAR,WR,7,No,Yes,No,7,2,No,,No,1,0.5,0.2857,16,0.8571,0.1429,8,58.3,-3.6822,4.6804,4.6804,1,6,,,1,0.5,7,4,1,1,3.5,7,4,1,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,,2,,,,,,,,,,
Zay Jones,ARZ,WR,8,No,No,No,8,,No,,No,,,,,0.25,0.75,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylin Noel,HST,WR,8,Yes,Yes,No,8,,No,,No,,,,,0.75,0.25,,,,,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stefon Diggs,NE,WR,36,No,Yes,No,34,1,No,1,No,1,1,0.0294,30,0.6176,0.3824,30,39.6,-9.194,5.6075,5.6075,0.25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Jaydon Blue,DAL,RB,2,No,Yes,No,2,,No,,No,,,,,,,,,,,,,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,15,No,Yes,Yes,10,2,No,1,No,1,0.5,0.2,-5,0.1,,-2.5,56.3,-8.9617,2.8461,2.8461,0.5,17,0.9,,1,0.5,-7,,-1,-0.7,-3.5,-7,,-1,-0.7,0.3,-0.2,0.8,0.3,0.3,-0.2,0.3,0.3,0.3,-0.2,0.3,0.3,,,,,,,1,,,,,,
Kyle Monangai,CHI,RB,20,No,Yes,No,15,,No,,No,,,,,0.0667,0.0667,,,,1.3632,1.3632,,17,0.7333,0.1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ben Sinnott,WAS,TE,10,Yes,Yes,Yes,7,,No,,No,,,,,0.1429,,,,,,,,16,0.1429,0.7143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,2,No,Yes,No,2,1,No,,No,,,0.5,22,0.5,,22,39.6,-11.9429,2,2,1,2,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Devontez Walker,BLT,WR,3,No,Yes,No,3,,No,,No,,,,,,1,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,20,No,Yes,No,17,,No,,No,,,,,0.4706,0.1176,,,,,,,16,0.0588,0.3529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,1,No,Yes,Yes,1,,No,,Yes,,,,,,1,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Drew Sample,CIN,TE,8,No,Yes,No,6,,No,,No,,,,,,0.3333,,,,,,,17,0.1667,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curtis Samuel,BUF,WR,6,No,Yes,No,5,,No,,No,,,,,0.4,0.6,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tanner Hudson,CIN,TE,3,No,Yes,No,3,,No,,No,,,,,0.3333,0.3333,,,,,,,13,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Najee Harris,LAC,RB,1,No,Yes,Yes,1,,No,,No,,,,,,,,,,,,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chase Brown,CIN,RB,12,No,Yes,No,8,,No,,No,,,,,0.125,0.125,,,,,,,17,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Will Shipley,PHI,RB,4,Yes,Yes,Yes,4,,No,,No,,,,,,,,,,,,,15,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kyren Williams,LA,RB,6,No,No,No,4,1,No,,No,1,1,0.25,27,0.25,,27,118.8,18.2778,1.5878,1.5878,0.25,17,0.75,,1,1,30,3,,7.5,30,30,3,,3,4,3.5,4.5,4,4,3.5,4,4,4,3.5,4,4,,1,,1,,,,,,,,,
Payne Durham,TB,TE,4,No,Yes,No,4,1,No,,No,,,0.25,,,,,39.6,-5.289,1.4853,1.4853,1,17,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Kraft,GB,TE,6,No,Yes,No,4,,No,,No,,,,,,0.25,,,,1.385,1.385,,8,,0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Bates,WAS,TE,12,Yes,Yes,Yes,6,,No,,No,,,,,0.1667,0.1667,,,,,,,15,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trey McBride,ARZ,TE,30,No,No,No,30,5,No,1,No,3,0.6,0.1667,53,0.5333,0.1,10.6,87.5,-7.4959,16.2779,16.2779,0.5556,17,0.0333,0.3333,2,0.4,6,,,0.2,1.2,3,,,6.6,8.6,7.6,8.6,9.6,8.6,7.6,8.6,8.6,8.6,7.6,9.6,8.6,4,,4,1,,,,1,1,2,,,
Cam Skattebo,NYG,RB,12,No,Yes,No,11,2,No,,Yes,1,0.5,0.1818,6,0.0909,,3,77.1,1.4717,2.7692,2.7692,1,8,0.9091,,1,0.5,16,14,3,1.4545,8,16,14,3,1.6,2.6,2.1,3.1,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,,,,1,,,,,,,,,
Dont'e Thornton,LV,WR,8,No,Yes,Yes,7,1,No,,No,1,1,0.1429,19,0.4286,0.5714,19,118.8,8.0679,5.9,5.9,1,15,,,1,1,20,1,,2.8571,20,20,1,,2,3,2.5,3,3,3,2.5,3,3,3,2.5,3,3,,,,1,,,,,,1,,,
Malik Davis,DAL,RB,1,Yes,Yes,Yes,1,,No,,No,,,,,,,,,,1.4022,1.4022,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dawson Knox,BUF,TE,26,No,Yes,No,24,,No,,No,,,,,0.2917,0.1667,,,,,,,17,0.0833,0.4583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,8,Yes,Yes,No,8,,No,,No,,,,,0.375,0.625,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Noah Brown,WAS,WR,1,No,Yes,No,1,,No,,No,,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,35,No,Yes,No,34,3,No,1,No,1,0.3333,0.0882,85,0.4412,0.5588,28.3333,,-11.9042,4.5508,4.5508,0.2143,17,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,
TreVeyon Henderson,NE,RB,17,No,Yes,No,14,,No,,No,,,,,0.0714,,,,,,,,17,0.8571,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Reed,GB,WR,6,Yes,Yes,Yes,6,1,No,,No,1,1,0.1667,-1,1,,-1,79.2,-4.1699,1.3659,1.3659,0.3333,7,,,1,1,2,3,1,0.3333,2,2,3,1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,,,,
Devin Neal,NO,RB,14,No,Yes,No,10,,No,,No,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oronde Gadsden,LAC,TE,40,No,Yes,No,39,3,No,1,No,3,1,0.0769,60,0.2564,0.1795,20,118.8,10.7541,6.0841,6.0841,0.1765,15,,0.5641,3,1,66,6,2,1.6923,22,22,2,0.6667,6.6,9.6,8.1,9.6,11.1,9.6,8.1,9.6,9.6,9.6,8.1,11.1,9.6,,2,,3,,,1,,,,1,,
