Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentWideRoutesPercentage,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,DropsTotal,AlignmentBackfieldRoutesPercentage,AveragesPerTargetDropsTotal,playerStatsInside20ReceivingTargetsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,TargetsContestedTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Harrison Bryant,HST,TE,11,No,Yes,No,7,1,No,Yes,1,1,0.1429,1,1,5,5,0.8571,0.1429,5,87.5,0.7143,5,-1.48,5,1,1.4355,1.4355,0.2,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,12,,,,,,,,,,,,,,,,,,,,,
Tylan Wallace,BLT,WR,16,No,Yes,Yes,16,,No,No,,,,,,,,,0.4375,,,,,,,,,,,,,,,,,,,,,,,,14,0.5625,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,19,No,Yes,Yes,18,3,No,No,3,1,0.1667,2,0.6667,19,23,0.2778,0.2778,7.6667,123.6,1.0556,6.3333,-1.2768,9.5,2,5.9991,5.9991,0.3333,7.9,9.9,8.9,9.9,10.9,9.9,8.9,9.9,9.9,9.9,8.9,10.9,9.9,17,0.3889,1,1,1,1,0.0556,0.3333,1,,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,24,No,Yes,No,24,4,No,No,3,0.75,0.1667,3,0.75,61,23,0.5,0.3333,5.75,77.1,2.5417,15.25,8.2961,20.3333,3,6.0647,6.0647,0.5714,6.1,9.1,7.6,9.1,10.6,9.1,7.6,9.1,9.1,9.1,7.6,10.6,9.1,17,0.1667,,,,,,,,44,15,14.6667,5,,,,,,,,,
Adam Thielen,PIT,WR,11,No,Yes,Yes,10,,No,No,,,,,,,,,0.6,,,,,,,,,,,,,,,,,,,,,,,,16,0.4,,,,,,,,,,,,,,,,,,,,
Josiah Deguara,ARZ,TE,5,No,Yes,No,5,,No,No,,,,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,12,0.2,,,,,,,,,,,,,,,,,,,,
Braelon Allen,NYJ,RB,3,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,
David Moore,CAR,WR,2,No,Yes,No,2,,No,No,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,18,No,Yes,No,18,2,No,No,2,1,0.1111,2,1,48,38,,0.5556,19,118.8,2.6667,24,12.0679,24,2,4.2856,4.2856,0.2222,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,17,0.4444,,,,,,,,10,1,5,0.5,,,,,,,,,
Isaiah Williams,NYJ,WR,19,No,No,No,19,3,No,Yes,3,1,0.1579,2,0.6667,23,23,,0.6842,7.6667,89.6,1.2105,7.6667,0.214,11.5,1,4.1676,4.1676,0.6,2.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,4.3,3.3,4.3,4.3,15,0.3158,,,,1,,0.3333,,5,3,2.5,1.5,1,1,,,,,,,
Chris Moore,WAS,WR,30,No,Yes,No,30,1,No,No,1,1,0.0333,,,,21,,0.2,21,39.6,,,-11.2393,,,3.4345,3.4345,0.1111,,,,,,,,,,,,,,14,0.8,1,,,1,,1,1,,,,,,,1,,,,,,
Tutu Atwell,LA,WR,2,No,Yes,No,2,,No,No,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,
Josh Palmer,BUF,WR,23,No,No,No,23,1,No,Yes,1,1,0.0435,1,1,8,8,,0.087,8,100,0.3478,8,0.4894,8,1,2.8483,2.8483,0.1111,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,12,0.913,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,6,Yes,Yes,Yes,3,1,No,No,1,1,0.3333,,,,6,,,6,39.6,,,-7.7086,,,1.2347,1.2347,1,,,,,,,,,,,,,,5,,,,,,1,,,,,,,,,,,,,,,
Mason Kinsey,TEN,WR,6,No,Yes,No,6,2,No,No,1,0.5,0.3333,1,0.5,34,60,,0.1667,30,95.8,5.6667,17,4.8096,34,1,4.0837,4.0837,0.6667,3.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,4.4,3.9,4.4,4.4,10,0.8333,,,,,,,,1,,1,,1,,2,1,,,,,
Omarion Hampton,LAC,RB,19,No,Yes,No,12,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.0833,,,,,0.9167,,,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,7,No,Yes,Yes,3,,No,Yes,,,,,,,,0.3333,0.3333,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,0.3333,,,,,,,,,,,,,,,
Kameron Johnson,TB,WR,3,No,Yes,No,3,,Yes,Yes,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,17,0.6667,,,,,,,,,,,,,,,,,,,,
Corey Kiner,ARZ,RB,2,No,Yes,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,1,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,7,No,Yes,No,7,,No,No,,,,,,,,,0.4286,,,,,,,,1.7633,1.7633,,,,,,,,,,,,,,,14,0.5714,,,,,,,,,,,,,,,,,,,,
Luther Burden,CHI,WR,30,No,Yes,No,30,1,No,No,,,0.0333,,,,22,,0.3333,22,39.6,,,-11.9241,,,2.6892,2.6892,0.0833,,,,,,,,,,,,,,15,0.6333,,,,,0.0333,,,,,,,,,1,,,,,,
Garrett Wilson,NYJ,WR,22,No,Yes,No,22,1,No,No,1,1,0.0455,1,1,8,9,,0.2727,9,100,0.3636,8,0.5461,8,,1.5881,1.5881,0.1667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,7,0.7273,,,,,,,,-1,,-1,,,,,,,,,,
