teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
7,Cincinnati,Bengals,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,146,No,No,Yes,652,146,Yes,28,Yes,146,1,14,0.2239,128,16,1,0.8767,1810,954,376,1180,18,12,5,27,0.2109,0.1781,0.1644,0.3082,0.3493,106,0.726,3,0.0205,8.0822,149.3,2.7761,12.3973,4.69,0.0342,14.1406,7.4531,2.9375,89,25
26,Philadelphia,Eagles,1,WAS,NFC,NFC East,Open,Open,Cover 6,17,112,No,No,No,493,112,No,18,Yes,112,1,6,0.2272,98,11,1,0.875,1326,507,179,1086,9,4,8,10,0.102,0.1786,0.1518,0.2946,0.375,76,0.6786,2,0.0179,9.6964,142.8,2.6897,11.8393,3.9162,0.0714,13.5306,5.1735,1.8265,52,10
8,Cleveland,Browns,,CIN,AFC,AFC North,Closed,Closed,Cover 1,17,118,No,No,Yes,516,118,Yes,18,Yes,118,1,9,0.2287,103,12,1,0.8729,1293,497,159,1043,15,7,10,9,0.0874,0.0847,0.1864,0.2458,0.4831,98,0.8305,2,0.0169,8.839,151.9,2.5058,10.9576,3.2509,0.0847,12.5534,4.8252,1.5437,67,19
2,Atlanta,Falcons,1,NO,NFC,NFC South,Open,Open,Cover 4,17,167,No,Yes,No,742,167,No,28,Yes,167,1,9,0.2251,150,17,1,0.8982,1880,764,289,1294,15,9,7,26,0.1733,0.1557,0.1138,0.3114,0.4132,113,0.6766,3,0.018,7.7485,143.5,2.5337,11.2575,3.6988,0.0419,12.5333,5.0933,1.9267,86,26
32,Washington,Commanders,,PHI,NFC,NFC East,Open,Open,Cover 6,17,135,No,No,No,593,135,No,25,Yes,135,1,10,0.2277,124,18,2,0.9185,1859,896,264,1127,17,6,4,21,0.1694,0.1407,0.1556,0.3111,0.3926,108,0.8,3,0.0222,8.3481,158.3,3.1349,13.7704,6.1193,0.0296,14.9919,7.2258,2.129,83,25
4,Buffalo,Bills,1,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,114,Yes,No,No,497,114,No,22,Yes,114,1,10,0.2294,101,15,4,0.886,1270,526,149,1009,11,8,5,14,0.1386,0.2018,0.0789,0.2807,0.4386,81,0.7105,1,0.0088,8.8509,141.6,2.5553,11.1404,3.43,0.0439,12.5743,5.2079,1.4752,61,15
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 4,17,122,No,No,No,539,122,No,26,Yes,122,1,9,0.2263,111,20,2,0.9098,1500,549,213,1130,18,8,6,16,0.1441,0.0738,0.2295,0.3279,0.3689,96,0.7869,,,9.2623,157.5,2.7829,12.2951,4.5888,0.0492,13.5135,4.9459,1.9189,73,20
5,Carolina,Panthers,,TB,NFC,NFC South,Closed,Closed,Prevent,17,123,No,No,No,538,123,Yes,21,Yes,123,1,5,0.2286,116,17,3,0.9431,1557,667,197,992,11,4,4,14,0.1207,0.1463,0.1951,0.3496,0.3089,86,0.6992,3,0.0244,8.065,148.6,2.8941,12.6585,5.1366,0.0325,13.4224,5.75,1.6983,73,16
6,Chicago,Bears,1,DET,NFC,NFC North,Open,Open,Cover 0,17,169,Yes,Yes,Yes,739,169,No,26,Yes,169,1,11,0.2287,153,20,3,0.9053,2111,876,260,1420,16,6,10,13,0.085,0.1479,0.1598,0.3609,0.3314,124,0.7337,6,0.0355,8.4024,147.8,2.8566,12.4911,4.7629,0.0592,13.7974,5.7255,1.6993,101,22
16,Kansas City,Chiefs,,LV,AFC,AFC West,Open,Closed,Cover 3,17,128,No,No,No,538,128,No,20,Yes,128,1,6,0.2379,115,13,1,0.8984,1365,651,188,918,6,3,7,7,0.0609,0.1406,0.1562,0.3203,0.3828,90,0.7031,2,0.0156,7.1719,126.7,2.5372,10.6641,3.3489,0.0547,11.8696,5.6609,1.6348,54,19
