teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero
20,Miami,Dolphins,NE,AFC,AFC East,Open,Closed,Cover 3,17,185,Yes,No,Yes,762,185,No,20,Yes,185,1,5,0.2428,174,13,0.9405,1583,1082,289,600,8,5,5,31,0.1782,0.2216,0.1297,0.3027,0.3459,127,0.6865,35,0.1892,3.2432,116.7,2.0774,8.5568,2.205,0.027,9.0977,6.2184,1.6609,73,18,,1
3,Baltimore,Ravens,PIT,AFC,AFC North,Closed,Closed,Cover 1,17,196,No,No,No,788,196,No,34,Yes,196,1,2,0.2487,184,27,0.9388,1538,989,345,671,3,2,5,27,0.1467,0.2857,0.102,0.2704,0.3367,142,0.7245,48,0.2449,3.4235,102.3,1.9518,7.8469,1.2828,0.0255,8.3587,5.375,1.875,68,22,,
12,Green Bay,Packers,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,199,Yes,No,Yes,829,199,No,26,Yes,199,1,2,0.24,185,21,0.9296,1437,909,327,626,5,2,8,28,0.1514,0.2915,0.1256,0.2714,0.3116,117,0.5879,40,0.201,3.1457,105.1,1.7334,7.2211,0.7148,0.0402,7.7676,4.9135,1.7676,63,21,,3
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 2,17,208,No,No,No,858,208,No,33,Yes,208,1,5,0.2424,192,22,0.9231,1632,923,340,837,8,4,4,31,0.1615,0.2308,0.1635,0.3029,0.3029,137,0.6587,40,0.1923,4.024,108.2,1.9021,7.8462,1.1976,0.0192,8.5,4.8073,1.7708,83,24,1,1
22,New England,Patriots,MIA,AFC,AFC East,Open,Closed,Cover 3,17,151,Yes,No,Yes,613,151,No,15,Yes,151,1,,0.2463,139,9,0.9205,1230,785,239,526,2,,7,19,0.1367,0.2252,0.1391,0.2583,0.3642,92,0.6093,31,0.2053,3.4834,105,2.0065,8.1457,1.6415,0.0464,8.8489,5.6475,1.7194,56,6,1,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Open,Open,Cover 2,17,166,No,No,No,652,166,No,23,Yes,166,1,4,0.2546,155,14,0.9337,1296,869,272,507,9,2,4,30,0.1935,0.1807,0.1747,0.2831,0.3554,112,0.6747,41,0.247,3.0542,114.8,1.9877,7.8072,1.3686,0.0241,8.3613,5.6065,1.7548,67,15,1,
28,Seattle,Seahawks,SF,NFC,NFC West,Closed,Closed,Cover 3,17,188,Yes,No,No,720,188,No,23,Yes,188,1,5,0.2611,171,12,0.9096,1384,1070,395,448,3,3,8,37,0.2164,0.2979,0.1277,0.25,0.3245,113,0.6011,57,0.3032,2.383,98.2,1.9222,7.3617,0.9947,0.0426,8.0936,6.2573,2.3099,60,23,,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Closed,Cover 3,17,148,No,No,No,575,148,No,17,Yes,148,1,2,0.2574,137,7,0.9257,1292,749,256,606,3,1,1,19,0.1387,0.1216,0.1892,0.3243,0.3649,107,0.723,39,0.2635,4.0946,109.8,2.247,8.7297,2.0743,0.0068,9.4307,5.4672,1.8686,56,14,,2
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Cover 4,17,152,No,No,No,583,152,No,18,Yes,152,1,1,0.2607,140,10,0.9211,1116,700,206,466,4,1,3,21,0.15,0.1645,0.1118,0.2961,0.4276,120,0.7895,39,0.2566,3.0658,106,1.9142,7.3421,0.9115,0.0197,7.9714,5,1.4714,56,17,1,1
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Cover 1,17,157,Yes,No,Yes,630,157,No,14,Yes,157,1,9,0.2492,148,9,0.9427,1264,722,232,642,8,7,4,20,0.1351,0.1783,0.1529,0.2548,0.414,99,0.6306,33,0.2102,4.0892,117.2,2.0063,8.051,1.3413,0.0255,8.5405,4.8784,1.5676,62,23,,1
