teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
28,Seattle,Seahawks,SF,NFC,NFC West,Closed,Closed,Cover 3,16,22,Yes,Yes,No,93,22,No,No,0.2366,204,0.0455,0.1364,0.3636,0.4545,16,0.7273,9.2727,20.6,-7.8757,3,,1,1,1,0.0455
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Closed,Red Zone,16,22,No,No,No,98,22,No,No,0.2245,276,0.0909,0.0909,0.5909,0.2273,16,0.7273,12.5455,39.6,-8.8089,4,1,,2,,
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 2,16,20,Yes,Yes,No,87,20,No,No,0.2299,184,0.15,0.15,0.2,0.5,11,0.55,9.2,18.8,-7.1513,4,,,1,1,0.05
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Closed,Cover 3,16,15,No,Yes,No,64,15,No,No,0.2344,136,0.0667,0.2667,0.2,0.4667,11,0.7333,9.0667,11.8,-8.04,4,,,3,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Closed,Closed,Cover 1,15,17,No,Yes,Yes,77,17,No,No,0.2208,132,0.1765,0.0588,0.5882,0.1765,11,0.6471,7.7647,39.6,-7.5527,4,1,,1,,
24,New York,Giants,DAL,NFC,NFC East,Closed,Closed,Cover 1,15,15,Yes,No,No,69,15,No,No,0.2174,172,0.1333,,0.2667,0.6,13,0.8667,11.4667,11.8,-8.3613,4,1,,1,,
6,Chicago,Bears,DET,NFC,NFC North,Closed,Open,Cover 2,16,16,No,No,No,77,16,No,No,0.2078,160,0.25,0.0625,0.4375,0.25,8,0.5,10,,-8.5043,4,1,1,3,1,0.0625
16,Kansas City,Chiefs,LV,AFC,AFC West,Closed,Closed,Cover 3,13,13,No,No,No,59,13,No,No,0.2203,125,0.0769,,0.6154,0.3077,11,0.8462,9.6154,39.6,-8.0541,,,,,,
5,Carolina,Panthers,TB,NFC,NFC South,Open,Open,Cover 2,16,19,Yes,No,No,85,19,No,No,0.2235,275,0.1579,0.1579,0.4211,0.2632,11,0.5789,14.4737,39.6,-9.2818,3,,,2,,
29,San Francisco,49ers,SEA,NFC,NFC West,Closed,Closed,Cover 3,17,25,Yes,Yes,No,109,25,No,No,0.2294,377,0.12,0.12,0.6,0.16,16,0.64,15.08,22.9,-9.6832,4,1,,2,1,0.04
26,Philadelphia,Eagles,WAS,NFC,NFC East,Open,Open,Cover 4,16,24,No,Yes,No,100,24,No,No,0.24,341,0.0833,,0.4167,0.5,18,0.75,14.2083,39.6,-8.9092,5,1,,2,1,0.0417
8,Cleveland,Browns,CIN,AFC,AFC North,Open,Open,Cover 0,15,17,No,No,Yes,75,17,No,No,0.2267,211,,0.1765,0.4118,0.4118,11,0.6471,12.4118,39.6,-8.9048,2,,,2,,
7,Cincinnati,Bengals,CLV,AFC,AFC North,Open,Open,Cover 0,15,15,No,No,Yes,68,15,No,No,0.2206,163,0.1333,0.1333,0.3333,0.4,9,0.6,10.8667,39.6,-8.1709,1,1,2,,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 3,14,15,Yes,No,Yes,66,15,No,No,0.2273,203,0.1333,,0.2667,0.6,8,0.5333,13.5333,39.6,-8.9232,4,1,,3,,
