teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTouchdownsInEndzone
8,Cleveland,Browns,CIN,AFC,AFC North,Closed,Closed,Cover 3,15,18,No,Yes,No,81,18,No,5,Yes,18,1,0.2222,14,2,1,0.7778,198,70,10,187,1,1,0.0714,0.1667,0.2778,0.1111,0.4444,11,0.6111,,,10.3889,131,2.4444,11,2.9386,0.0556,14.1429,5,0.7143,9,2,,1,1,1
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Closed,Cover 3,14,22,No,No,No,96,22,No,4,Yes,22,1,0.2292,15,1,,0.6818,172,82,13,127,5,1,0.0667,0.2727,,0.2727,0.4545,17,0.7727,1,0.0455,5.7727,106.6,1.7917,7.8182,0.7677,0.2273,11.4667,5.4667,0.8667,9,2,1,1,,
32,Washington,Commanders,PHI,NFC,NFC East,Open,Open,Cover 6,16,23,No,Yes,No,100,23,No,8,Yes,23,1,0.23,15,3,,0.6522,177,74,37,211,3,1,0.0667,0.1304,0.1739,0.1739,0.5217,15,0.6522,3,0.1304,9.1739,103,1.77,7.6957,-0.3359,0.1304,11.8,4.9333,2.4667,7,1,,1,1,1
31,Tennessee,Titans,JAX,AFC,AFC South,Open,Closed,Cover 1,17,20,No,Yes,No,90,20,Yes,4,Yes,20,1,0.2222,17,1,1,0.85,147,93,27,119,,,,0.25,0.15,0.35,0.25,11,0.55,1,0.05,5.95,114,1.6333,7.35,0.2165,,8.6471,5.4706,1.5882,8,2,,1,,
22,New England,Patriots,MIA,AFC,AFC East,Open,Closed,Cover 3,15,24,No,No,Yes,109,24,No,3,Yes,24,1,0.2202,19,2,2,0.7917,208,126,27,156,3,2,0.1053,0.0833,0.2917,0.375,0.25,17,0.7083,2,0.0833,6.5,113.2,1.9083,8.6667,1.665,0.125,10.9474,6.6316,1.4211,11,3,1,2,1,1
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 3,14,17,No,Yes,Yes,75,17,No,2,Yes,17,1,0.2267,15,1,,0.8824,203,95,19,127,2,1,0.0667,0.2941,0.0588,0.2941,0.3529,12,0.7059,1,0.0588,7.4706,116.4,2.7067,11.9412,4.293,0.1176,13.5333,6.3333,1.2667,10,1,1,,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 4,15,28,No,Yes,No,124,28,Yes,6,Yes,28,1,0.2258,21,3,,0.75,189,64,25,187,3,2,0.0952,0.1429,0.1071,0.3929,0.3214,19,0.6786,2,0.0714,6.6786,116.5,1.5242,6.75,-0.3163,0.1071,9,3.0476,1.1905,8,4,1,2,2,1
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Red Zone,15,33,No,No,No,146,33,No,10,Yes,33,1,0.226,23,5,1,0.697,198,99,22,198,6,3,0.1304,0.1515,0.0909,0.303,0.4545,23,0.697,3,0.0909,6,92.7,1.3562,6,-0.8253,0.1818,8.6087,4.3043,0.9565,13,5,,2,,
14,Indianapolis,Colts,HST,AFC,AFC South,Open,Open,Cover 2,17,26,No,No,No,109,26,No,8,Yes,26,1,0.2385,19,3,,0.7308,160,47,13,197,2,2,0.1053,0.1538,0.1154,0.2308,0.5,21,0.8077,2,0.0769,7.5769,127.1,1.4679,6.1538,-1.4559,0.0769,8.4211,2.4737,0.6842,12,5,,3,3,2
10,Denver,Broncos,LAC,AFC,AFC West,Closed,Open,Cover 2,16,27,Yes,No,No,124,27,No,9,Yes,27,1,0.2177,17,3,1,0.6296,183,61,23,259,2,,,0.037,0.1111,0.3704,0.4815,21,0.7778,,,9.5926,92.1,1.4758,6.7778,-1.1189,0.0741,10.7647,3.5882,1.3529,12,5,1,2,3,2
