Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Ben Yurosek,MIN,TE,17,Yes,No,Yes,11,2,No,,Yes,2,1,,0.1818,1,,0.5,5,5,1,6,0.8182,0.0909,0.0909,2,3,,56.3,0.4545,2.5,-3.691,5,5,1,,2.8291,2.8291,0.1176,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,12,,1,0.5,,,,,
Devin Culp,TB,TE,13,No,Yes,Yes,13,1,No,,No,1,1,1,0.0769,1,,1,6,,,11,0.3077,0.3846,0.3077,1,11,,131.3,0.4615,6,-2.7402,6,,,1,2.1046,2.1046,0.0769,6.6,7.6,7.1,7.6,8.1,7.6,7.1,7.6,7.6,7.6,7.1,8.1,7.6,1,11,,,,1,,1,,
Tyrone Tracy,NYG,RB,161,No,No,Yes,122,8,No,2,No,7,0.875,1,0.0656,6,1,0.75,36,28,5,27,,0.0574,0.1066,8,3.375,1,122.9,0.2951,4.5,-1.7075,6,4.6667,0.8333,4,14.969,14.969,0.0497,9.6,15.6,12.6,18.6,15.6,15.6,12.6,15.6,15.6,15.6,12.6,15.6,15.6,3,15,0.8361,1,0.125,1,,1,,
Michael Mayer,LV,TE,136,No,No,No,112,29,No,3,Yes,22,0.7586,,0.2589,20,1,0.6897,197,119,46,141,0.7143,0.1964,0.0714,29,4.8621,1,59.1,1.7589,6.7931,-0.0755,9.85,5.95,2.3,13,45.9568,45.9568,0.2132,19.7,39.7,29.7,39.7,49.7,42.7,32.7,39.7,39.7,39.7,29.7,49.7,39.7,4,13,0.0179,1,0.0345,,,,2,0.1
Jelani Woods,NYJ,TE,11,No,Yes,Yes,10,1,No,1,No,1,1,,0.1,,,,,,,8,0.6,0.2,0.2,1,8,,39.6,,,-7.7205,,,,,1.9732,1.9732,0.0909,,,,,,,,,,,,,,,4,,,,,,,,
Marvin Harrison,ARZ,WR,181,No,No,No,180,58,No,8,Yes,40,0.6897,11,0.3222,31,4,0.5345,491,83,46,844,,0.2722,0.7278,58,14.5517,13,86.2,2.7278,8.4655,-0.7055,15.8387,2.6774,1.4839,25,110.7348,110.7348,0.3204,61.1,92.1,76.6,92.1,92.1,95.1,79.6,92.1,92.1,92.1,76.6,92.1,92.1,6,12,,6,0.1034,2,2,2,1,0.0323
Tank Bigsby,PHI,RB,32,No,No,No,21,,No,,No,,,,,,,,,,,,,,0.0952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.9048,,,,,,,
Jordan Watkins,SF,WR,5,No,Yes,Yes,5,2,No,,No,1,0.5,,0.4,1,,0.5,7,1,,24,,0.8,0.2,2,12,,58.3,1.4,3.5,-5.4241,7,1,,,3.7767,3.7767,0.4,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,4,,,,,,,,
Xavier Gipson,PHI,WR,1,No,Yes,Yes,1,,No,,Yes,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,
Treyton Welch,NO,TE,7,No,Yes,No,5,,No,,Yes,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
