Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsContestedTotal,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsContested,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,TouchdownsTotal,ReceptionsHero,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Jahan Dotson,PHI,WR,204,No,No,No,193,24,No,3,No,13,0.5417,1,0.1244,12,3,0.5,195,30,13,333,0.0052,0.4301,0.5648,24,13.875,6,51.9,1.0104,8.125,-0.7755,16.25,2.5,1.0833,8,42.6191,42.6191,0.1176,25.5,37.5,31.5,37.5,37.5,40.5,34.5,37.5,37.5,37.5,31.5,37.5,37.5,5,17,,,,1,1,,,
DeVonta Smith,PHI,WR,266,No,No,No,258,82,No,17,No,63,0.7683,8,0.3178,53,10,0.6463,788,186,82,1213,,0.562,0.438,82,14.7927,20,107.2,3.0543,9.6098,0.5361,14.8679,3.5094,1.5472,32,164.4264,164.4264,0.3083,102.8,155.8,129.3,155.8,155.8,158.8,132.3,155.8,155.8,155.8,129.3,155.8,155.8,7,17,,4,0.0488,4,3,2,1,0.0189
Aaron Jones,MIN,RB,98,No,No,No,74,10,No,,Yes,8,0.8,,0.1351,8,,0.8,71,42,3,50,0.027,0.0135,0.0676,10,5,1,129.6,0.9595,7.1,0.3242,8.875,5.25,0.375,3,16.0397,16.0397,0.102,13.1,21.1,17.1,25.1,21.1,21.1,17.1,21.1,21.1,21.1,17.1,21.1,21.1,3,12,0.8919,,,1,,,,
Luke Farrell,SF,TE,73,No,No,No,56,6,Yes,2,Yes,5,0.8333,1,0.1071,5,2,0.8333,48,27,12,31,0.7857,0.1429,0.0714,6,5.1667,,139.6,0.8571,8,1.201,9.6,5.4,2.4,4,11.2069,11.2069,0.0822,10.8,15.8,13.3,15.8,18.3,15.8,13.3,15.8,15.8,15.8,13.3,18.3,15.8,3,17,,,,1,,,1,0.2
Nyheim Hines,NO,RB,1,No,Yes,No,1,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,1,,,,,,,
Luke Musgrave,GB,TE,111,Yes,No,Yes,101,21,No,3,Yes,20,0.9524,,0.2079,19,2,0.9048,201,59,12,191,0.5743,0.297,0.1287,21,9.0952,3,106.5,1.9901,9.5714,1.5826,10.5789,3.1053,0.6316,9,35.9794,35.9794,0.1892,20.1,39.1,29.6,39.1,48.6,42.1,32.6,39.1,39.1,39.1,29.6,48.6,39.1,,17,,,,,,,,
Christian Kirk,HST,WR,162,No,No,No,161,30,No,5,Yes,22,0.7333,1,0.1863,17,2,0.5667,171,58,24,255,,0.6894,0.3043,30,8.5,4,45.3,1.0621,5.7,-1.5227,10.0588,3.4118,1.4118,7,53.8234,53.8234,0.1852,17.1,34.1,25.6,34.1,34.1,37.1,28.6,34.1,34.1,34.1,25.6,34.1,34.1,3,13,0.0062,2,0.0667,,,,1,0.0588
Xavier Restrepo,TEN,WR,8,No,Yes,Yes,8,5,No,2,Yes,4,0.8,1,0.625,2,,0.4,27,26,3,47,,0.875,0.125,5,9.4,1,57.9,3.375,5.4,-2.3265,13.5,13,1.5,2,9.8312,9.8312,0.625,2.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,4.7,3.7,4.7,4.7,1,2,,,,,,,,
Woody Marks,HST,RB,181,No,No,No,112,7,No,1,Yes,5,0.7143,,0.0625,4,1,0.5714,23,28,3,-1,,0.0446,0.0714,7,-0.1429,,103,0.2054,3.2857,-2.7181,5.75,7,0.75,2,12.0658,12.0658,0.0387,14.3,18.3,16.3,20.3,18.3,18.3,16.3,18.3,18.3,18.3,16.3,18.3,18.3,4,16,0.8839,,,2,,,,
James Proche,TEN,WR,41,No,No,No,40,7,Yes,,Yes,5,0.7143,,0.175,5,,0.7143,53,3,,97,,0.275,0.725,7,13.8571,2,93.2,1.325,7.5714,-1.3009,10.6,0.6,,1,16.1527,16.1527,0.1707,5.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,10.3,7.8,10.3,10.3,,9,,,,,,,,
Puka Nacua,LA,WR,264,No,No,Yes,258,127,No,28,No,109,0.8583,4,0.4922,101,22,0.7953,1414,453,246,1321,0.0194,0.3682,0.6085,127,10.4016,15,130.8,5.4806,11.1339,3.1496,14,4.4851,2.4356,67,220.8398,220.8398,0.4811,188.4,289.4,238.9,289.4,289.4,292.4,240.9,288.4,288.4,288.4,237.9,289.4,288.4,9,16,0.0039,3,0.0236,8,9,2,9,0.0891
Colson Yankoff,WAS,TE,17,No,No,No,14,3,No,,No,2,0.6667,,0.2143,2,,0.6667,18,5,1,18,0.3571,0.3571,0.1429,3,6,,82.6,1.2857,6,-1.2446,9,2.5,0.5,2,4.6918,4.6918,0.1765,1.8,3.8,2.8,3.8,4.8,3.8,2.8,3.8,3.8,3.8,2.8,4.8,3.8,,14,0.1429,,,,,,,
Dylan Laube,LV,RB,7,No,No,No,5,,No,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
Jason Brownlee,KC,WR,6,No,No,No,5,1,No,,Yes,,,1,0.2,,,,,,,14,,,1,1,14,,39.6,,,-9.8134,,,,,2.9306,2.9306,0.1667,,,,,,,,,,,,,,1,6,,,,,,,,
Taysom Hill,NO,TE,41,No,Yes,No,37,6,No,,Yes,4,0.6667,1,0.1622,2,,0.3333,19,13,2,49,0.1622,0.4324,0.2703,6,8.1667,1,43.1,0.5135,3.1667,-4.6705,9.5,6.5,1,1,11.713,11.713,0.1538,8.18,10.18,9.18,10.18,11.18,10.18,9.18,10.18,10.18,10.18,9.18,11.75,10.75,,13,0.1351,2,0.3333,,,,,
DeMario Douglas,NE,WR,113,Yes,No,Yes,113,28,No,4,Yes,20,0.7143,1,0.2478,19,3,0.6786,316,103,22,395,,0.8319,0.1593,28,14.1071,7,141.4,2.7965,11.2857,2.5138,16.6316,5.4211,1.1579,12,55.0023,55.0023,0.2478,49.6,68.6,59.1,68.6,68.6,71.6,62.1,68.6,68.6,68.6,59.1,68.6,68.6,4,17,0.0088,,,3,2,1,3,0.1579
James Mitchell,CAR,TE,9,No,No,No,8,2,No,,Yes,2,1,,0.25,2,,1,20,22,10,-2,0.5,0.5,,2,-1,,108.3,2.5,10,4.1797,10,11,5,2,2.8321,2.8321,0.2222,2,4,3,4,5,4,3,4,4,4,3,5,4,,5,,,,,,,,
Cade Otton,TB,TE,265,No,No,No,226,47,No,12,Yes,39,0.8298,1,0.208,34,8,0.7234,320,130,49,307,0.2788,0.5575,0.1637,47,6.5319,1,89,1.4159,6.8085,-0.5164,9.4118,3.8235,1.4412,14,75.0534,75.0534,0.1774,38,72,55,72,89,75,58,72,72,72,55,89,72,4,16,,1,0.0213,1,,,2,0.0588
Carter Runyon,LV,TE,8,No,No,No,3,,No,,Yes,,,,,,,,,,,,0.6667,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,
Malik Nabers,NYG,WR,58,No,No,No,57,28,No,3,Yes,19,0.6786,4,0.4912,16,2,0.5714,260,50,41,473,,0.1754,0.8246,28,16.8929,8,97.3,4.5614,9.2857,-0.2614,16.25,3.125,2.5625,10,57.5875,57.5875,0.4828,38,54,46,54,54,57,49,54,54,54,46,54,54,1,4,,2,0.0714,2,1,2,2,0.125
Xavier Weaver,ARZ,WR,100,No,No,Yes,99,8,No,1,No,3,0.375,1,0.0808,2,,0.25,12,2,,161,,0.1818,0.8182,8,20.125,5,,0.1212,1.5,-8.6764,6,1,,,18.6916,18.6916,0.08,1.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,1,9,,1,0.125,,,,,
Ray-Ray McCloud,NYG,WR,67,No,No,No,65,8,No,1,Yes,5,0.625,1,0.1231,5,1,0.625,63,38,26,72,,0.3692,0.6308,8,9,,47.4,0.9692,7.875,-0.2612,12.6,7.6,5.2,3,16.8556,16.8556,0.1194,6.3,11.3,8.8,11.3,11.3,11.3,8.8,11.3,11.3,11.3,8.8,11.3,11.3,1,6,,,,,,,2,0.4
Eric Saubert,SEA,TE,43,No,No,No,24,,Yes,,Yes,,,,,,,,,,,,0.9167,0.0833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
Brian Robinson,SF,RB,37,No,No,No,28,1,Yes,1,Yes,1,1,,0.0357,1,1,1,4,1,1,3,,0.1071,,1,3,,83.3,0.1429,4,-2.5094,4,1,1,,1.2779,1.2779,0.027,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,17,0.8929,,,,,,,
Alvin Kamara,NO,RB,151,No,No,No,110,16,No,,No,14,0.875,,0.1455,11,,0.6875,47,38,5,54,,0.0636,0.0909,16,3.375,1,71.9,0.4273,2.9375,-3.454,4.2727,3.4545,0.4545,2,27.817,27.817,0.106,3.7,14.7,9.2,20.2,14.7,14.7,8.2,13.7,13.7,13.7,8.2,14.7,13.7,4,11,0.8455,3,0.1875,,,,1,0.0909
Gunner Olszewski,NYG,WR,28,No,No,Yes,26,5,No,1,No,5,1,,0.1923,5,1,1,68,31,10,37,,0.4615,0.5385,5,7.4,,118.8,2.6154,13.6,6.2328,13.6,6.2,2,3,9.424,9.424,0.1852,12.12,17.12,14.62,17.12,17.12,17.12,14.62,17.12,17.12,17.12,14.62,17.45,17.45,,16,,,,,,,,
Jimmy Horn,CAR,WR,31,No,No,No,31,6,No,,Yes,4,0.6667,,0.1935,4,,0.6667,62,17,3,71,,0.6452,0.3548,6,11.8333,1,100.7,2,10.3333,2.1025,15.5,4.25,0.75,2,9.2974,9.2974,0.1935,6.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,10.2,8.2,10.2,10.2,1,13,,,,,,,,
Tai Felton,MIN,WR,13,Yes,No,Yes,13,3,No,,Yes,3,1,,0.2308,3,,1,25,14,3,11,,0.0769,0.9231,3,3.6667,,101.4,1.9231,8.3333,1.8291,8.3333,4.6667,1,2,7.5023,7.5023,0.2308,2.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,5.5,4,5.5,5.5,,14,,,,,,,,
Tucker Fisk,LAC,TE,29,No,No,No,15,1,No,1,Yes,1,1,,0.0667,,,,,,,4,0.6667,0.2,0.0667,1,4,,39.6,,,-6.0667,,,,,1.3418,1.3418,0.0345,,,,,,,,,,,,,,,10,0.0667,1,1,,,,,
Braxton Berrios,HST,WR,29,No,Yes,No,29,6,No,,No,5,0.8333,,0.2069,5,,0.8333,38,10,5,32,,0.6207,0.3793,6,5.3333,,93.1,1.3103,6.3333,-0.2375,7.6,2,1,3,9.0701,9.0701,0.2069,3.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,8.8,6.3,8.8,8.8,1,4,,,,,,,1,0.2
Thomas Fidone,NYG,TE,8,No,No,No,7,,Yes,,Yes,,,,,,,,,,,,0.1429,0.7143,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Kendre Miller,NO,RB,28,No,No,Yes,14,,No,,Yes,,,,,,,,,,,,,0.0714,0.0714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.8571,,,,,,,
Travis Hunter,JAX,WR,106,No,Yes,No,105,25,No,3,No,16,0.64,3,0.2381,12,1,0.48,154,62,31,262,,0.581,0.419,25,10.48,4,34.4,1.4667,6.16,-2.0071,12.8333,5.1667,2.5833,6,44.9746,44.9746,0.2358,15.4,27.4,21.4,27.4,27.4,30.4,24.4,27.4,27.4,27.4,21.4,27.4,27.4,3,7,,2,0.08,,,,5,0.4167
DK Metcalf,PIT,WR,221,No,No,No,218,75,No,17,Yes,56,0.7467,9,0.344,42,6,0.56,673,282,79,913,,0.211,0.789,75,12.1733,14,90.6,3.0872,8.9733,0.5434,16.0238,6.7143,1.881,30,141.5352,141.5352,0.3394,103.3,145.3,124.3,145.3,145.3,148.3,127.3,145.3,145.3,145.3,124.3,145.3,145.3,10,15,,3,0.04,6,2,4,12,0.2857
Mark Andrews,BLT,TE,175,No,Yes,Yes,163,53,Yes,10,Yes,47,0.8868,8,0.3252,41,8,0.7736,358,96,41,399,0.1104,0.7178,0.1718,53,7.5283,1,118.3,2.1963,6.7547,-0.8264,8.7317,2.3415,1,21,98.5575,98.5575,0.3029,65.8,106.8,86.3,106.8,127.3,109.8,89.3,106.8,106.8,106.8,86.3,127.3,106.8,10,17,,5,0.0943,5,,3,,
Parker Washington,JAX,WR,214,No,No,No,209,69,Yes,16,Yes,54,0.7826,6,0.3301,46,11,0.6667,698,222,79,872,,0.4976,0.4976,69,12.6377,13,111.9,3.3397,10.1159,1.5198,15.1739,4.8261,1.7174,32,132.8252,132.8252,0.3224,99.8,145.8,122.8,145.8,145.8,148.8,125.8,145.8,145.8,145.8,122.8,145.8,145.8,10,16,0.0048,5,0.0725,5,2,4,10,0.2174
Tyquan Thornton,KC,WR,119,No,No,No,115,28,No,6,No,17,0.6071,4,0.2435,12,3,0.4286,302,43,15,831,,0.313,0.687,28,29.6786,20,106.5,2.6261,10.7857,-1.229,25.1667,3.5833,1.25,10,64.33,64.33,0.2353,42.2,54.2,48.2,54.2,54.2,57.2,51.2,54.2,54.2,54.2,48.2,54.2,54.2,2,14,,2,0.0714,2,2,2,,
Breece Hall,NYJ,RB,155,No,Yes,Yes,105,9,No,1,No,9,1,1,0.0857,6,,0.6667,46,33,9,20,,0.0381,0.019,9,2.2222,,78.9,0.4381,5.1111,-1.2982,7.6667,5.5,1.5,2,15.6624,15.6624,0.0584,8.76,14.76,11.76,17.76,14.76,14.76,11.76,14.76,14.76,14.76,11.76,14.8,14.8,4,16,0.9429,2,0.2222,,,,,
Trent Sherfield,ARZ,WR,35,No,No,No,29,3,No,,No,2,0.6667,,0.1034,2,,0.6667,18,14,11,33,0.0345,0.4828,0.4828,3,11,1,82.6,0.6207,6,-1.9622,9,7,5.5,1,5.7481,5.7481,0.0857,1.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,3.8,2.8,3.8,3.8,1,12,,,,,,,1,0.5
Evan Hull,NO,RB,16,No,Yes,No,15,,No,,Yes,,,,,,,,,,,,,,0.2667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.7333,,,,,,,
Dameon Pierce,KC,RB,5,No,No,No,3,1,No,,Yes,1,1,,0.3333,,,,,,,-5,,,,1,-5,,39.6,,,-5.8711,,,,,1.873,1.873,0.2,,,,,,,,,,,,,,,5,1,1,1,,,,,
Blake Corum,LA,RB,94,No,No,Yes,54,,No,,No,,,,,,,,,,,,,0.1296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8704,,,,,,,
Julian Hill,MIA,TE,85,Yes,No,Yes,46,10,No,,Yes,9,0.9,1,0.2174,8,,0.8,91,75,24,46,0.7609,0.1739,0.0435,10,4.6,1,104.6,1.9783,9.1,2.3787,11.375,9.375,3,4,18.1228,18.1228,0.1176,9.1,17.1,13.1,17.1,21.1,17.1,13.1,17.1,17.1,17.1,13.1,21.1,17.1,1,14,0.0217,1,0.1,,,,1,0.125
