Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAirTotal,DropsTotal,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,TargetsContestedTotal,TargetsInEndzone,YardsAfterContactTotal,AlignmentInlineRoutesPercentage,AveragesPerReceptionYardsAfterContact,ReceptionsContested,ReceptionsHero,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal
Isaiah Hodgins,NYG,WR,4,No,Yes,No,4,Yes,Yes,,7,1,1,1,0.25,1,1,12,,12,,0.5,0.5,12,,116.7,3,12,2.9539,,12,,1,1.5535,1.5535,0.25,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,1,,,,,1,,,,,,
Devin Singletary,NYG,RB,7,No,Yes,No,6,Yes,Yes,0.6667,17,,,,,,,,,,,0.1667,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,9,No,Yes,No,9,No,No,,13,1,,,0.1111,,,,,27,,0.3333,0.6667,27,1,,,,-11.9133,,,,,1.0519,1.0519,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,
Trayveon Williams,CLV,RB,4,No,Yes,No,3,No,No,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Sills,ATL,WR,4,No,No,No,4,No,No,,17,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,2,Yes,Yes,Yes,2,Yes,Yes,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quinshon Judkins,CLV,RB,7,No,Yes,No,6,No,Yes,0.8333,14,1,1,1,0.1667,,,,,5,,,,5,,39.6,,,-7.233,,,,,1.5936,1.5936,0.1429,,,,,,,,,,,,,,,,,0.1667,,,,,,,,
Devaughn Vele,NO,WR,12,No,Yes,No,12,No,Yes,,13,6,4,0.6667,0.5,4,0.6667,56,-2,103,,0.4167,0.5833,17.1667,2,136.1,4.6667,9.3333,-0.5959,,14,-0.5,4,11.9425,11.9425,0.5,11.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,15.6,13.6,15.6,15.6,2,1,-1,,-0.25,2,2,1,1,,,1
Josh Downs,IND,WR,5,Yes,Yes,No,5,No,No,,16,2,1,0.5,0.4,1,0.5,10,2,22,,0.8,0.2,11,,104.2,2,5,-3.662,,10,2,1,4.1109,4.1109,0.4,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,,,,,,,,1,,,,1
Tetairoa McMillan,CAR,WR,21,No,Yes,No,21,Yes,Yes,,17,10,9,0.9,0.4762,7,0.7,122,24,168,1,0.2381,0.7619,16.8,3,144.6,5.8095,12.2,1.7668,0.1,17.4286,3.4286,6,17.2236,17.2236,0.4762,18.2,25.2,21.7,25.2,25.2,28.2,24.7,25.2,25.2,25.2,21.7,25.2,25.2,1,1,5,,0.7143,,,1,1,,,1
Foster Moreau,NO,TE,5,Yes,No,No,3,No,No,,11,1,1,1,0.3333,1,1,7,8,-1,,0.3333,,-1,,95.8,2.3333,7,2.0986,,7,8,,1.357,1.357,0.2,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,,,4,0.6667,4,,,,,,,
KeAndre Lambert-Smith,LAC,WR,4,No,No,No,4,No,No,,10,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,17,No,Yes,No,17,No,No,,16,4,2,0.5,0.2353,2,0.5,74,11,133,,0.4706,0.5294,33.25,4,95.8,4.3529,18.5,5.0962,,37,5.5,2,9.2813,9.2813,0.2353,7.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,9.4,8.4,9.4,9.4,,1,3,,1.5,,,,,,,
Isaiah Davis,NYJ,RB,5,No,No,No,3,No,No,1,16,1,1,1,0.3333,,,,,20,1,,,20,1,39.6,,,-10.2619,1,,,,1.47,1.47,0.2,,,,,,,,,,,,,,1,,,,,,,,,,,
Colby Parkinson,LA,TE,1,No,No,No,1,No,No,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,7,No,Yes,No,5,No,No,0.8,17,,,,,,,,,,,0.2,,,,,,,,,,,,1.8658,1.8658,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,29,Yes,Yes,Yes,29,No,No,,12,11,6,0.5455,0.3793,2,0.1818,24,-1,179,2,0.3448,0.6552,16.2727,3,39.6,0.8276,2.1818,-7.7924,0.1818,12,-0.5,2,18.1711,18.1711,0.3793,2.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4.4,3.4,4.4,4.4,4,,-1,,-0.5,1,,,,,,1
Brenden Bates,CLV,TE,4,No,Yes,No,3,No,No,,9,1,1,1,0.3333,1,1,19,7,12,,,,12,,118.8,6.3333,19,10.3339,,19,7,1,1.438,1.438,0.25,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,,,3,1,3,,,,,1,1,
Bucky Irving,TB,RB,12,No,Yes,No,10,Yes,Yes,1,10,1,1,1,0.1,1,1,72,49,23,,,,23,1,158.3,7.2,72,59.8148,,72,49,1,1.9077,1.9077,0.0833,13.2,14.2,13.7,14.7,14.2,14.2,13.7,14.2,14.2,14.2,13.7,14.2,14.2,,,,,,,,1,,1,1,
DJ Moore,CHI,WR,37,Yes,Yes,Yes,37,No,No,0.027,17,5,3,0.6,0.1351,3,0.6,69,28,105,,0.4054,0.5676,21,2,104.2,1.8649,13.8,3.2097,,23,9.3333,3,8.0035,8.0035,0.1351,6.9,9.9,8.4,9.9,9.9,9.9,8.4,9.9,9.9,9.9,8.4,9.9,9.9,,1,4,,1.3333,,1,,,1,0.3333,
Tyjae Spears,TEN,RB,8,No,No,No,6,No,No,1,13,2,1,0.5,0.3333,1,0.5,7,-1,10,,,,5,,58.3,1.1667,3.5,-3.9536,,7,-1,,4.5747,4.5747,0.25,0.7,1.7,1.2,2.2,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1,,-1,,-1,1,,,,1,1,
Josh Oliver,MIN,TE,4,Yes,Yes,No,3,Yes,Yes,,15,1,,,0.3333,,,,,4,,0.3333,,4,,39.6,,,-6.0667,,,,,1.5677,1.5677,0.25,,,,,,,,,,,,,,,,,0.6667,,,,,,,,
Nick Chubb,HST,RB,3,No,Yes,No,2,No,Yes,1,15,1,1,1,0.5,1,1,5,,5,,,,5,,87.5,2.5,5,-2.233,,5,,,1.4357,1.4357,0.3333,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1,,,,,1,,,,,,
Michael Carter,ARZ,RB,10,No,No,No,7,No,No,1,13,2,2,1,0.2857,1,0.5,9,6,19,,,,9.5,,62.5,1.2857,4.5,-4.0881,,9,6,,3.186,3.186,0.2,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,1,1,1,,1,,,,,,,1
Evan Hull,NO,RB,1,No,No,No,1,No,No,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,13,No,No,No,10,No,No,0.7,16,2,2,1,0.2,2,1,19,1,18,,0.1,0.2,9,,106.3,1.9,9.5,0.957,,9.5,0.5,1,3.1446,3.1446,0.1538,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,,,,,,,,,,,,
Trent Sherfield,ARZ,WR,3,No,Yes,No,3,No,Yes,,12,1,,,0.3333,,,,,6,,,1,6,,39.6,,,-6.9491,,,,,1.3732,1.3732,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,1
Tyquan Thornton,KC,WR,14,No,Yes,No,14,No,Yes,,14,2,2,1,0.1429,2,1,58,13,45,,0.3571,0.6429,22.5,1,118.8,4.1429,29,16.5283,,29,6.5,2,3.7045,3.7045,0.1429,5.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,7.8,6.8,7.8,7.8,,,2,,1,,,,,,,
Julian Hill,MIA,TE,9,Yes,Yes,No,4,Yes,Yes,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Dameon Pierce,KC,RB,2,Yes,Yes,Yes,2,Yes,Yes,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,1,No,No,No,1,No,No,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Travis Hunter,JAX,WR,9,No,Yes,No,9,No,No,,7,1,1,1,0.1111,1,1,44,1,43,,0.4444,0.5556,43,1,118.8,4.8889,44,29,,44,1,1,3.5345,3.5345,0.1111,4.4,5.4,4.9,5.4,5.4,5.4,4.9,5.4,5.4,5.4,4.9,5.4,5.4,1,,1,,1,1,1,,,,,
DK Metcalf,PIT,WR,21,Yes,Yes,No,21,Yes,Yes,,15,2,2,1,0.0952,2,1,46,15,31,,0.2857,0.7143,15.5,1,118.8,2.1905,23,14.0185,,23,7.5,1,2.1311,2.1311,0.0952,4.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,6.6,5.6,6.6,6.6,,,5,,2.5,,,,,,,
Mark Andrews,BLT,TE,18,No,No,No,17,No,No,,17,7,2,0.2857,0.4118,2,0.2857,14,,82,,0.5882,0.1176,11.7143,1,39.6,0.8235,2,-6.7862,,7,,,21.1513,21.1513,0.3889,1.4,3.4,2.4,3.4,4.4,3.4,2.4,3.4,3.4,3.4,2.4,4.4,3.4,,2,1,0.2941,0.5,,,,,,,4
Parker Washington,JAX,WR,13,No,No,No,13,No,No,,16,7,4,0.5714,0.5385,4,0.5714,96,5,177,,0.6923,0.3077,25.2857,6,62.2,7.3846,13.7143,2.767,,24,1.25,3,16.2073,16.2073,0.5385,9.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,13.6,11.6,13.6,13.6,2,1,-1,,-0.25,1,1,,,,,1
Eric Saubert,SEA,TE,5,No,Yes,No,4,No,Yes,,11,1,,,0.25,,,,,15,,,,15,,39.6,,,-10.6391,,,,,2.0458,2.0458,0.2,,,,,,,,,,,,,,,,,1,,,,,,,,1
Ray-Ray McCloud,NYG,WR,3,No,Yes,No,3,No,No,,6,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tucker Fisk,LAC,TE,2,No,Yes,No,1,No,Yes,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jimmy Horn,CAR,WR,4,No,Yes,No,4,Yes,Yes,,13,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,2,No,Yes,No,1,No,Yes,1,17,1,1,1,1,1,1,2,,2,,,,2,,79.2,2,2,-4.3947,,2,,,2.5492,2.5492,0.5,0.2,1.2,0.7,1.7,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,,,,,,,,,,,,1
Alvin Kamara,NO,RB,12,Yes,Yes,No,8,Yes,Yes,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,NYG,WR,2,No,Yes,No,2,Yes,Yes,,16,,,,,,,,,,,0.5,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,4,No,No,No,3,No,No,0.6667,13,1,1,1,0.3333,1,1,5,1,4,,,0.3333,4,,87.5,1.6667,5,-1.0667,,5,1,,1.2939,1.2939,0.25,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,,,1,,1,,,,,,,
Colson Yankoff,WAS,TE,1,No,Yes,No,1,No,No,,14,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Laube,LV,RB,2,Yes,Yes,Yes,1,Yes,Yes,1,17,1,,,1,,,,,3,,,,3,,39.6,,,-6.5094,,,,,1.3903,1.3903,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
Jason Brownlee,KC,WR,1,Yes,Yes,Yes,1,Yes,Yes,,6,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,4,Yes,Yes,No,4,Yes,Yes,,4,,,,,,,,,,,,1,,,,,,,,,,,4.9714,4.9714,,,,,,,,,,,,,,,,,,,,,,,,,,
James Mitchell,CAR,TE,1,No,Yes,No,1,Yes,Yes,,5,1,1,1,1,1,1,8,,8,,1,,8,,100,8,8,0.2795,,8,,,1.2318,1.2318,1,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,,,,,,,,,,,,
Cade Otton,TB,TE,38,No,Yes,No,34,Yes,Yes,,16,4,4,1,0.1176,2,0.5,47,32,28,,0.5882,0.2647,7,,92.7,1.3824,11.75,4.6377,,23.5,16,2,6.795,6.795,0.1053,4.7,6.7,5.7,6.7,7.7,6.7,5.7,6.7,6.7,6.7,5.7,7.7,6.7,2,,5,0.1471,2.5,,,,,,,1
DeMario Douglas,NE,WR,11,Yes,Yes,No,11,Yes,Yes,,17,4,2,0.5,0.3636,2,0.5,56,20,55,,0.8182,0.1818,13.75,1,95.8,5.0909,14,5.0618,,28,10,2,8.2678,8.2678,0.3636,5.6,7.6,6.6,7.6,7.6,7.6,6.6,7.6,7.6,7.6,6.6,7.6,7.6,,1,,,,,,,,,,1
Nyheim Hines,NO,RB,2,No,No,No,2,No,No,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luke Musgrave,GB,TE,3,Yes,Yes,No,3,Yes,Yes,,17,,,,,,,,,,,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6667,,,,,,,,
Aaron Jones,MIN,RB,9,No,Yes,No,9,No,Yes,0.7778,12,1,,,0.1111,,,,,11,,0.2222,,11,,39.6,,,-7.2558,,,,,2.8618,2.8618,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,HST,WR,9,Yes,Yes,No,9,No,No,,13,1,,,0.1111,,,,,10,,0.8889,0.1111,10,,39.6,,,-7.5,,,,,1.7607,1.7607,0.1111,,,,,,,,,,,,,,,,,,,,,,,,,1
Xavier Weaver,ARZ,WR,6,No,No,No,6,No,No,,9,2,2,1,0.3333,2,1,14,6,8,,0.1667,0.8333,4,,95.8,2.3333,7,0.9072,,7,3,1,4.5468,4.5468,0.3333,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,,1,,0.5,,,,,,,1
Puka Nacua,LA,WR,4,No,No,No,4,No,No,,16,1,,,0.25,,,,,2,,0.75,0.25,2,,39.6,,,-5.3344,,,,,1.546,1.546,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Woody Marks,HST,RB,15,Yes,Yes,No,12,No,No,1,16,5,2,0.4,0.4167,,,,,69,1,,,13.8,1,39.6,,,-7.8329,0.2,,,,6.6072,6.6072,0.3333,,,,,,,,,,,,,,1,,,,,,,,,,,1
James Proche,TEN,WR,4,No,No,No,4,No,No,,9,1,,,0.25,,,,,7,,,1,7,,39.6,,,-7.0645,,,,,1.3152,1.3152,0.25,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Restrepo,TEN,WR,1,No,No,No,1,No,No,,2,1,1,1,1,1,1,14,-3,17,,1,,17,,118.8,14,14,2.3347,,14,-3,1,1.3176,1.3176,1,1.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,2.4,1.9,2.4,2.4,,,1,,1,,,,,,,
Jameson Williams,DET,WR,6,Yes,Yes,Yes,6,No,No,,17,,,,,,,,,,,0.6667,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Giovanni Ricci,DET,TE,2,No,Yes,No,1,No,Yes,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jahan Dotson,PHI,WR,19,No,Yes,No,19,No,No,,17,3,2,0.6667,0.1579,2,0.6667,38,4,73,,0.3684,0.6316,24.3333,2,109.7,2,12.6667,2.6215,,19,2,1,10.0501,10.0501,0.1579,3.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,5.8,4.8,5.8,5.8,,,,,,,,,,,,
DeVonta Smith,PHI,WR,19,No,Yes,No,19,No,No,,17,4,4,1,0.2105,2,0.5,48,2,72,,0.8421,0.1579,18,2,93.8,2.5263,12,1.7705,,24,1,2,8.8855,8.8855,0.2105,4.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,6.8,5.8,6.8,6.8,3,,,,,1,,,,,,
Theo Johnson,NYG,TE,19,Yes,Yes,Yes,18,No,No,0.0556,15,2,2,1,0.1111,2,1,51,13,38,,0.6111,0.2222,19,1,118.8,2.8333,25.5,20.9623,,25.5,6.5,2,2.8364,2.8364,0.1053,5.1,7.1,6.1,7.1,8.1,7.1,6.1,7.1,7.1,7.1,6.1,8.1,7.1,1,,2,0.1111,1,1,,,,,,
Jalen McMillan,TB,WR,8,No,Yes,No,8,Yes,Yes,,4,3,2,0.6667,0.375,1,0.3333,33,5,79,1,0.25,0.75,26.3333,2,36.1,4.125,11,-0.1769,0.3333,33,5,1,6.1733,6.1733,0.375,3.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,4.3,3.8,4.3,4.3,1,,1,,1,1,,,,,,
Mitchell Evans,CAR,TE,4,No,Yes,No,2,Yes,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Malik Heath,GB,WR,3,Yes,Yes,Yes,3,No,Yes,,11,,,,,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,
Jalen Royals,KC,WR,1,Yes,Yes,Yes,1,Yes,Yes,,7,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,1,Yes,Yes,Yes,1,No,No,,5,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,7,No,Yes,No,7,No,No,,13,2,1,0.5,0.2857,1,0.5,19,6,23,,0.5714,0.4286,11.5,,83.3,2.7143,9.5,1.2927,,19,6,1,3.2917,3.2917,0.2857,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,,,4,,4,,,,,,,
Jack Stoll,NO,TE,3,No,Yes,Yes,3,Yes,Yes,0.3333,15,1,1,1,0.3333,1,1,13,,21,,0.3333,,21,1,158.3,4.3333,13,0.0365,,13,,1,3.4345,3.4345,0.3333,7.3,8.3,7.8,8.3,8.8,8.3,7.8,8.3,8.3,8.3,7.8,8.8,8.3,,1,,0.3333,,,,1,1,,,1
Russell Gage,SF,WR,1,No,Yes,No,1,No,Yes,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nate Adkins,DEN,TE,4,No,No,No,4,No,No,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Tre Harris,LAC,WR,19,No,No,No,19,No,No,,17,3,2,0.6667,0.1579,1,0.3333,11,,42,,0.3158,0.6842,14,1,45.1,0.5789,3.6667,-5.3775,,11,,1,4.6844,4.6844,0.1579,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,1,,,,,,,,,,,1
Luke Schoonmaker,DAL,TE,3,No,Yes,No,3,Yes,Yes,,17,1,1,1,0.3333,1,1,29,23,6,,0.3333,0.3333,6,,118.8,9.6667,29,21.907,,29,23,1,1.5248,1.5248,0.3333,2.9,3.9,3.4,3.9,4.4,3.9,3.4,3.9,3.9,3.9,3.4,4.4,3.9,,,5,0.3333,5,,,,,,,
David Martin-Robinson,TEN,TE,1,No,No,No,1,No,No,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Jayden Higgins,HST,WR,16,Yes,Yes,No,15,No,No,,17,4,3,0.75,0.2667,2,0.5,17,7,36,,0.0667,0.9333,9,,61.5,1.1333,4.25,-3.7146,,8.5,3.5,1,5.765,5.765,0.25,1.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,3.7,2.7,3.7,3.7,2,,2,,1,1,,,,,,
Xavier Smith,LA,WR,4,No,No,No,4,No,No,,16,2,1,0.5,0.5,1,0.5,18,5,50,,0.5,0.5,25,1,81.3,4.5,9,-2.8676,,18,5,1,3.975,3.975,0.5,1.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,2.8,2.3,2.8,2.8,,,3,,3,,,,,1,1,
Kenneth Walker,SEA,RB,8,No,Yes,No,4,No,Yes,0.75,17,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
De'Von Achane,MIA,RB,12,No,Yes,No,11,No,Yes,0.8182,16,4,3,0.75,0.3636,3,0.75,55,37,29,,0.1818,,7.25,,116.7,5,13.75,7.4627,,18.3333,12.3333,3,6.4058,6.4058,0.3333,5.5,8.5,7,10,8.5,8.5,7,8.5,8.5,8.5,7,8.5,8.5,,,6,,2,,,,,1,0.3333,
Mike Evans,TB,WR,17,No,Yes,No,17,Yes,Yes,,8,3,2,0.6667,0.1765,2,0.6667,21,-1,46,,0.3529,0.6471,15.3333,1,86.8,1.2353,7,-2.4611,,10.5,-0.5,2,5.9188,5.9188,0.1765,2.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,1,,-1,,-0.5,1,,,,1,0.5,
Tyler Lockett,LV,WR,13,Yes,Yes,Yes,13,Yes,Yes,,17,4,4,1,0.3077,3,0.75,46,5,61,,0.6154,0.3846,15.25,1,152.1,3.5385,11.5,1.8433,,15.3333,1.6667,3,12.4879,12.4879,0.3077,10.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,13.6,12.1,13.6,13.6,1,1,2,,0.6667,,,1,1,,,1
Jordan Addison,MIN,WR,18,Yes,Yes,No,18,Yes,Yes,,14,1,,,0.0556,,,,,16,,0.2778,0.7222,16,,39.6,,,-10.0952,,,,,1.865,1.865,0.0556,,,,,,,,,,,,,,,,,,,,,,,,,
Lil'Jordan Humphrey,DEN,WR,22,No,No,No,22,No,No,,10,4,1,0.25,0.1818,1,0.25,22,3,83,,0.3636,0.5909,20.75,2,10.4,1,5.5,-6.2407,,22,3,1,7.4766,7.4766,0.1818,2.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,3.2,2.7,3.2,3.2,,,,0.0455,,,,,,1,1,
Keon Coleman,BUF,WR,14,No,No,No,14,No,No,,13,4,3,0.75,0.2857,3,0.75,38,5,61,,0.3571,0.6429,15.25,1,143.8,2.7143,9.5,-0.5416,,12.6667,1.6667,3,9.8009,9.8009,0.2857,9.8,12.8,11.3,12.8,12.8,12.8,11.3,12.8,12.8,12.8,11.3,12.8,12.8,,1,,,,,,1,1,,,1
Cedrick Wilson,MIA,WR,2,Yes,Yes,No,2,Yes,Yes,,10,1,,,0.5,,,,,13,,0.5,0.5,13,,39.6,,,-8.9145,,,,,2.7907,2.7907,0.5,,,,,,,,,,,,,,,1,,,,,,,,,,1
John FitzPatrick,GB,TE,9,No,Yes,Yes,8,No,Yes,,15,3,3,1,0.375,3,1,15,11,6,,,0.375,2,,127.1,1.875,5,-0.8843,,5,3.6667,2,6.4873,6.4873,0.3333,7.5,10.5,9,10.5,12,10.5,9,10.5,10.5,10.5,9,12,10.5,1,1,4,0.625,1.3333,1,,1,1,,,1
Brashard Smith,KC,RB,5,Yes,Yes,Yes,5,Yes,Yes,1,17,1,1,1,0.2,1,1,6,,6,,,,6,,91.7,1.2,6,-1.7086,,6,,,2.2874,2.2874,0.2,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,1
Sean Tucker,TB,RB,3,No,Yes,No,2,Yes,Yes,0.5,17,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ollie Gordon,MIA,RB,3,Yes,Yes,No,1,Yes,Yes,,17,1,,,1,,,,,-1,,1,,-1,,39.6,,,-5.819,,,,,1.4407,1.4407,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,
Bryce Oliver,TEN,WR,1,No,No,No,1,No,No,,3,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mo Alie-Cox,IND,TE,3,Yes,Yes,No,2,No,No,,17,1,,,0.5,,,,,5,,0.5,,5,,39.6,,,-6.48,,,,,1.6039,1.6039,0.3333,,,,,,,,,,,,,,,,,0.5,,,,,,,,
Tyrone Tracy,NYG,RB,9,No,Yes,No,8,Yes,Yes,0.75,15,1,1,1,0.125,,,,,19,,0.125,0.125,19,,39.6,,,-8.3333,,,,,1.3106,1.3106,0.1111,,,,,,,,,,,,,,1,,,,,,,,,,,
Michael Mayer,LV,TE,6,Yes,Yes,Yes,6,Yes,Yes,,13,3,2,0.6667,0.5,2,0.6667,37,15,58,,0.5,,19.3333,1,109,6.1667,12.3333,-0.9081,,18.5,7.5,1,6.2123,6.2123,0.5,3.7,5.7,4.7,5.7,6.7,5.7,4.7,5.7,5.7,5.7,4.7,6.7,5.7,1,,6,0.5,3,1,,,,,,
Ben Yurosek,MIN,TE,1,Yes,Yes,No,1,Yes,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Devin Culp,TB,TE,1,No,Yes,No,1,Yes,Yes,,11,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
