Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetsContestedTotal,TargetsInEndzone,ReceptionsContested,TouchdownsTotal,TouchdownsInEndzone,AlignmentWideRoutesPercentage,DeepTargetTargetsTotal,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentInlineRoutesPercentage,DropsTotal,AveragesPerTargetDropsTotal,ReceptionsHero
Garrett Wilson,NYJ,WR,29,No,No,No,29,5,No,No,5,1,0.1724,3,0.6,47,9,4,45,,0.3103,9,91.3,1.6207,9.4,1.8715,15.6667,3,1.3333,2,8.5444,8.5444,0.1724,4.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,7.7,6.2,7.7,7.7,7,1,,,,,0.6897,1,,1,0.3333,,1,0.2,
Jeff Wilson,MIA,RB,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,
Kameron Johnson,TB,WR,6,Yes,No,Yes,6,1,No,Yes,,,0.1667,,,,,,15,,0.5,15,,,,-10.4097,,,,,1.8304,1.8304,0.1667,,,,,,,,,,,,,,17,,,,,,0.5,,,,,,,,
Dyami Brown,JAX,WR,19,No,Yes,No,19,3,No,No,2,0.6667,0.1579,1,0.3333,9,,,69,,0.2105,23,81.9,0.4737,3,-8.8444,9,,,1,6.664,6.664,0.1579,6.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,7.9,7.4,7.9,7.9,14,,1,,1,1,0.7895,1,1,,,,1,0.3333,
Luther Burden,CHI,WR,36,Yes,No,No,36,8,No,Yes,7,0.875,0.2222,5,0.625,115,40,8,105,0.0278,0.3611,13.125,106.3,3.1944,14.375,5.159,23,8,1.6,5,12.9605,12.9605,0.2222,11.5,16.5,14,16.5,16.5,19.5,17,16.5,16.5,16.5,14,16.5,16.5,15,,,,,,0.6111,2,,2,0.4,,2,0.25,
Ty Johnson,BUF,RB,32,Yes,Yes,No,28,2,Yes,No,2,1,0.0714,2,1,21,24,6,-3,0.5714,0.25,-1.5,110.4,0.75,10.5,4.7006,10.5,12,3,,4.0174,4.0174,0.0625,2.1,4.1,3.1,5.1,4.1,4.1,3.1,4.1,4.1,4.1,3.1,4.1,4.1,17,,,,,,0.1429,,,,,0.0357,,,
Van Jefferson,TEN,WR,49,No,Yes,No,49,13,No,No,7,0.5385,0.2653,5,0.3846,73,16,5,165,,0.2653,12.6923,57.5,1.4898,5.6154,-3.291,14.6,3.2,1,4,22.7251,22.7251,0.2653,7.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,12.3,9.8,12.3,12.3,16,2,,1,,,0.7347,2,,,,,,,
Elic Ayomanor,TEN,WR,66,No,Yes,No,66,12,No,No,10,0.8333,0.1818,9,0.75,83,23,8,111,,0.2273,9.25,98.3,1.2576,6.9167,-0.9002,9.2222,2.5556,0.8889,6,20.4,20.4,0.1818,20.3,29.3,24.8,29.3,29.3,29.3,24.8,29.3,29.3,29.3,24.8,29.3,29.3,16,2,2,2,2,2,0.7576,1,2,,,0.0152,1,0.0833,
Andre Baccellia,ARZ,WR,11,Yes,No,No,11,1,Yes,No,,,0.0909,,,,,,3,,0.3636,3,39.6,,,-5.4499,,,,,1.3675,1.3675,0.0909,,,,,,,,,,,,,,5,,,,,,0.6364,,1,,,,,,
Derrick Henry,BLT,RB,25,Yes,No,No,19,3,No,Yes,3,1,0.1579,3,1,23,19,6,4,1,,1.3333,98.6,1.2105,7.6667,1.5966,7.6667,6.3333,2,1,4.0398,4.0398,0.12,2.3,5.3,3.8,6.8,5.3,5.3,3.8,5.3,5.3,5.3,3.8,5.3,5.3,17,,,,,,,,,,,,,,
Robert Tonyan,KC,TE,5,Yes,No,No,4,1,No,Yes,1,1,0.25,1,1,1,,,1,,0.25,1,79.2,0.25,1,-4.7754,1,,,,1.3276,1.3276,0.2,0.1,1.1,0.6,1.1,1.6,1.1,0.6,1.1,1.1,1.1,0.6,1.6,1.1,16,,,,,,,,,,,0.75,,,
Kareem Hunt,KC,RB,31,Yes,No,No,25,2,No,Yes,1,0.5,0.08,1,0.5,6,9,1,11,0.84,0.08,5.5,16.7,0.24,3,-5.0255,6,9,1,,3.1492,3.1492,0.0645,0.6,1.6,1.1,2.1,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,17,1,,,,,0.04,,1,,,0.04,,,
AJ Barner,SEA,TE,66,No,Yes,No,59,19,No,Yes,15,0.7895,0.322,14,0.7368,88,30,13,106,0.0339,0.1017,5.5789,100.3,1.4915,4.6316,-2.2528,6.2857,2.1429,0.9286,6,32.7421,32.7421,0.2879,14.8,28.8,21.8,28.8,35.8,28.8,21.8,28.8,28.8,28.8,21.8,35.8,28.8,17,3,2,2,1,1,0.0169,,4,,,0.8475,,,
Zach Charbonnet,SEA,RB,42,No,Yes,No,32,4,No,Yes,4,1,0.125,4,1,43,37,16,6,0.8438,0.0625,1.5,111.5,1.3438,10.75,4.688,10.75,9.25,4,3,5.6783,5.6783,0.0952,4.3,8.3,6.3,10.3,8.3,8.3,6.3,8.3,8.3,8.3,6.3,8.3,8.3,16,,,,,,0.0938,,,,,,,,
Chuba Hubbard,CAR,RB,34,Yes,No,Yes,29,8,No,Yes,8,1,0.2759,7,0.875,41,51,27,9,0.8621,0.0345,1.125,88,1.4138,5.125,-1.0288,5.8571,7.2857,3.8571,3,16.9852,16.9852,0.2353,4.1,11.1,7.6,14.6,11.1,11.1,7.6,11.1,11.1,11.1,7.6,11.1,11.1,15,,,,,,0.1034,,1,1,0.1429,,1,0.125,
Xavier Worthy,KC,WR,46,No,No,No,46,9,No,Yes,7,0.7778,0.1957,6,0.6667,66,20,13,114,,0.3696,12.6667,88.2,1.4348,7.3333,-1.3573,11,3.3333,2.1667,2,19.0403,19.0403,0.1957,6.6,12.6,9.6,12.6,12.6,12.6,9.6,12.6,12.6,12.6,9.6,12.6,12.6,14,1,,,,,0.6304,2,,3,0.5,,,,
Rachaad White,TB,RB,43,Yes,No,Yes,40,3,No,Yes,2,0.6667,0.075,2,0.6667,19,14,4,15,0.8,0.1,5,84,0.475,6.3333,-0.411,9.5,7,2,2,4.5795,4.5795,0.0698,1.9,3.9,2.9,4.9,3.9,3.9,2.9,3.9,3.9,3.9,2.9,3.9,3.9,17,,,,,,0.1,,,1,0.5,,,,
Elijah Moore,BUF,WR,14,No,Yes,Yes,14,3,Yes,Yes,3,1,0.2143,3,1,72,28,12,44,,0.4286,14.6667,118.8,5.1429,24,14.9682,24,9.3333,4,3,4.6551,4.6551,0.2143,7.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,10.2,8.7,10.2,10.2,9,2,,2,,,0.5714,1,,1,0.3333,,,,
Malachi Corley,CLV,WR,8,No,No,No,8,2,No,Yes,2,1,0.25,2,1,10,6,1,4,,0.875,2,87.5,1.25,5,-1.0442,5,3,0.5,1,2.8635,2.8635,0.25,1,3,2,3,3,3,2,3,3,3,2,3,3,13,,,,,,0.125,,,1,0.5,,,,
Darren Waller,MIA,TE,22,No,No,Yes,22,7,No,Yes,5,0.7143,0.3182,5,0.7143,68,7,2,111,,0.3636,15.8571,141.7,3.0909,9.7143,-0.9052,13.6,1.4,0.4,4,15.3912,15.3912,0.3182,18.8,23.8,21.3,23.8,26.3,23.8,21.3,23.8,23.8,23.8,21.3,26.3,23.8,9,2,2,2,2,2,0.3636,2,2,,,0.2727,,,
Isiah Pacheco,KC,RB,31,No,No,No,27,3,No,Yes,3,1,0.1111,3,1,15,16,1,-1,0.8889,0.0741,-0.3333,87.5,0.5556,5,-1.4904,5,5.3333,0.3333,,4.4542,4.4542,0.0968,1.5,4.5,3,6,4.5,4.5,3,4.5,4.5,4.5,3,4.5,4.5,13,,,,,,0.037,,,,,,,,
Pat Freiermuth,PIT,TE,28,Yes,No,No,28,8,No,Yes,4,0.5,0.2857,3,0.375,19,7,4,73,,0.4286,9.125,45.8,0.6786,2.375,-6.0577,6.3333,2.3333,1.3333,1,18.145,18.145,0.2857,1.9,4.9,3.4,4.9,6.4,4.9,3.4,4.9,4.9,4.9,3.4,6.4,4.9,17,2,1,1,,,0.1786,1,1,,,0.3929,,,
Calvin Austin,PIT,WR,30,Yes,No,No,30,2,No,Yes,1,0.5,0.0667,1,0.5,8,4,3,9,,0.8333,4.5,60.4,0.2667,4,-2.2063,8,4,3,,2.836,2.836,0.0667,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,14,,,,,,0.1667,,,1,1,,,,
Ronnie Bell,NO,WR,2,No,Yes,No,2,,No,No,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,83,No,Yes,No,69,16,No,No,11,0.6875,0.2319,11,0.6875,184,145,17,71,0.7101,0.1884,4.4375,102.1,2.6667,11.5,4.4989,16.7273,13.1818,1.5455,8,27.5988,27.5988,0.1928,24.4,35.4,29.9,40.9,35.4,38.4,32.9,35.4,35.4,35.4,29.9,35.4,35.4,17,1,1,1,1,1,0.1014,,3,,,,,,1
LeQuint Allen,JAX,RB,26,No,Yes,No,20,1,No,No,1,1,0.05,1,1,9,7,2,2,0.8,0.2,2,104.2,0.45,9,2.6053,9,7,2,,1.1965,1.1965,0.0385,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,17,,,,,,,,,,,,,,
