teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,teamIsHomeTeam,opponentStatsReceivingReceptionsHero,opponentStatsReceivingTargetedReadDesignTotal,opponentStatsReceivingTargetedReadDesignPercentage
28,Seattle,Seahawks,SF,NFC,NFC West,Open,Open,Cover 2,17,74,No,Yes,No,343,32,No,3,Yes,24,0.75,4,0.0933,20,1,0.625,260,140,23,349,3,3,3,5,0.25,0.2812,0.0625,0.4375,0.2188,4,0.125,10.9062,106.3,0.758,8.125,-0.2714,0.0938,13,7,1.15,14,5,,,,
22,New England,Patriots,MIA,AFC,AFC East,Open,Open,Cover 2,17,36,Yes,Yes,No,148,14,No,6,No,12,0.8571,4,0.0946,7,2,0.5,85,15,6,161,2,2,1,,,0.0714,0.2143,0.1429,0.5714,1,0.0714,11.5,108.6,0.5743,6.0714,-2.8201,0.0714,12.1429,2.1429,0.8571,5,5,1,,,
30,Tampa Bay,Buccaneers,CAR,NFC,NFC South,Closed,Closed,Cover 1,17,38,No,Yes,No,165,14,Yes,2,Yes,10,0.7143,3,0.0848,8,,0.5714,136,14,2,188,2,2,,,,0.2143,0.2143,0.2143,0.3571,1,0.0714,13.4286,100,0.8242,9.7143,1.2904,,17,1.75,0.25,6,2,1,,,
17,Los Angeles,Rams,ARZ,NFC,NFC West,Open,Open,Cover 2 Man,17,44,No,Yes,No,201,18,No,3,No,12,0.6667,1,0.0896,10,1,0.5556,128,29,7,209,1,,,2,0.2,0.0556,0.0556,0.3333,0.5556,1,0.0556,11.6111,96.5,0.6368,7.1111,-1.711,,12.8,2.9,0.7,8,4,1,,,
31,Tennessee,Titans,JAX,AFC,AFC South,Closed,Open,Cover 4,17,48,No,Yes,No,212,17,No,1,No,14,0.8235,,0.0802,10,,0.5882,186,60,17,240,1,,,4,0.4,0.1176,0.2353,0.2353,0.4118,1,0.0588,14.1176,91.8,0.8774,10.9412,1.7697,,18.6,6,1.7,7,1,,,,
14,Indianapolis,Colts,HST,AFC,AFC South,Closed,Closed,Prevent,16,66,No,Yes,No,299,33,No,5,Yes,23,0.697,4,0.1104,15,2,0.4545,242,69,43,529,1,,2,2,0.1333,0.1818,0.1515,0.3636,0.303,3,0.0909,16.0303,80.6,0.8094,7.3333,-2.0264,0.0606,16.1333,4.6,2.8667,8,6,,1,,
10,Denver,Broncos,LAC,AFC,AFC West,Open,Open,Red Zone,17,61,No,Yes,No,282,22,No,3,No,15,0.6818,3,0.078,11,2,0.5,162,28,4,326,,,2,1,0.0909,0.1364,0.0909,0.3636,0.4091,1,0.0455,14.8182,55.5,0.5745,7.3636,-2.2581,0.0909,14.7273,2.5455,0.3636,8,4,1,,,
27,Pittsburgh,Steelers,BLT,AFC,AFC North,Closed,Closed,Cover 1,16,43,No,Yes,Yes,197,10,No,2,No,6,0.6,1,0.0508,6,2,0.6,70,5,1,128,1,1,,,,0.3,0.1,0.3,0.3,1,0.1,12.8,75,0.3553,7,-1.2695,,11.6667,0.8333,0.1667,2,1,1,,,
29,San Francisco,49ers,SEA,NFC,NFC West,Open,Open,Cover 2,17,39,No,Yes,No,179,19,No,2,Yes,13,0.6842,2,0.1061,9,,0.4737,98,22,7,200,2,2,1,2,0.2222,0.1579,0.1579,0.3158,0.3684,,,10.5263,76.2,0.5475,5.1579,-3.0077,0.0526,10.8889,2.4444,0.7778,4,3,1,,,
16,Kansas City,Chiefs,LV,AFC,AFC West,Open,Open,Cover 2,17,51,No,Yes,No,228,21,No,3,No,18,0.8571,1,0.0921,12,1,0.5714,198,85,27,212,1,,2,1,0.0833,0.1429,0.0952,0.2381,0.5238,2,0.0952,10.0952,85,0.8684,9.4286,1.4338,0.0952,16.5,7.0833,2.25,9,4,,1,,
24,New York,Giants,DAL,NFC,NFC East,Open,Open,Cover 4,17,61,No,Yes,No,272,22,No,5,No,17,0.7727,3,0.0809,10,2,0.4545,177,54,16,313,,,3,2,0.2,0.1364,,0.3182,0.5455,1,0.0455,14.2273,73.5,0.6507,8.0455,-1.1737,0.1364,17.7,5.4,1.6,8,4,1,,,
5,Carolina,Panthers,TB,NFC,NFC South,Closed,Closed,Cover 1,17,28,No,Yes,No,126,11,Yes,3,Yes,7,0.6364,,0.0873,5,1,0.4545,90,35,6,141,,,,,,0.0909,0.1818,0.4545,0.2727,1,0.0909,12.8182,74.1,0.7143,8.1818,-1.088,,18,7,1.2,4,3,,1,,
1,Arizona,Cardinals,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,39,No,Yes,No,166,14,No,3,No,10,0.7143,1,0.0843,10,2,0.7143,179,96,70,183,2,1,,6,0.6,0.0714,0.1429,0.3571,0.4286,,,13.0714,123.5,1.0783,12.7857,3.7366,,17.9,9.6,7,8,2,,,,
2,Atlanta,Falcons,NO,NFC,NFC South,Open,Open,Cover 6,17,59,No,Yes,Yes,270,19,No,4,Yes,14,0.7368,1,0.0704,12,3,0.6316,137,19,2,179,,,1,1,0.0833,0.1579,0.1053,0.1579,0.5263,1,0.0526,9.4211,84.8,0.5074,7.2105,-0.8838,0.0526,11.4167,1.5833,0.1667,8,2,1,,,
6,Chicago,Bears,DET,NFC,NFC North,Open,Open,Cover 4,17,44,No,Yes,No,193,9,No,2,No,5,0.5556,,0.0466,3,,0.3333,37,,1,133,,,1,,,0.2222,0.1111,0.2222,0.4444,1,0.1111,14.7778,7.4,0.1917,4.1111,-5.0278,0.1111,12.3333,,0.3333,1,1,1,,,
4,Buffalo,Bills,NYJ,AFC,AFC East,Open,Open,Cover 4,17,62,No,No,No,278,23,No,5,Yes,18,0.7826,4,0.0827,13,3,0.5652,184,31,38,298,2,2,2,2,0.1538,0.1739,0.0435,0.3913,0.3913,3,0.1304,12.9565,111.5,0.6619,8,-1.0806,0.087,14.1538,2.3846,2.9231,12,3,1,2,,
