Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AttemptsInEndzoneTotal,IncompletionsThrownAway,DropsYardsLost,DropsPercentage,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadCheckdownPercentage,AverageTimeToSack,OffTargetThrowAttemptsPercentage,TowThrowPercentage,InterceptionsTotal,ScramblesTouchdowns,IncompletionsBatted,SackedFaultTotal
Mitchell Trubisky,BUF,QB,7,7,1,1,6,1,1,0.237,7,67,11.1667,0.4328,17.8333,38,2,1,9,Yes,No,1,0.1429,2.1475,-0.1639,No,0.1429,1,0.6667,2.65,4.3,3.8,6.3333,152.8,No,Yes,5,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,11.58,12.25,12.25,4,,,,,,,,,,,,,,,,,,,
Jordan Love,GB,QB,19,19,18,0.8889,15,0.8333,1,0.2212,19,173,9.6111,0.5376,11.9474,87,3,,,Yes,Yes,6,0.3158,8.5299,-0.1332,Yes,0.0526,0.6111,0.6111,3.3222,,3.1667,5.4375,146.3,No,No,11,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,18.92,20.65,20.65,15,2,2,1,0.0556,1,0.1667,-6,0.0526,1,0.0556,0.0556,0.1111,3.4,,,,,,
Clayton Tune,GB,QB,4,4,4,0.75,3,0.75,0.75,-0.0679,4,20,5,0.7,5,14,,,,Yes,Yes,1,0.25,2.0354,-0.2589,Yes,,0.5,0.5,3.525,,3.8,3.5,85.4,No,No,1,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,1,1,2,,,,,,,,,,,,0.25,,0.25,0.25,,,,
Jameis Winston,NYG,QB,6,6,6,0.6667,3,0.5,0.6667,-0.0982,6,19,3.1667,0.3684,-4.3333,35,,,,Yes,Yes,3,0.5,2.4926,0.0846,Yes,,1,0.5,2.9833,,3,5.8333,17.4,No,No,1,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-0.24,-1.24,-1.24,-1.24,-1.24,-0.05,-1.05,3,,,11,0.1667,,,,,,,,,,0.3333,0.1667,1,,,
Josh Allen,BUF,QB,33,33,3,0.8333,18,0.6,0.7857,0.0157,33,200,6.6667,0.73,8,193,2,3,14,No,No,9,0.2727,11.9797,-0.0903,No,,0.5667,0.7333,2.89,3.5667,2.7222,6.8929,102.1,No,No,14,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,29.4,31.4,31.4,17,2,2,31,0.1333,,,,,3,0.1,0.0333,0.1333,,0.1,,,2,,
Max Brosmer,MIN,QB,5,5,5,0.6,3,0.6,1,0.1102,5,11,2.2,0.9091,-6.8,1,,,,Yes,Yes,2,0.4,2.4192,-0.0838,Yes,,0.2,0.4,3.38,,1.55,0.3333,25,No,Yes,1,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-0.56,-1.56,-1.56,-1.56,-1.56,-0.45,-1.45,7,,2,,,,,,,,,,0.2,,,0.2,1,,,
Michael Penix,ATL,QB,8,8,8,0.75,4,0.5,0.625,-0.1652,8,31,3.875,0.6129,6.375,38,1,,,No,No,,,3.4326,-0.4291,No,,1,0.375,3.0625,,,4.75,99.5,No,No,1,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.24,5.55,5.55,9,,,12,0.125,,,,,,,,,,0.25,,,,,
Tyrod Taylor,NYJ,QB,8,8,1,0.8571,4,0.5714,0.8571,0.1681,8,25,3.5714,0.28,3.5714,74,,1,1,Yes,No,2,0.25,3.5663,-0.1958,No,,0.7143,0.5714,3.5286,4.8,3.1,10.5714,64.6,No,Yes,1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.35,1.35,6,,,36,0.2857,,,,,2,0.2857,,,,0.1429,,,,,
Shedeur Sanders,CLV,QB,14,14,2,0.5455,5,0.4545,0.6667,-0.0641,14,70,6.3636,0.3571,2.8333,73,1,2,21,Yes,Yes,7,0.5,5.3086,0.1208,Yes,,0.4545,0.5455,3.3727,4.3,2.7857,8.1111,58.9,No,Yes,1,7.9,7.9,7.9,7.9,7.9,7.9,7.9,6.9,6.9,6.9,6.9,8.6,7.6,8,,1,,0.0909,1,0.1429,-11,0.0714,1,0.0909,,0.0909,4.3,0.2727,0.1818,1,,1,1
Jalen Hurts,PHI,QB,25,25,25,0.76,16,0.64,0.7826,0.0045,25,166,6.64,0.4578,6.44,149,2,,,Yes,No,3,0.12,10.3885,-0.2955,No,0.44,0.64,0.68,2.984,,2.3333,6.4783,93.1,No,Yes,8,13.64,13.64,13.64,13.64,13.64,13.64,13.64,12.64,12.64,12.64,12.64,15.3,14.3,16,1,1,3,0.08,,,,,2,0.08,0.04,0.08,,0.16,0.04,1,,1,
Cooper Rush,BLT,QB,2,2,2,1,1,0.5,0.5,-0.1268,2,10,5,,5,24,,,,Yes,No,,,1.0954,-0.5477,No,,0.5,0.5,3.75,,,12,64.6,Yes,Yes,1,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,4,,,,,,,,,,,,,,,,,,,
Davis Mills,HST,QB,8,8,8,0.875,6,0.75,0.75,0.1481,8,93,11.625,0.1828,11.625,110,,,,No,No,1,0.125,3.4499,-0.3062,No,,0.5,0.875,3.075,,2.3,13.75,113,No,No,5,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,3.72,4.65,4.65,6,1,,,,,,,,3,0.375,,,,0.125,,,,,
Malik Willis,GB,QB,2,2,2,1,2,1,1,0.2042,2,8,4,0.75,14,9,1,,,No,No,1,0.5,0.7676,0.1162,No,,1,0.5,2.8,,2.9,4.5,122.9,No,No,1,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.32,4.4,4.4,4,1,,,,,,,,,,,,,,,,,,
Riley Leonard,IND,QB,5,5,5,0.6,3,0.6,0.75,-0.0977,5,9,1.8,1.3333,1.8,8,,,,Yes,Yes,4,0.8,2.2468,0.3507,No,0.4,0.4,0.6,3.18,,2.9,2,64.6,No,Yes,,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,5,,1,,,,,,,,,,,,0.2,,,,,
Tyler Shough,NO,QB,13,12,12,0.6667,6,0.5,0.8,-0.0219,12,49,4.0833,0.3265,4.0833,40,,,,Yes,No,1,0.0833,5.5716,-0.381,No,,0.6667,0.5833,3.2667,,3.3,4,60.8,No,Yes,1,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,1.96,2.45,2.45,11,,2,2,0.1667,,,,,1,0.0833,,0.0833,,0.1667,,,,,
Trey Lance,LAC,QB,2,2,2,0.5,1,0.5,1,0.0762,2,2,1,1.5,1,-1,,,,Yes,No,1,0.5,0.9401,0.03,No,0.5,0.5,0.5,3.3,,3.1,-1,56.3,No,Yes,,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.1,0.1,4,,1,,,,,,,,,,,,,,,,,
Kenny Pickett,LV,QB,1,1,1,1,1,1,1,0.1052,1,3,3,1,3,,,,,No,No,1,1,0.5218,0.4782,No,,,1,3.6,,3,,79.2,No,No,,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.15,0.15,6,,,,,,,,,,,,,,,,,,,
Chris Oladokun,KC,QB,2,2,2,0.5,1,0.5,1,0.257,2,7,3.5,,3.5,7,,,,Yes,No,,,0.5261,-0.2631,No,,0.5,0.5,2.1,,,7,58.3,No,No,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,3,,,,,,,,,,,,,,,,,,1,
Lamar Jackson,BLT,QB,25,24,2,0.8235,12,0.7059,0.8667,0.2529,24,203,11.9412,0.3005,11.0455,205,4,2,9,No,No,10,0.4167,6.7834,0.134,No,,0.7647,0.5882,2.8882,5.7,3.19,13.6667,150.2,No,No,9,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,25.02,27.05,27.05,13,5,1,8,0.0588,5,0.5,-40,0.2083,3,0.1765,0.1176,,3.62,0.0588,,,,1,3
Trevor Lawrence,JAX,QB,32,32,2,0.7586,15,0.5172,0.8,0.0845,32,142,4.8966,0.5493,5.4,227,1,2,5,Yes,Yes,10,0.3125,14.0627,-0.127,No,0.0312,0.5517,0.4828,3.3862,4.8,3.1,8.7308,77.1,No,Yes,9,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,10.18,11.6,11.6,17,4,2,54,0.1724,1,0.1,,0.0312,3,0.1034,0.0345,0.0345,3.6,0.1034,,,,1,
Bo Nix,DEN,QB,64,62,1,0.7213,38,0.623,0.7636,0.0195,62,336,5.5082,0.619,7.0656,500,7,1,22,Yes,Yes,15,0.2419,27.6726,-0.2044,No,0.0645,0.7213,0.5902,3.2049,4.3,3.1,8.807,108.4,No,No,20,42.64,42.64,42.64,42.64,42.64,45.64,45.64,41.64,41.64,41.64,41.64,46,45,17,7,4,25,0.0656,,,,,9,0.1475,0.0164,0.0656,,0.1967,0.0328,1,,,
Jayden Daniels,WAS,QB,16,16,2,0.6923,9,0.6923,0.8182,0.0784,16,164,12.6154,0.4634,13,96,1,2,9,No,No,9,0.5625,5.2999,0.2313,No,0.1875,0.4615,0.5385,2.9385,4.25,2.4222,8.7273,137.5,No,No,7,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,11.46,13.1,13.1,7,,2,,,1,0.1111,-2,0.0625,1,0.0769,0.0769,0.0769,2.8,0.1538,,,,,
Brandon Allen,TEN,QB,2,2,2,,,,,-0.6897,2,,,,,18,,,,Yes,Yes,1,0.5,0.9574,0.0213,Yes,,1,,3.35,,3.7,9,39.6,No,No,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,
