Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,TowThrowPercentage,IncompletionsSpiked
Cooper Rush,BLT,QB,46,46,46,0.8043,31,0.6739,0.7907,0.019,46,,275,5.9783,0.5236,2.0652,262,,,,,,No,No,13,0.2826,13.5665,-0.0123,No,0.0435,0.1087,2,0.0435,0.0217,0.6087,0.1304,0.587,2.2848,,2.2538,5.8222,46.9,No,No,10,7,7,7,7,7,7,7,3,3,3,3,9.75,5.75,4,6,0.0652,4,,1,,0.0435,
Riley Leonard,IND,QB,59,59,57,0.7895,34,0.5965,0.6981,-0.0361,59,1,347,6.0877,0.4582,3.9831,471,2,,0.1176,-17,0.0339,No,No,17,0.2881,18.5991,-0.0271,No,0.0339,0.1404,7,0.1228,0.0877,0.7368,0.0877,0.6667,2.4667,3.95,2.6471,8.7222,66.9,No,Yes,16,16.58,16.58,16.58,16.58,16.58,19.58,17.58,11.58,11.58,11.58,11.58,20.05,15.05,5,28,0.0526,3,7,2,2,0.0526,
Malik Willis,GB,QB,28,28,27,0.9259,22,0.8148,0.8889,0.2076,28,,334,12.3704,0.3263,13.1429,291,1,,0.1,-6,0.0357,No,No,10,0.3571,8.0856,0.0684,Yes,0.1071,0.0741,6,0.2222,0.1111,0.8519,0.037,0.7778,2.3111,2.9,2.48,10.7778,142.9,No,Yes,14,21.36,21.36,21.36,21.36,21.36,24.36,24.36,21.36,21.36,21.36,21.36,24.7,24.7,4,8,0.0741,,2,,2,,
Davis Mills,HST,QB,141,141,137,0.7372,80,0.5839,0.6977,-0.0301,141,2,781,5.7007,0.3111,5.7021,1117,4,,0.1081,-32,0.0284,No,No,37,0.2624,39.3843,-0.0169,Yes,0.0355,0.1971,16,0.1168,0.0365,0.7518,0.0657,0.562,2.2416,2.75,2.227,8.542,83.6,No,Yes,39,50.24,50.24,50.24,50.24,50.24,53.24,53.24,49.24,49.24,49.24,49.24,58.05,57.05,6,34,0.073,1,13,4,5,0.0219,
Trey Lance,LAC,QB,53,53,48,0.625,23,0.4792,0.5714,-0.1431,53,,189,3.9375,0.5503,2.0189,413,5,,0.3125,-37,0.0943,No,No,16,0.3019,12.2987,0.0698,No,,0.25,8,0.1667,,0.7708,0.0833,0.5417,2.0458,2.78,2.0125,9.3864,49.7,No,No,8,5.56,5.56,5.56,5.56,5.56,5.56,4.56,3.56,3.56,3.56,3.56,7.45,5.45,4,2,0.0208,1,1,,,0.0417,4
Tyler Shough,NO,QB,300,300,281,0.7865,195,0.694,0.7732,0.0412,300,6,1980,7.0463,0.4662,5.74,2254,19,7,0.2568,-128,0.0633,No,Yes,74,0.2467,81.7184,-0.0257,No,0.03,0.1495,34,0.121,0.0391,0.7509,0.089,0.5623,2.2591,3.2158,2.3649,8.3173,88.7,No,Yes,92,100.2,100.2,100.2,100.2,100.2,103.2,102.2,93.2,93.2,93.2,93.2,120,113,11,148,0.0463,6,11,2,7,0.0214,3
Kenny Pickett,LV,QB,46,46,40,0.775,24,0.6,0.7568,-0.0262,46,1,150,3.75,0.3867,0.7391,216,6,3,0.5,-46,0.1304,No,No,12,0.2609,12.5015,-0.0109,No,0.0217,0.15,2,0.05,0.05,0.7,0.125,0.625,2.3825,3.3333,2.5417,5.6842,55.2,Yes,No,7,8,8,8,8,8,8,8,6,6,6,6,9.5,7.5,6,8,0.1,2,1,,1,0.075,1
Chris Oladokun,KC,QB,48,48,43,0.7907,28,0.6512,0.7561,-0.0481,48,1,141,3.2791,0.8794,2.1042,193,5,2,0.3333,-60,0.1042,No,No,15,0.3125,12.6179,0.0496,No,0.0625,0.1395,5,0.1163,,0.7907,0.1163,0.6047,2.2721,4,2.4867,4.7073,77.8,No,Yes,6,8.64,8.64,8.64,8.64,8.64,8.64,7.64,7.64,7.64,7.64,7.64,10.05,9.05,3,5,0.0698,,2,,1,0.0233,1
Lamar Jackson,BLT,QB,270,270,254,0.7441,164,0.6457,0.7839,0.0578,270,9,2031,7.9961,0.4801,7.263,2027,16,5,0.2,-120,0.0593,No,Yes,80,0.2963,84.4184,-0.0164,Yes,0.0296,0.1693,31,0.122,0.0236,0.6811,0.0866,0.5472,2.5004,3.4562,2.5725,8.5607,100.4,Yes,Yes,88,137.24,137.24,137.24,137.24,137.24,140.24,138.24,129.24,129.24,129.24,129.24,157.55,149.55,13,194,0.0827,6,21,4,16,0.0157,2
Bo Nix,DEN,QB,487,487,471,0.7622,317,0.673,0.7656,0.0088,487,11,3184,6.7601,0.5503,6.4004,3229,16,9,0.126,-92,0.0329,No,No,127,0.2608,148.37,-0.0439,No,0.0719,0.1741,49,0.104,0.0446,0.6943,0.1146,0.603,2.4008,3.7437,2.474,7.1596,92.2,No,Yes,158,188.36,188.36,188.36,188.36,188.36,191.36,191.36,181.36,181.36,181.36,181.36,220.2,213.2,17,168,0.0552,7,24,8,17,0.0234,1
