Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsBatted,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,RunPassOptionPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,DropsYardsLost,DropsPercentage,InterceptionsTotal,AttemptsInEndzoneTotal,IncompletionsThrownAway,TouchdownsTotal,TowThrowPercentage,IncompletionsSpiked
Josh Johnson,WAS,QB,51,51,49,0.7143,31,0.6327,0.7045,-0.0637,51,1,347,7.0816,0.6167,4.7647,267,2,1,0.125,-14,0.0392,No,No,16,0.3137,16.1928,-0.0038,No,0.0196,0.1837,2,0.0408,,0.6327,0.0612,0.5714,2.4816,3.7,2.7563,6.0682,67.3,No,Yes,19,11.88,11.88,11.88,11.88,11.88,14.88,14.88,9.88,9.88,9.88,9.88,15.35,13.35,5,,,2,2,2,,0.0612,2
Jake Browning,CIN,QB,107,107,101,0.7822,69,0.6832,0.7071,-0.0477,107,2,639,6.3267,0.5446,4.0093,715,6,1,0.1765,-40,0.0561,No,No,34,0.3178,28.2758,0.0535,No,0.0467,0.198,13,0.1287,0.0198,0.8119,0.099,0.604,2.198,2.7167,2.2088,7.2222,77.1,No,No,27,39.56,39.56,39.56,39.56,39.56,42.56,42.56,33.56,33.56,33.56,33.56,45.95,39.95,5,1,0.0099,6,4,,5,0.0594,
Gardner Minshew,KC,QB,11,11,11,0.5455,6,0.5455,0.6667,-0.133,11,2,37,3.3636,0.8919,-0.7273,36,,,,,,No,No,,,2.9453,-0.2678,No,0.0909,0.2727,1,0.0909,,0.7273,,0.4545,2.1273,,,4,23.7,No,No,2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,-0.52,-0.52,-0.52,-0.52,0.85,-0.15,4,,,1,,,,0.0909,
Tua Tagovailoa,MIA,QB,342,341,321,0.7788,224,0.6978,0.7781,0.0203,341,4,2248,7.0031,0.5472,5.3196,2147,20,6,0.2326,-144,0.0587,No,Yes,86,0.2522,92.2965,-0.0185,No,0.0323,0.1745,28,0.0872,0.0343,0.6947,0.109,0.6231,2.2408,3.25,2.3093,6.8814,88.9,No,Yes,119,142.92,142.92,142.92,142.92,142.92,145.92,144.92,127.92,127.92,127.92,127.92,165.4,150.4,14,159,0.0561,14,18,4,17,0.0623,2
Caleb Williams,CHI,QB,446,446,433,0.746,274,0.6328,0.7581,0.0175,446,16,3271,7.5543,0.5035,7.6368,3149,13,1,0.1512,-105,0.0291,No,No,86,0.1928,140.5778,-0.1224,No,0.0224,0.1617,40,0.0924,0.0231,0.6905,0.0739,0.6005,2.4564,3.4154,2.3849,7.8529,98.6,No,Yes,149,210.84,210.84,210.84,210.84,210.84,213.84,213.84,206.84,206.84,206.84,206.84,243.55,239.55,17,267,0.0693,4,25,14,21,0.0231,2
Teddy Bridgewater,TB,QB,15,15,14,0.6429,8,0.5714,0.6154,-0.1632,15,,62,4.4286,0.871,3.5333,72,1,,0.5,-9,0.0667,No,No,2,0.1333,3.3895,-0.0926,No,0.0667,0.2857,1,0.0714,,0.8571,0.0714,0.5714,1.9786,4.1,2.65,5.5385,68.2,No,Yes,2,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,2.48,3.1,3.1,4,,,,1,1,,,
Nick Mullens,JAX,QB,3,3,3,1,3,1,1,0.1147,3,,19,6.3333,0.8947,6.3333,2,,,,,,No,No,,,0.5821,-0.194,No,,,,,,1,,0.6667,1.7,,,0.6667,93.1,Yes,Yes,2,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.95,0.95,5,,,,,,,,
Zach Wilson,MIA,QB,11,11,11,0.5455,6,0.5455,0.75,-0.0218,11,1,32,2.9091,0.7188,2.9091,44,,,,,,No,Yes,3,0.2727,2.997,0.0003,Yes,,0.1818,,,,0.6364,,0.3636,2.1545,,2.0333,5.7778,60,No,No,3,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.28,1.6,1.6,4,,,,,1,,,
Justin Fields,NYJ,QB,207,207,184,0.75,120,0.6522,0.7529,0.0065,207,7,1184,6.4348,0.4611,5.3092,1283,23,9,0.2875,-180,0.1111,No,No,80,0.3865,63.9521,0.0775,No,0.029,0.163,16,0.087,0.0272,0.6141,0.0815,0.587,2.5875,3.2826,2.4487,7.4162,93.7,Yes,Yes,55,73.36,73.36,73.36,73.36,73.36,76.36,75.36,71.36,71.36,71.36,71.36,85.2,83.2,9,97,0.0435,1,6,2,7,0.0163,2
Dillon Gabriel,CLV,QB,172,172,158,0.7405,99,0.6266,0.7361,-0.0475,172,4,798,5.0506,0.5138,4.6163,790,14,3,0.2642,-99,0.0814,No,No,53,0.3081,48.5266,0.026,No,0.0058,0.1582,6,0.038,0.0127,0.7152,0.1203,0.519,2.3544,3.0786,2.3679,5.3378,87.5,No,No,39,58.92,58.92,58.92,58.92,58.92,61.92,61.92,57.92,57.92,57.92,57.92,66.9,65.9,10,63,0.0443,1,10,7,7,0.038,1
Brock Purdy,SF,QB,247,247,239,0.8159,172,0.7197,0.8106,0.0731,247,3,1885,7.887,0.4069,7.1579,1741,8,2,0.1096,-32,0.0324,No,No,73,0.2955,86.8119,-0.0559,No,0.0162,0.1255,28,0.1172,0.0293,0.6569,0.1255,0.6067,2.6808,3.1375,2.6096,7.5696,101.5,No,No,113,128.4,128.4,128.4,128.4,128.4,131.4,129.4,117.4,117.4,117.4,117.4,147.25,136.25,9,41,0.0502,9,15,6,16,0.0335,
Justin Herbert,LAC,QB,463,463,423,0.7896,293,0.6927,0.8096,0.065,463,8,3165,7.4823,0.4597,5.8272,3066,40,9,0.2721,-247,0.0864,No,Yes,147,0.3175,126.3122,0.0447,No,0.0324,0.1348,47,0.1111,0.0473,0.721,0.0757,0.6407,2.3061,3.0925,2.3531,7.6535,91.8,No,Yes,141,177.6,177.6,177.6,177.6,177.6,180.6,179.6,164.6,164.6,164.6,164.6,209.25,196.25,16,223,0.0615,12,21,11,16,0.0189,
Drake Maye,NE,QB,445,445,421,0.8266,316,0.7506,0.8231,0.1094,445,7,3879,9.2138,0.4035,8.8921,3827,24,9,0.1805,-152,0.0539,Yes,No,133,0.2989,145.8953,-0.029,Yes,0.009,0.1188,55,0.1306,0.0594,0.7268,0.0974,0.639,2.5838,3.3917,2.5835,9.4073,116.9,No,Yes,180,247.36,248.36,247.86,248.36,248.36,251.36,248.86,240.36,240.36,240.36,239.86,287.15,279.15,17,195,0.0451,6,23,4,25,0.0214,
Matthew Stafford,LA,QB,525,525,506,0.7688,334,0.6601,0.7464,0.0401,525,5,4189,8.2787,0.3867,8.579,4803,19,3,0.131,-145,0.0362,Yes,No,145,0.2762,162.3809,-0.0331,No,0.0248,0.1621,76,0.1502,0.0731,0.7055,0.0771,0.5573,2.4344,3.0842,2.4379,9.9591,112,No,Yes,207,321.56,321.56,321.56,321.56,321.56,324.56,322.56,311.56,311.56,311.56,311.56,363.45,353.45,17,239,0.0553,8,42,9,41,0.0296,3
Geno Smith,LV,QB,432,432,387,0.7649,266,0.6873,0.7747,0.0147,432,8,2673,6.907,0.5911,4.8333,2434,45,5,0.3214,-340,0.1042,No,No,140,0.3241,126.028,0.0323,No,0.0231,0.1757,37,0.0956,0.031,0.7158,0.0853,0.6124,2.462,2.9711,2.4214,6.6585,88.8,No,No,130,160.92,160.92,160.92,160.92,160.92,163.92,162.92,146.92,146.92,146.92,146.92,187.65,173.65,15,102,0.0413,13,25,11,17,0.0388,2
Patrick Mahomes,KC,QB,427,427,412,0.7427,267,0.6481,0.75,-0.0088,427,7,2848,6.9126,0.6043,6.0398,2907,15,2,0.1327,-119,0.0351,Yes,No,113,0.2646,119.3217,-0.0148,No,0.1194,0.1796,47,0.1141,0.0316,0.7451,0.0583,0.5898,2.2532,3.2267,2.6319,7.3969,86.9,No,Yes,136,162.92,163.92,163.42,163.92,163.92,166.92,166.42,153.92,153.92,153.92,153.42,192.4,182.4,14,158,0.0583,10,20,10,15,0.0316,2
J.J. McCarthy,MIN,QB,224,224,211,0.7014,122,0.5782,0.732,0.0219,224,9,1429,6.7725,0.4304,4.317,1849,13,1,0.1884,-102,0.058,No,No,69,0.308,75.3066,-0.0282,No,0.0268,0.2038,28,0.1327,0.09,0.7441,0.0474,0.5261,2.6441,3.0769,2.6783,9.3719,69,No,Yes,69,79.16,79.16,79.16,79.16,79.16,82.16,80.16,65.16,65.16,65.16,65.16,93.45,79.45,10,203,0.0948,12,15,3,9,0.0427,
Tyson Bagent,CHI,QB,3,3,3,0.6667,2,0.6667,0.6667,0.0029,3,,27,9,0.5185,9,35,,,,,,No,No,,,1.2031,-0.401,No,,0.3333,1,0.3333,,1,,0.6667,2.9,,,11.6667,95.1,No,No,1,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.08,1.35,1.35,3,,,,,,,,
Marcus Mariota,WAS,QB,206,206,193,0.7668,125,0.6477,0.7377,0.0361,206,1,1478,7.658,0.4127,6.5243,1726,13,,0.2549,-89,0.0631,Yes,No,51,0.2476,58.7425,-0.0376,No,0.034,0.1606,25,0.1295,0.057,0.7668,0.0415,0.5855,2.3373,2.8923,2.3961,9.4317,92.7,Yes,Yes,69,90.12,90.12,90.12,90.12,90.12,93.12,93.12,85.12,85.12,85.12,85.12,104.9,99.9,11,108,0.0518,5,13,7,9,0.0363,2
Aidan O'Connell,LV,QB,20,20,19,0.5789,9,0.4737,0.5556,-0.1967,20,,79,4.1579,0.4051,3.7,136,1,1,0.2,-5,0.05,No,No,5,0.25,5.7225,-0.0361,No,,0.3684,2,0.1053,,0.7368,0.1053,0.3158,2.3211,3.9,2.54,7.1579,58.9,No,No,4,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.16,3.95,3.95,1,5,0.0526,,1,,,,
Kedon Slovis,ARZ,QB,2,2,2,1,1,0.5,1,0.1226,2,,-2,-1,,-1,3,,,,,,No,Yes,1,0.5,0.4743,0.2628,No,,,,,,1,,,1.95,,2.5,1.5,56.3,Yes,Yes,,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.08,-0.1,-0.1,2,5,0.5,,,,,,
Tyler Huntley,BLT,QB,60,60,57,0.8596,46,0.807,0.8727,0.0968,60,1,369,6.4737,0.3713,6.4833,331,3,,0.1765,-20,0.05,No,Yes,17,0.2833,16.3006,0.0117,Yes,0.0167,0.1053,3,0.0526,0.0175,0.807,0.0877,0.5614,2.2298,3.1667,2.3529,5.9107,105.3,No,Yes,17,22.76,22.76,22.76,22.76,22.76,25.76,25.76,22.76,22.76,22.76,22.76,26.45,26.45,5,-1,0.0351,,1,,2,,1
Mason Rudolph,PIT,QB,49,49,48,0.7917,36,0.75,0.8182,0.0326,49,2,293,6.1042,0.8123,4.7959,229,1,,0.1667,-8,0.0204,Yes,No,6,0.1224,15.8349,-0.2007,No,0.0408,0.1042,4,0.0833,0.0208,0.6458,0.1458,0.6458,2.4875,3.6,3.0667,5.2045,86.5,No,No,16,16.72,16.72,16.72,16.72,16.72,16.72,15.72,13.72,13.72,13.72,13.72,19.65,16.65,5,,,2,1,2,2,0.0833,
Aaron Rodgers,PIT,QB,441,441,420,0.7857,289,0.6881,0.7806,-0.0024,441,6,2775,6.6071,0.6854,6.1361,2132,21,3,0.25,-139,0.0476,No,No,84,0.1905,108.3507,-0.0552,No,0.093,0.1357,36,0.0857,0.031,0.7119,0.1262,0.6238,2.0698,3.6333,2.5345,5.4051,94.5,No,Yes,120,171.1,172.1,171.6,172.1,172.1,175.1,173.6,165.1,165.1,165.1,164.6,199.85,192.85,16,84,0.0405,6,22,18,17,0.0167,2
Joe Milton,DAL,QB,20,20,20,0.6,12,0.6,0.6667,-0.038,20,1,137,6.85,0.4745,3.35,181,,,,,,No,No,5,0.25,6.434,-0.0717,Yes,,0.3,3,0.15,0.05,0.8,0.05,0.4,2.44,,2.24,9.5263,57.7,No,No,7,7.48,7.48,7.48,7.48,7.48,7.48,7.48,5.48,5.48,5.48,5.48,8.85,6.85,4,,,2,3,1,1,0.1,
Spencer Rattler,NO,QB,230,229,217,0.8111,152,0.7005,0.7933,0.0491,229,2,1373,6.3272,0.4406,6.0437,1587,12,5,0.1667,-64,0.0524,No,No,72,0.3144,63.072,0.039,Yes,0.0437,0.1429,25,0.1152,0.0507,0.7373,0.1152,0.5991,2.2576,2.8917,2.3819,7.5742,94.1,No,No,61,76.92,77.92,77.42,77.92,77.92,80.92,79.42,75.92,75.92,75.92,75.42,91.65,89.65,9,123,0.0599,1,12,3,6,0.0415,3
Baker Mayfield,TB,QB,489,489,460,0.7587,302,0.6565,0.7302,-0.0089,489,8,3107,6.7543,0.5417,6.0736,3506,29,9,0.2417,-197,0.0593,Yes,No,120,0.2454,142.6992,-0.0464,Yes,0.0389,0.1891,52,0.113,0.05,0.713,0.0761,0.5826,2.373,3.2931,2.4733,7.9056,92.9,No,Yes,144,197.28,197.28,197.28,197.28,197.28,200.28,197.28,186.28,186.28,186.28,186.28,228.35,217.35,17,216,0.0435,8,28,6,21,0.0304,1
Carson Wentz,MIN,QB,168,168,153,0.7516,104,0.6797,0.7778,0.0385,168,3,1132,7.3987,0.4823,5.5417,1118,15,1,0.2586,-101,0.0893,No,Yes,58,0.3452,45.1758,0.0763,Yes,0.0536,0.1961,15,0.098,0.0065,0.7255,0.0458,0.5556,2.2856,3.02,2.3397,7.6918,87.4,No,No,53,57.28,57.28,57.28,57.28,57.28,60.28,60.28,53.28,53.28,53.28,53.28,68.6,64.6,5,63,0.0523,4,8,4,4,0.0392,1
Dak Prescott,DAL,QB,540,540,521,0.7985,356,0.6833,0.7764,0.0472,540,12,4126,7.9194,0.4399,7.6315,4309,19,3,0.1145,-145,0.0352,No,No,166,0.3074,173.7097,-0.0143,No,0.0167,0.1305,68,0.1305,0.0518,0.6449,0.1036,0.618,2.5069,3.3105,2.5084,8.6875,101.6,No,Yes,196,256.04,256.04,256.04,256.04,256.04,259.04,258.04,247.04,247.04,247.04,247.04,297.3,288.3,17,236,0.0499,8,45,10,25,0.0345,3
Quinn Ewers,MIA,QB,69,69,65,0.7846,43,0.6615,0.6923,-0.0393,69,,466,7.1692,0.5966,5.6232,523,4,1,0.1818,-28,0.058,No,No,22,0.3188,18.9095,0.0448,No,0.029,0.2,7,0.1077,0.0308,0.8615,0.0769,0.5077,2.2615,3.1,2.4227,8.0462,84.5,No,Yes,21,24.04,25.04,24.54,25.04,25.04,28.04,27.54,23.04,23.04,23.04,22.54,29.7,27.7,4,13,0.0308,2,1,,2,0.0769,
Brady Cook,NYJ,QB,145,145,131,0.7252,79,0.6031,0.6984,-0.0816,145,4,635,4.8473,0.6268,1.6276,681,14,1,0.4828,-104,0.0966,No,No,29,0.2,37.1506,-0.0562,No,0.0138,0.229,8,0.0611,0.0076,0.7863,0.0687,0.4809,2.2191,3.1714,2.5034,5.3622,52.8,No,Yes,29,21.4,21.4,21.4,21.4,21.4,24.4,23.4,13.4,13.4,13.4,13.4,27.75,19.75,5,23,0.0687,7,7,,1,0.0763,
Jaxson Dart,NYG,QB,312,312,298,0.7819,196,0.6577,0.7643,0.0224,312,8,1989,6.6745,0.5762,6.4391,2193,14,6,0.1628,-80,0.0449,No,No,86,0.2756,94.1166,-0.026,No,0.0641,0.1409,35,0.1174,0.047,0.7114,0.0805,0.5839,2.4054,3.6929,2.5047,7.7491,94.8,No,Yes,89,131.56,131.56,131.56,131.56,131.56,134.56,134.56,127.56,127.56,127.56,127.56,151.45,147.45,14,184,0.0604,4,20,6,14,0.0302,1
Mitchell Trubisky,BUF,QB,23,23,23,0.7391,14,0.6087,0.6957,-0.0241,23,,195,8.4783,0.4667,10.2174,189,,,,,,No,No,1,0.0435,7.2232,-0.2706,No,,0.2609,,,0.0435,0.7391,0.0435,0.5652,2.3957,,2.7,8.2174,117.1,No,Yes,10,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,17.75,17.75,4,11,0.087,,4,,2,0.0435,
Jordan Love,GB,QB,389,389,373,0.7909,258,0.6917,0.779,0.0519,389,5,3006,8.059,0.4464,7.8123,3214,16,5,0.124,-122,0.0411,Yes,Yes,129,0.3316,121.2284,0.02,Yes,0.054,0.1555,51,0.1367,0.0563,0.6729,0.1126,0.5952,2.4587,3.4937,2.4783,9.073,104.7,No,No,137,189.24,189.24,189.24,189.24,189.24,192.24,190.24,182.24,182.24,182.24,182.24,219.3,212.3,15,117,0.0456,5,18,11,19,0.0161,1
Bryce Young,CAR,QB,418,418,398,0.7688,258,0.6482,0.7796,0.0292,418,11,2618,6.5779,0.5141,5.6842,2562,20,6,0.1515,-157,0.0478,No,No,132,0.3158,125.9891,0.0144,No,0.0239,0.1181,37,0.093,0.0503,0.6508,0.103,0.5578,2.4093,2.91,2.4182,6.9837,87.5,No,Yes,129,157.72,157.72,157.72,157.72,157.72,160.72,158.72,146.72,146.72,146.72,146.72,183.9,172.9,16,186,0.0628,9,23,17,16,0.0201,2
