Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,OpportunitiesTotal,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredOverExpected,BlitzedLabel,AverageTimeToScramble,AverageTimeToPressure,AttemptsTotal,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,YardsAdjustedNetPercentage,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,AverageTimeToSack,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,IncompletionsThrownAway,IncompletionsBatted,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAirTotal,PressuredExpected,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageDepthOfTarget,PasserRating,playerStatsFirstDownsPassing,AttemptsInEndzoneTotal,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TowThrowPercentage,HeroThrowPercentage,TargetedReadFirstPercentage,TargetedReadCheckdownPercentage,TouchdownsTotal,ScramblesTouchdowns,InterceptionsTotal,RunPassOptionPercentage
Kenny Pickett,LV,QB,1,1,1,1,6,No,No,1,1,1,No,5.1,2.9,1,No,No,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Teddy Bridgewater,TB,QB,1,1,1,,,No,Yes,1,1,1,No,,1.8,,No,No,,,,,,,,,,,,,,4,-12,1,1,1,-12,1,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Justin Fields,NYJ,QB,16,16,16,12,91,No,Yes,16,1,0.7822,No,5.3333,2.6313,12,No,No,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.06,10.3,10.3,9,6,,,,,,,0.25,1,0.25,1,0.4296,2,1,24,6,0.3333,16,3.4844,0.25,5.625,16,52.1,1,,,,,,,,,,,,,,
Dillon Gabriel,CLV,QB,24,24,24,7,53,No,Yes,23,0.9583,0.5866,No,5.7286,2.6783,7,No,No,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,7.9,8.55,8.55,10,2.2941,4,2,0.1739,-26,0.1667,3.925,0.5385,4,0.3077,0.5,-0.0999,,,65,5,0.4308,174,8.9224,0.3846,4.5538,13.3846,48.6,2,3,34,0.1538,0.3846,2,0.1538,0.0769,0.0769,0.1538,,,,,
Brock Purdy,SF,QB,18,18,18,8,68,No,Yes,17,0.9444,0.4516,Yes,5.3,2.8647,8,No,No,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.32,8.7,8.7,9,2.4,1,,0.0588,-14,0.0556,4.5,0.4444,3,0.3333,0.375,-0.2806,1,,38,4.2222,-0.1053,93,8.8707,0.3333,6.2889,11.625,47.5,3,1,,,0.4444,,,0.1111,,,0.1111,,,,
Tua Tagovailoa,MIA,QB,28,28,28,7,31,No,Yes,27,0.9643,0.5919,No,5.0714,2.3444,7,No,No,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,14.94,15.9,15.9,14,4.9048,7,3,0.2593,-33,0.25,5.8429,0.5714,6,0.4286,0.7,0.076,4,,96,6.8571,0.4062,139,10.4275,0.4286,4.8929,13.9,106,6,1,2,0.0714,0.1429,3,0.2143,,0.0714,,0.0714,2,,,
Gardner Minshew,KC,QB,1,1,1,1,8,No,Yes,1,1,1,No,5.1,3.6,1,No,No,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caleb Williams,CHI,QB,50,50,50,19,159,No,No,50,1,0.5449,No,5.8947,2.83,19,No,No,33.74,33.74,33.74,33.74,33.74,36.74,36.74,33.74,33.74,33.74,33.74,35.2,35.2,17,4.0968,6,4,0.12,-19,0.12,5.8333,0.32,7,0.28,0.4706,-0.1438,7,1,146,5.84,0.3151,240,22.7568,0.24,5.852,14.1176,51.4,6,3,-4,0.04,0.36,3,0.12,0.04,0.08,0.04,,,2,,
Jared Goff,DET,QB,13,13,13,3,37,No,Yes,13,1,0.593,No,5.3,2.7462,3,No,No,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.7,17,-2.7,3,,0.2308,-27,0.2308,3.7,,,,,-0.6482,3,,,,,47,5.2913,,4.9571,11.75,39.6,,1,,,0.5714,1,0.1429,,,,,,,,
Cam Ward,TEN,QB,30,30,30,10,67,Yes,Yes,30,1,0.5897,No,5.07,2.8533,10,No,No,8.46,8.46,8.46,8.46,8.46,8.46,8.46,7.46,7.46,7.46,7.46,9.15,8.15,17,-1.2,6,4,0.2,-48,0.2,5.4167,0.4286,6,0.4286,0.6667,0.0232,4,1,69,4.9286,0.2174,117,12.3077,0.2857,5.6714,13,28.6,3,1,,,0.2143,2,0.1429,0.0714,0.0714,,0.0714,,,1,0.0333
Kyler Murray,ARZ,QB,15,15,15,7,38,No,Yes,15,1,0.7076,No,6.8,2.6933,7,No,Yes,2.8,2.8,2.8,2.8,2.8,2.8,2.8,1.8,1.8,1.8,1.8,2.8,1.8,5,-5.625,3,,0.2,,0.2,6.5,0.2,,,,-0.7298,2,,,,,15,4.3857,0.2,5.66,5,,,1,,,0.2,,,0.4,,,,,,1,
Tanner McKee,PHI,QB,2,2,2,1,2,Yes,Yes,2,1,1,No,5.3,3.6,1,No,No,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,4,,1,1,0.5,,0.5,6.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jake Browning,CIN,QB,8,8,8,4,31,No,No,8,1,0.8005,No,6.3,2.5125,4,No,No,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,5,-2.25,2,,0.25,-9,0.25,6.3,,,,,-0.3644,1,,,,,28,1.5956,,5.2,28,39.6,,,,,0.5,1,0.5,0.5,,,,,,,
Josh Johnson,WAS,QB,5,5,5,3,13,Yes,Yes,5,1,0.674,Yes,5.3,3.48,3,No,No,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,7.3,5,,,,,,,,,,,,,1,1,,,,,1.6301,,5.3,,39.6,,,,,,,,,,,,,1,,
Joe Flacco,CIN,QB,5,5,5,3,22,No,No,5,1,0.7464,No,4.9333,2.6,3,No,No,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.72,2.85,2.85,13,6.5,,,,,,,0.5,1,0.5,1,0.3594,1,,13,6.5,0.2308,10,1.2678,0.5,4.25,10,70.8,1,,,,,,,,,,,,,,
Daniel Jones,IND,QB,12,12,12,8,55,No,No,12,1,0.7488,No,5.4125,3.0667,8,No,No,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.66,5.7,5.7,13,0.5,1,1,0.0833,-2,0.0833,4,0.3333,1,0.3333,1,0.1052,1,,4,1.3333,1,,3.0144,0.3333,6.4,,42.4,,,,,,,,,,,0.3333,,,,
Jacoby Brissett,ARZ,QB,16,16,16,5,29,No,No,16,1,0.4876,No,4.68,2.7687,5,No,No,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.74,11.95,11.95,14,5.3636,2,1,0.125,-2,0.125,6.4,0.5556,3,0.3333,0.4286,-0.204,2,,21,2.3333,0.0952,93,8.198,0.4444,5.8556,13.2857,81.9,2,4,,,0.2222,1,0.1111,,,0.2222,0.1111,2,,,
Brett Rypien,CIN,QB,1,1,1,,,No,Yes,1,1,1,No,,2.1,,No,No,,,,,,,,,,,,,,1,-2,1,1,1,-2,1,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
