Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,IncompletionsThrownAway,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,TouchdownsTotal,SackedTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,TargetedReadFirstPercentage,ThrowAccuracyHighlyAccuratePercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,TargetedReadCheckdownPercentage,AttemptsInEndzoneTotal,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,HeroThrowPercentage,ScramblesTotal,ScramblesYards,AverageTimeToScramble,DropsYardsLost,DropsPercentage,OffTargetThrowAttemptsPercentage,RunPassOptionPercentage,TowThrowPercentage,InterceptionsTotal,IncompletionsBatted,SackedFaultTotal,ScramblesTouchdowns
Malik Willis,GB,QB,3,3,3,1,3,1,1,0.188,3,,17,5.6667,0.1765,5.6667,14,,,,,,Yes,No,,,1.0997,-0.3665,No,1,0.6667,2.7,,,4.6667,90.3,No,Yes,2,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.68,0.85,0.85,4,,,,,,,,,,,,,,,,,
Riley Leonard,IND,QB,3,3,3,0.3333,1,0.3333,1,0.6356,3,1,30,10,0.0667,10,28,,,,,,Yes,No,2,0.6667,1.4964,0.1679,No,0.3333,,3.4667,,3.15,13,71.5,No,No,1,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.5,5,0.3333,,1,0.3333,,,,,,,0.3333,,,,,,
Tyler Shough,NO,QB,4,4,4,0.5,2,0.5,0.5,-0.2638,4,,28,7,0.7857,7,21,,,,,,No,No,1,0.25,1.242,-0.0605,No,0.75,0.5,2.375,,3.4,5.25,72.9,No,No,2,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.12,1.4,1.4,11,,,,,0.25,,,,,,0.5,0.25,,,,,
Trey Lance,LAC,QB,3,3,1,0.5,1,0.5,0.5,-0.3033,3,,4,2,1,2,8,,,,,,Yes,No,1,0.3333,0.5778,0.1407,No,1,0.5,2.25,,1.9,4,56.3,No,Yes,1,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.26,1.3,1.3,4,,,,,,1,11,5.4,,,0.5,0.3333,0.5,,,,
Kenny Pickett,LV,QB,1,1,1,1,1,1,1,0.181,1,,7,7,0.2857,7,5,,,,,,No,No,,,0.4355,-0.4355,No,1,,3.1,,,5,95.8,No,No,,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.35,6,,,,,,,,,,,,,,,,,
Chris Oladokun,KC,QB,1,1,1,,,,,,1,1,,,,,,,,,,,No,No,1,1,0.8151,0.1849,No,,,5.3,,3.8,,39.6,No,No,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,
Lamar Jackson,BLT,QB,1,1,1,1,1,1,1,0.1756,1,,5,5,0.2,5,4,,,,,,No,No,1,1,0.4701,0.5299,No,,1,3.3,,2.1,4,87.5,No,No,1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,13,,,,,,,,,,,,,,,,,
Trevor Lawrence,JAX,QB,11,11,1,0.8,5,0.5,0.8,-0.0024,11,,36,3.6,0.7778,-0.9,49,,,,,,Yes,Yes,4,0.3636,3.9415,0.0053,No,0.9,0.5,2.86,,2.875,4.9,19.2,No,Yes,2,1.14,1.14,1.14,1.14,1.14,1.14,1.14,0.14,0.14,0.14,0.14,1.5,0.5,17,0.1,3,,,,1,7,6,31,0.3,0.1,,0.1,1,,,
Bo Nix,DEN,QB,16,16,2,0.7143,9,0.6429,0.75,0.0732,16,2,95,6.7857,0.2526,3.5714,128,,,,,,No,No,3,0.1875,6.1667,-0.1979,No,0.6429,0.5,3.1286,,3,10.6667,54.2,No,No,6,5.7,5.7,5.7,5.7,5.7,5.7,5.7,4.7,4.7,4.7,4.7,6.65,5.65,17,0.0714,,2,0.1429,,2,29,5.25,,,0.1429,,0.0714,1,,,
Jayden Daniels,WAS,QB,3,3,2,,,,,,3,1,,,,,,,,,,,Yes,Yes,2,0.6667,0.5218,0.4927,Yes,,,3.6,,3.15,,39.6,No,No,,1,1,1,1,1,1,1,1,1,1,1,1,1,7,,,,,,2,10,3.45,,,,,,,,,
