Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,ScramblesTouchdowns,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,TouchdownsTotal,HeroThrowPercentage,TargetedReadFirstPercentage,RunPassOptionPercentage,IncompletionsBatted
Mac Jones,SF,QB,10,10,5,0.5,,2,0.5,1,0.1728,10,9,2.25,0.5556,1,4,1,,0.1111,-4,0.1,5,42,No,No,9,0.9,2.5875,0.6413,No,,,,0.25,4.325,6.9,5.46,3.1333,2,56.3,No,No,,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.56,4.65,4.65,11,2,,,,0.5,,,,,,,
Kirk Cousins,ATL,QB,6,6,2,,,,,,-0.819,6,,,,,5,,,,,,2,8,No,Yes,6,1,2.7599,0.54,No,0.25,,,,4.575,,4,2.6833,5,39.6,No,No,,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,10,3,,,,,,,,,,,
Jameis Winston,NYG,QB,4,3,3,0.3333,,1,0.3333,1,0.3547,3,12,4,,4,12,,,,,,,,No,No,3,1,2.1174,0.2942,No,,,,,4.6667,,,3.1333,12,46.5,No,No,1,9.78,10.78,10.28,10.78,10.78,10.78,10.28,10.78,10.78,10.78,10.28,10.9,10.9,3,2,,,,,,,,0.3333,,,
Philip Rivers,IND,QB,2,2,1,,,,,,,2,,,,-1,,1,,0.5,-2,0.5,,,No,No,2,1,0.4701,0.765,No,,,,,3.3,5.6,,2.1,,39.6,No,No,,,,,,,,,,,,,,,3,1,,,,,,,,,,,
Clayton Tune,GB,QB,3,3,1,,,,,,,3,,,,-1.5,,1,1,0.3333,-3,0.3333,1,16,No,Yes,3,1,0.7978,0.7341,Yes,,,,,5.2,6.3,4.8,2.3667,,39.6,No,No,,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,1.6,2,1,,,,,,,,,,,
Tyrod Taylor,NYJ,QB,15,15,3,0.6667,1,5,0.5556,0.8571,0.1908,15,55,6.1111,0.2,6.0833,79,3,,0.2,-2,0.2,3,30,Yes,Yes,15,1,8.0082,0.4661,Yes,0.1111,1,0.1111,0.2222,5.7333,5.3333,5.8667,2.72,11.2857,110.9,No,No,4,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.2,9.75,9.75,6,2,,,,0.5556,20,0.1111,1,,,,
Michael Penix,ATL,QB,13,13,6,0.4,,1,0.2,0.3333,-0.2621,13,9,1.8,-0.2222,-0.7143,42,2,,0.1538,-14,0.1538,6,29,Yes,Yes,13,1,3.851,0.7038,No,0.2,1,0.2,,5.04,5,5.1,2.8231,10.5,39.6,No,No,,9.26,9.26,9.26,9.26,9.26,9.26,9.26,9.26,9.26,9.26,9.26,9.35,9.35,9,1,,1,,0.4,,,,,,,
Max Brosmer,MIN,QB,5,5,1,0.3333,,,,0.5,-0.1107,5,,,,,28,1,,0.25,,0.2,1,11,No,No,4,0.8,1.5999,0.48,No,0.3333,,,,3.6667,4.1,6,2.675,14,39.6,No,No,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,7,1,,,0.3333,,9,0.3333,,,,,
Josh Allen,BUF,QB,64,64,23,0.625,5,14,0.4375,0.6667,0.071,64,239,7.4688,0.1381,7.6585,383,9,3,0.1452,-25,0.1406,23,205,No,No,62,0.9688,29.9628,0.5006,No,0.125,7,0.2188,0.0312,6.0031,3.6667,5.087,2.6145,15.9583,109.2,No,No,12,49.06,49.06,49.06,49.06,49.06,52.06,51.06,48.06,48.06,48.06,48.06,51.45,50.45,17,8,,,,0.4062,24,0.0625,5,0.1562,0.0312,,
Shedeur Sanders,CLV,QB,31,31,9,0.4118,,4,0.2353,0.3333,-0.3488,31,80,4.7059,0.3125,-1.6818,155,5,2,0.1667,-27,0.1613,9,88,No,Yes,30,0.9677,12.4413,0.5664,No,0.2941,3,0.1765,,4.8176,4.5,5.1,2.8433,11.5385,7.1,No,No,3,15,15,15,15,15,15,14,12,12,12,12,15.8,12.8,8,4,2,1,0.1765,0.2353,,,,0.0588,0.1176,,
Davis Mills,HST,QB,10,9,2,,,,,,-0.6423,9,,,,-0.1429,48,1,1,0.1111,-1,0.1111,2,9,No,No,9,1,4.4418,0.5065,No,0.6667,1,0.1667,0.1667,4.8667,6.9,4.3,2.4667,12,39.6,No,No,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,6,2,,,0.1667,,,,,,,,
Riley Leonard,IND,QB,2,2,1,,,,,,-0.819,2,,,,,5,,,,,,1,11,Yes,No,1,0.5,0.8668,0.0666,Yes,1,,,,5.6,,3,2.5,5,39.6,No,No,,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,1.1,5,,,,1,,,,,,,0.5,
Malik Willis,GB,QB,7,7,6,1,,1,1,1,0.5699,7,30,30,0.1333,30,26,,,,,,6,44,No,Yes,7,1,0.5563,0.9205,No,,1,1,,3.8,,6.25,2.9857,26,118.8,No,No,1,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.9,11.9,4,,,1,,1,,,,,,,
Jalen Hurts,PHI,QB,66,66,23,0.4167,2,12,0.3333,0.5714,-0.0754,66,168,4.6667,0.1726,2.907,256,7,3,0.1094,-18,0.1061,23,176,No,Yes,64,0.9697,28.2895,0.5411,Yes,0.1667,3,0.0833,0.0556,5.1306,5.3286,5.3478,2.5922,12.1905,47,No,No,10,33.32,33.32,33.32,33.32,33.32,36.32,36.32,32.32,32.32,32.32,32.32,35,34,16,15,1,1,0.0556,0.3333,,,1,0.0833,0.0833,0.0303,
Cooper Rush,BLT,QB,2,2,2,0.5,,1,0.5,0.5,-0.2694,2,9,4.5,0.1111,4.5,11,,,,,,,,No,Yes,2,1,1.4059,0.2971,Yes,0.5,,,,4.65,,,1.95,5.5,62.5,No,Yes,1,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.45,0.45,4,,,,,,,,,,,,
Tyler Shough,NO,QB,38,38,10,0.6842,2,12,0.6316,0.8667,0.2036,38,191,10.0526,0.2461,5.9643,170,9,5,0.2368,-64,0.2368,10,71,No,Yes,38,1,13.0882,0.6556,Yes,0.1053,5,0.2632,0.2105,4.5684,4.4889,4.75,2.5789,11.3333,131.7,No,Yes,8,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.74,28.74,30.65,30.65,11,4,,1,0.0526,0.5789,-1,0.0526,2,0.2105,0.0526,,
Trey Lance,LAC,QB,6,6,3,0.3333,,1,0.3333,1,0.0762,6,3,1,1.3333,1,-1,,,,,,3,17,No,Yes,5,0.8333,1.8241,0.5293,No,,,,0.3333,4.1,,6.9,2.72,-0.5,42.4,No,No,,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.82,1.85,1.85,4,1,,,,0.3333,,,,,,,
Patrick Mahomes,KC,QB,76,76,23,0.5952,4,19,0.4524,0.7333,0.1353,76,384,9.1429,0.3047,6.3962,484,11,7,0.1507,-40,0.1447,23,200,Yes,Yes,73,0.9605,30.8683,0.5544,No,0.119,6,0.1429,,4.8357,5.4364,4.8783,2.7671,16.1333,83.8,No,No,16,60.36,60.36,60.36,60.36,60.36,66.36,66.36,59.36,59.36,59.36,59.36,64.2,63.2,14,12,1,3,0.0238,0.4286,41,0.0714,2,0.119,0.0238,,
J.J. McCarthy,MIN,QB,31,31,12,0.4545,1,5,0.4545,0.5556,-0.0975,31,102,9.2727,0.2157,4.0526,107,8,1,0.2581,-25,0.2581,12,117,Yes,Yes,31,1,7.6028,0.7547,No,0.3636,1,0.0909,,4.5818,4.1375,5.175,2.529,11.8889,78.6,Yes,Yes,5,27.78,27.78,27.78,27.78,27.78,30.78,30.78,27.78,27.78,27.78,27.78,28.8,28.8,10,2,,2,,0.2727,,,,0.1818,0.0909,,
Matthew Stafford,LA,QB,16,16,5,0.4444,,2,0.2222,0.4,-0.3372,16,5,0.5556,0.6,,39,2,,0.1429,-5,0.125,5,16,Yes,Yes,14,0.875,5.2482,0.547,No,0.1111,,,0.2222,3.9556,4.95,5.14,3.1,7.8,39.6,No,No,,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.85,1.85,17,4,,,,0.2222,,,,,,,
Drake Maye,NE,QB,70,70,31,0.3571,2,8,0.2857,0.5,-0.1778,70,145,5.1786,0.3448,0.8974,175,11,8,0.1571,-20,0.1571,31,232,No,Yes,70,1,22.0969,0.6843,No,0.2143,2,0.0714,0.0714,5.15,4.9091,4.8129,2.7414,10.9375,18.9,No,No,5,39,39,39,39,39,42,42,37,37,37,37,40.45,38.45,17,11,2,2,0.0714,0.2857,,,,,0.0357,,1
Geno Smith,LV,QB,38,38,11,0.4545,,9,0.4091,0.6429,-0.0199,38,101,4.5909,0.1485,0.4074,195,5,1,0.1316,-45,0.1316,11,69,No,Yes,38,1,15.6023,0.5894,No,0.1818,4,0.1818,0.0909,4.6864,4.82,5.2636,2.3421,13.9286,36.4,No,Yes,5,9.94,9.94,9.94,9.94,9.94,9.94,9.94,8.94,8.94,8.94,8.94,10.95,9.95,15,7,1,,0.0455,0.3182,,,,,0.0909,,1
Justin Herbert,LAC,QB,71,71,24,0.6154,8,15,0.3846,0.4848,-0.1169,71,213,5.4615,0.1315,5.5319,505,8,2,0.1311,-33,0.1127,24,234,No,Yes,61,0.8592,25.6287,0.4982,No,0.2051,8,0.2051,0.0256,4.3846,4.1875,4.1292,2.4869,15.303,91.1,No,No,12,53.92,53.92,53.92,53.92,53.92,56.92,56.92,53.92,53.92,53.92,53.92,56.05,56.05,16,6,,1,0.0256,0.4359,4,0.0256,4,0.0769,0.0513,0.0141,
Tyler Huntley,BLT,QB,7,7,4,0.5,,1,0.5,1,0.181,7,5,2.5,,0.6667,5,1,1,0.1429,-3,0.1429,4,64,No,Yes,7,1,1.5438,0.7794,Yes,,,,,5.05,4.7,4.575,2.9857,5,56.3,No,No,,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.6,6.65,6.65,5,1,,,,0.5,,,,,,,
Marcus Mariota,WAS,QB,30,30,11,0.5294,1,6,0.3529,0.4615,-0.0937,30,121,7.1176,0.1736,1,228,2,1,0.0714,-12,0.0667,11,125,No,Yes,28,0.9333,13.9421,0.4686,Yes,0.2353,5,0.2941,0.0588,5.3294,3.65,4.7455,2.45,16.2857,21.6,Yes,Yes,4,13.34,13.34,13.34,13.34,13.34,16.34,14.34,9.34,9.34,9.34,9.34,14.55,10.55,11,3,2,,0.1176,0.1765,,,,0.1176,,,
Carson Wentz,MIN,QB,10,10,2,0.4286,2,2,0.2857,0.3333,-0.1557,10,23,3.2857,-0.0435,-1.375,129,1,1,0.1,-9,0.1,2,5,No,Yes,10,1,6.6024,0.3398,No,0.4286,3,0.4286,,6.0429,3.6,4.25,2.71,21.5,40.8,No,No,1,4.42,4.42,4.42,4.42,4.42,4.42,4.42,3.42,3.42,3.42,3.42,4.65,3.65,5,1,1,,0.1429,0.2857,,,1,,,,
Joe Milton,DAL,QB,3,3,2,,,,,,,3,,,,,,,,,,,2,10,No,Yes,3,1,0.8841,0.7053,No,,,,,5.7,,4.55,2.7333,,39.6,No,No,,,,,,,,-1,-1,-1,-1,-1,,-1,4,1,,,,,,,,,,,
