Name,Team,POS,playerStatsSnapsOffenseTotal,DropbacksTotal,AttemptsTotal,AttemptsCatchablePercentage,AttemptsInEndzoneTotal,CompletionsTotal,CompletionsPercentage,CompletionsAdjustedPercentage,CompletionsOverExpected,OpportunitiesTotal,YardsTotal,YardsPerAttempt,YardsAfterCatchPercentage,YardsAdjustedNetPercentage,YardsAirTotal,SackedTotal,SackedFaultTotal,SackedPressuredPercentage,SackedYardsLost,SackedPercentage,ScramblesTotal,ScramblesYards,PlayActionLabel,PressuredLabel,PressuredTotal,PressuredPercentage,PressuredExpected,PressuredOverExpected,BlitzedLabel,OffTargetThrowAttemptsPercentage,DeepThrowAttemptsTotal,DeepThrowAttemptsPercentage,TargetedReadCheckdownPercentage,AverageTimeToThrow,AverageTimeToSack,AverageTimeToScramble,AverageTimeToPressure,AverageDepthOfTarget,PasserRating,TargetsContestedLabel,TargetsCatchableLabel,playerStatsFirstDownsPassing,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,IncompletionsThrownAway,InterceptionsTotal,ScramblesTouchdowns,TowThrowPercentage,ThrowAccuracyHighlyAccuratePercentage,DropsYardsLost,DropsPercentage,TouchdownsTotal,HeroThrowPercentage,TargetedReadFirstPercentage,RunPassOptionPercentage,IncompletionsBatted
Brady Cook,NYJ,QB,13,13,5,0.8333,,3,0.5,0.6667,-0.0564,13,27,4.5,0.2593,3.25,53,2,,0.1818,-1,0.1538,5,37,No,No,11,0.8462,3.8553,0.5496,No,0.1667,,,,4.3,4.5,5.32,2.6455,8.8333,62.5,No,Yes,1,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,4.78,5.05,5.05,5,,,,,0.5,5,0.1667,,,0.3333,,
Shane Buechele,KC,QB,1,1,1,,,,,,,1,,,,,,,,,,,1,4,No,Yes,1,1,,1,No,,,,,,,5.2,2.4,,,No,No,,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,1,,,,,,,,,,,,
C.J. Stroud,HST,QB,46,46,17,0.7826,1,11,0.4783,0.619,-0.0187,46,159,6.913,0.3962,4.5862,285,6,3,0.1304,-46,0.1304,17,131,No,Yes,46,1,17.1419,0.6273,No,0.1304,4,0.1739,,4.8957,3.8833,5.0471,2.6283,13.5714,85.2,No,Yes,9,23.46,23.46,23.46,23.46,23.46,26.46,26.46,23.46,23.46,23.46,23.46,25.05,25.05,14,2,,,,0.4783,43,0.087,1,,0.087,0.0217,
Jacoby Brissett,ARZ,QB,46,46,16,0.3333,,8,0.3333,0.5333,-0.185,46,92,3.8333,0.663,0.7333,154,6,2,0.1364,-25,0.1304,16,108,No,Yes,44,0.9565,17.7672,0.5703,No,0.2917,3,0.125,0.0833,4.8667,4.25,5.0875,2.7455,9.625,28.5,No,No,4,13.48,13.48,13.48,13.48,13.48,16.48,16.48,12.48,12.48,12.48,12.48,14.4,13.4,14,8,1,,0.0417,0.2083,,,,,0.0833,0.0217,
Joe Flacco,CIN,QB,26,26,1,0.1364,,3,0.1364,0.3,-0.3291,26,42,1.9091,0.5952,-2.56,146,3,1,0.1154,-16,0.1154,1,8,No,No,26,1,15.1883,0.4158,No,0.3182,4,0.1818,0.1364,4.5773,4.9,5.2,2.6,14.6,1.7,No,No,2,0.48,0.48,0.48,0.48,0.48,0.48,0.48,-1.52,-1.52,-1.52,-1.52,0.9,-1.1,13,12,2,,0.0909,0.1364,,,,,0.0455,,
Daniel Jones,IND,QB,21,21,9,0.5714,1,3,0.4286,1,0.2083,21,20,2.8571,0.3,2.8333,20,5,2,0.2632,-26,0.2381,9,62,No,No,19,0.9048,4.1701,0.7062,No,,,,0.1429,4.0286,5.58,6.0222,2.5789,5,89.9,No,No,3,14,14,14,14,14,14,13,13,13,13,13,14.2,13.2,13,3,,,,0.5714,-2,0.1429,2,,,0.0476,
Jake Browning,CIN,QB,15,15,14,0.5,1,7,0.5,0.7,-0.0118,15,79,5.6429,0.2911,-0.1333,93,1,,0.0667,-11,0.0667,,,No,Yes,15,1,10.3584,0.3094,No,0.2143,2,0.1429,0.1429,4.8643,3.5,,2.4067,9.3,51.5,No,Yes,3,5.16,5.16,5.16,5.16,5.16,5.16,5.16,3.16,3.16,3.16,3.16,5.95,3.95,5,4,2,,0.0714,0.5,,,1,0.0714,,,
Josh Johnson,WAS,QB,6,6,5,1,,1,1,1,0.1756,6,7,7,0.4286,7,4,,,,,,5,41,Yes,Yes,6,1,0.5736,0.9044,Yes,,,,1,3.9,,4.32,2.3333,4,95.8,No,No,,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.38,4.45,4.45,5,,,,,1,,,,,,,
Kyler Murray,ARZ,QB,14,14,7,0.6667,,3,0.5,0.6667,-0.084,14,32,5.3333,1.0312,3.5714,45,1,1,0.0714,-7,0.0714,7,98,No,Yes,14,1,3.7691,0.7308,No,0.3333,1,0.1667,0.3333,4.2167,4.1,5.2,2.1571,7.5,66,No,Yes,1,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.08,17.4,17.4,5,,,1,,0.5,20,0.1667,,,0.1667,,
Tanner McKee,PHI,QB,10,10,2,0.125,1,1,0.125,0.25,-0.32,10,12,1.5,,1.5,73,,,,,,2,10,No,Yes,10,1,5.5544,0.4446,No,0.375,1,0.125,,4.6,,5.15,2.77,18.25,39.6,No,No,1,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.48,1.6,1.6,4,4,,,,0.125,,,,,,,
