teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception
1,Arizona,Cardinals,1,SF,NFC,NFC West,Closed,Closed,Cover 1,17,23,No,Yes,No,111,23,No,4,No,18,0.7826,3,0.2072,15,1,,0.6522,180,56,22,229,2,2,1,0.1739,0.1739,0.3478,0.3043,9.9565,118,1.6216,7.8261,-0.2,0.0435,12,3.7333,1.4667,10,6,2,0.1333
4,Buffalo,Bills,,NE,AFC,AFC East,Open,Open,Cover 4,17,27,No,Yes,No,123,27,No,3,No,18,0.6667,3,0.2195,15,2,1,0.5556,173,61,6,323,5,3,1,0.0741,0.0741,0.4074,0.4444,11.963,99.2,1.4065,6.4074,-1.8624,0.037,11.5333,4.0667,0.4,11,5,,
24,New York,Giants,,PHI,NFC,NFC East,Closed,Closed,Cover 3,13,14,No,Yes,No,62,14,No,3,Yes,13,0.9286,3,0.2258,12,2,3,0.8571,188,44,21,179,1,1,,0.1429,0.2857,0.2857,0.2857,12.7857,142.6,3.0323,13.4286,4.894,,15.6667,3.6667,1.75,9,3,1,0.0833
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Open,Cover 2,15,27,No,Yes,No,127,27,No,1,Yes,17,0.6296,3,0.2126,15,,1,0.5556,340,88,31,482,,,,0.037,0.0741,0.4444,0.4444,17.8519,85,2.6772,12.5926,2.498,,22.6667,5.8667,2.0667,14,4,2,0.1333
10,Denver,Broncos,1,KC,AFC,AFC West,Open,Open,Cover 6,17,36,No,No,Yes,172,36,No,1,Yes,25,0.6944,5,0.2093,19,,2,0.5278,326,115,30,367,3,3,3,0.1389,0.1667,0.3056,0.3889,10.1944,100,1.8953,9.0556,0.9364,0.0833,17.1579,6.0526,1.5789,13,8,1,0.0526
28,Seattle,Seahawks,,CHI,NFC,NFC North,Open,Open,Cover 4,15,23,No,Yes,No,106,23,No,2,Yes,12,0.5217,5,0.217,9,,2,0.3913,137,44,18,291,1,,2,0.1304,0.087,0.4348,0.3043,12.6522,74,1.2925,5.9565,-2.2045,0.087,15.2222,4.8889,2,7,6,2,0.2222
31,Tennessee,Titans,1,CIN,AFC,AFC North,Open,Open,Red Zone,11,22,No,Yes,Yes,98,22,No,1,Yes,13,0.5909,3,0.2245,12,1,1,0.5455,226,86,17,295,2,2,1,0.1364,0.1364,0.2273,0.4545,13.4091,82.8,2.3061,10.2727,1.0943,0.0455,18.8333,7.1667,1.4167,11,2,1,0.0833
22,New England,Patriots,1,BUF,AFC,AFC East,Open,Open,Cover 4,17,30,No,Yes,No,136,30,No,2,No,19,0.6333,6,0.2206,17,1,,0.5667,243,67,40,466,,,,0.0333,0.2,0.4,0.3667,15.5333,55.3,1.7868,8.1,-1.2992,,14.2941,3.9412,2.3529,14,1,3,0.1765
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 3,17,20,No,Yes,Yes,90,20,No,1,No,12,0.6,4,0.2222,12,1,1,0.6,198,67,11,325,3,3,,0.2,0.1,0.35,0.35,16.25,132.9,2.2,9.9,-0.5678,,16.5,5.5833,0.9167,9,4,2,0.1667
17,Los Angeles,Rams,1,ARZ,NFC,NFC West,Closed,Closed,Cover 3,14,25,No,Yes,Yes,120,25,No,2,No,15,0.6,2,0.2083,14,1,,0.56,238,43,15,422,2,2,1,0.16,0.08,0.32,0.44,16.88,75.5,1.9833,9.52,-0.4235,0.04,17,3.0714,1.0714,12,4,2,0.1429
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Open,Open,Cover 2,16,35,No,No,No,168,35,No,3,Yes,23,0.6571,4,0.2083,20,1,2,0.5714,303,93,24,451,1,1,1,0.1429,0.1143,0.3143,0.4286,12.8857,83.4,1.8036,8.6571,-0.0136,0.0286,15.15,4.65,1.2,15,5,7,0.35
12,Green Bay,Packers,1,CHI,NFC,NFC North,Open,Closed,Cover 3,14,23,No,Yes,No,111,23,No,1,Yes,11,0.4783,2,0.2072,8,1,2,0.3478,73,8,2,288,,,2,0.1739,,0.3913,0.4348,12.5217,26.2,0.6577,3.1739,-5.3053,0.087,9.125,1,0.25,4,3,,
20,Miami,Dolphins,,NYJ,AFC,AFC East,Closed,Closed,Cover 3,15,31,No,Yes,No,141,31,No,5,Yes,22,0.7097,8,0.2199,18,2,3,0.5806,232,48,24,405,7,6,1,0.129,0.129,0.2258,0.5161,13.0645,107.8,1.6454,7.4839,-1.2415,0.0323,12.8889,2.6667,1.3333,15,10,,
25,New York,Jets,1,MIA,AFC,AFC East,Closed,Closed,Cover 3,17,33,No,Yes,No,146,33,No,4,Yes,22,0.6667,3,0.226,16,2,3,0.4848,267,17,7,506,2,2,6,0.1212,0.1515,0.2727,0.4545,15.3333,96.4,1.8288,8.0909,-1.4026,0.1818,16.6875,1.0625,0.4375,12,6,,
18,Los Angeles,Chargers,,LV,AFC,AFC West,Open,Closed,Cover 3,14,22,No,Yes,No,102,22,No,3,Yes,16,0.7273,5,0.2157,15,2,1,0.6818,277,74,17,331,2,1,,0.0909,0.1818,0.4545,0.2727,15.0455,122.3,2.7157,12.5909,3.2497,,18.4667,4.9333,1.1333,11,5,,
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Open,Cover 2,14,24,No,Yes,No,114,24,No,3,Yes,18,0.75,3,0.2105,17,2,1,0.7083,215,89,13,251,2,2,,0.1667,0.0417,0.3333,0.4167,10.4583,126.2,1.886,8.9583,0.4427,,12.6471,5.2353,0.7647,10,4,,
13,Houston,Texans,1,BLT,AFC,AFC North,Open,Closed,Cover 1,16,24,No,No,No,117,24,Yes,2,Yes,13,0.5417,5,0.2051,8,,1,0.3333,150,70,45,404,3,3,2,0.0833,0.125,0.4167,0.375,16.8333,78.1,1.2821,6.25,-3.9734,0.0833,18.75,8.75,5.625,7,6,1,0.125
21,Minnesota,Vikings,,DET,NFC,NFC North,Closed,Closed,Cover 1,16,27,No,Yes,Yes,119,27,No,6,No,17,0.6296,5,0.2269,15,4,1,0.5556,204,10,4,427,4,4,2,0.037,0.1111,0.4444,0.4074,15.8148,88.6,1.7143,7.5556,-1.7994,0.0741,13.6,0.6667,0.2667,12,6,,
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 3,16,27,No,Yes,Yes,131,27,No,3,No,14,0.5185,4,0.2061,14,3,1,0.5185,177,33,13,356,3,3,,0.0741,0.1481,0.3333,0.4444,13.1852,94.2,1.3511,6.5556,-2.2986,,12.6429,2.3571,0.9286,8,6,3,0.2143
11,Detroit,Lions,1,MIN,NFC,NFC North,Closed,Closed,Cover 1,13,25,No,Yes,Yes,116,25,No,5,No,16,0.64,5,0.2155,13,2,1,0.52,248,59,16,370,,,,0.16,,0.4,0.44,14.8,70.1,2.1379,9.92,1.1222,,19.0769,4.5385,1.2308,12,4,,
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Open,Closed,Cover 3,16,28,No,Yes,No,127,28,No,5,Yes,25,0.8929,4,0.2205,19,1,,0.6786,247,45,10,340,4,4,2,0.1429,0.0714,0.3214,0.4643,12.1429,135,1.9449,8.8214,0.0188,0.0714,13,2.3684,0.5263,15,5,1,0.0526
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 0,17,23,No,Yes,Yes,103,23,No,7,No,15,0.6522,,0.2233,10,2,1,0.4348,142,44,15,385,,,,,0.1304,0.4783,0.3913,16.7391,45.9,1.3786,6.1739,-2.9916,,14.2,4.4,1.5,5,1,2,0.2
