teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsSnapsOffenseTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingBlitzedLabel,opponentStatsReceivingRoutesTotal,opponentStatsReceivingTargetsTotal,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsContestedTotal,opponentStatsReceivingTargetsCatchableLabel,opponentStatsReceivingTargetsCatchableTotal,opponentStatsReceivingTargetsCatchablePercentage,opponentStatsReceivingTargetsInEndzone,opponentStatsReceivingTargetsPerRoute,opponentStatsReceivingReceptionsTotal,opponentStatsReceivingReceptionsContested,opponentStatsReceivingReceptionsHero,opponentStatsReceivingReceptionsPercentage,opponentStatsReceivingYardsTotal,opponentStatsReceivingYardsAfterCatchTotal,opponentStatsReceivingYardsAfterContactTotal,opponentStatsReceivingYardsAirTotal,opponentStatsReceivingTouchdownsTotal,opponentStatsReceivingTouchdownsInEndzone,opponentStatsReceivingDropsTotal,opponentStatsReceivingMissedTacklesForcedTotal,opponentStatsReceivingMissedTacklesForcedPerReception,opponentStatsReceivingAlignmentBackfieldTargetsPercentage,opponentStatsReceivingAlignmentInlineTargetsPercentage,opponentStatsReceivingAlignmentSlotTargetsPercentage,opponentStatsReceivingAlignmentWideTargetsPercentage,opponentStatsReceivingTargetedReadFirstTotal,opponentStatsReceivingTargetedReadFirstPercentage,opponentStatsReceivingAverageDepthOfTarget,opponentStatsReceivingPasserRatingWhenTargeted,opponentStatsReceivingAveragesPerRouteYardsTotal,opponentStatsReceivingAveragesPerTargetYardsTotal,opponentStatsReceivingAveragesPerTargetYardsOverExpected,opponentStatsReceivingAveragesPerTargetDropsTotal,opponentStatsReceivingAveragesPerReceptionYardsTotal,opponentStatsReceivingAveragesPerReceptionYardsAfterCatch,opponentStatsReceivingAveragesPerReceptionYardsAfterContact,opponentStatsFirstDownsPassing,opponentStatsInside20ReceivingTargetsTotal
19,Las Vegas,Raiders,1,LAC,AFC,AFC West,Closed,Closed,Cover 1,17,282,No,No,No,1230,282,No,37,Yes,231,0.8191,27,0.2293,187,13,5,0.6631,2355,773,290,2944,17,12,19,22,0.1176,0.039,0.0851,0.4362,0.4397,282,1,10.4397,101.9,1.9146,8.3511,0.2729,0.0674,12.5936,4.1337,1.5508,116,39
9,Dallas,Cowboys,1,WAS,NFC,NFC East,Open,Open,Cover 0,17,304,No,No,Yes,1349,304,Yes,38,Yes,252,0.8289,24,0.2254,211,19,2,0.6941,2812,1024,400,3404,23,13,27,18,0.0853,0.0526,0.1053,0.3059,0.5362,304,1,11.1974,112.7,2.0845,9.25,0.9992,0.0888,13.327,4.8531,1.8957,124,40
21,Minnesota,Vikings,,DET,NFC,NFC North,Open,Open,Cover 0,17,352,No,Yes,Yes,1528,352,No,48,No,266,0.7557,22,0.2304,220,26,6,0.625,2756,816,294,4066,13,4,21,18,0.0818,0.0398,0.0909,0.3835,0.4858,352,1,11.5511,79,1.8037,7.8295,-0.6737,0.0597,12.5273,3.7091,1.3364,137,45
23,New Orleans,Saints,,TB,NFC,NFC South,Closed,Closed,Cover 1,17,307,No,No,Yes,1352,307,No,54,Yes,234,0.7622,24,0.2271,185,23,6,0.6026,2660,965,288,3809,9,6,15,19,0.1027,0.0391,0.0912,0.3974,0.4723,307,1,12.4072,84.6,1.9675,8.6645,0.0302,0.0489,14.3784,5.2162,1.5568,126,34
11,Detroit,Lions,1,MIN,NFC,NFC North,Open,Open,Cover 0,17,353,No,Yes,Yes,1580,353,No,43,No,258,0.7309,32,0.2234,219,21,11,0.6204,2862,909,330,4119,14,7,17,20,0.0913,0.0397,0.0992,0.3994,0.4618,353,1,11.6686,85.4,1.8114,8.1076,-0.2792,0.0482,13.0685,4.1507,1.5068,134,48
13,Houston,Texans,,TEN,AFC,AFC South,Open,Closed,Cover 3,17,326,No,Yes,No,1470,327,No,41,Yes,231,0.7064,19,0.2224,189,16,5,0.578,2686,936,317,4172,24,6,20,23,0.1217,0.0367,0.0856,0.3272,0.5443,327,1,12.7584,91.1,1.8272,8.2141,-0.3251,0.0612,14.2116,4.9524,1.6772,117,27
15,Jacksonville,Jaguars,,IND,AFC,AFC South,Open,Closed,Cover 1,17,320,No,Yes,No,1455,320,Yes,47,Yes,257,0.8031,25,0.2199,217,25,13,0.6781,3209,1113,315,3618,22,12,15,19,0.0876,0.0375,0.1156,0.3312,0.5156,320,1,11.3063,118.1,2.2055,10.0281,1.6581,0.0469,14.788,5.129,1.4516,156,37
18,Los Angeles,Chargers,,LV,AFC,AFC West,Closed,Closed,Cover 1,17,323,No,No,No,1480,323,No,43,Yes,250,0.774,28,0.2182,209,19,8,0.6471,2500,732,325,3541,19,12,17,19,0.0909,0.0402,0.1084,0.3498,0.5015,323,1,10.9628,93.7,1.6892,7.7399,-0.4938,0.0526,11.9617,3.5024,1.555,114,38
25,New York,Jets,1,MIA,AFC,AFC East,Open,Open,Cover 4,17,294,No,No,No,1316,294,No,44,Yes,225,0.7653,26,0.2234,187,18,6,0.6361,2300,746,314,3390,12,8,12,20,0.107,0.0238,0.1429,0.3435,0.4898,294,1,11.5306,92.8,1.7477,7.8231,-0.3608,0.0408,12.2995,3.9893,1.6791,112,42
12,Green Bay,Packers,1,CHI,NFC,NFC North,Closed,Closed,Prevent,17,301,No,No,No,1394,301,No,38,Yes,227,0.7542,21,0.2159,205,21,3,0.6811,2463,770,260,3229,14,12,7,14,0.0683,0.0698,0.093,0.392,0.4452,301,1,10.7276,86.3,1.7669,8.1827,-0.0369,0.0233,12.0146,3.7561,1.2683,133,31
3,Baltimore,Ravens,1,CLV,AFC,AFC North,Closed,Closed,Cover 1,17,338,No,No,No,1534,338,No,56,Yes,266,0.787,33,0.2203,219,30,10,0.6479,2811,763,251,3860,21,11,20,15,0.0685,0.0503,0.1124,0.3314,0.5059,338,1,11.4201,105.3,1.8325,8.3166,-0.0657,0.0592,12.8356,3.484,1.1461,145,45
20,Miami,Dolphins,,NYJ,AFC,AFC East,Open,Open,Cover 4,17,279,No,No,No,1237,279,No,21,Yes,213,0.7634,20,0.2255,184,11,7,0.6595,2241,827,335,2655,11,6,18,23,0.125,0.0502,0.129,0.3441,0.4767,279,1,9.5161,94.7,1.8116,8.0323,0.0841,0.0645,12.1793,4.4946,1.8207,113,34
31,Tennessee,Titans,1,HST,AFC,AFC South,Open,Closed,Cover 3,17,267,No,Yes,No,1201,267,No,36,Yes,204,0.764,24,0.2223,172,19,2,0.6442,2048,732,285,2801,17,11,16,15,0.0872,0.0375,0.1236,0.3371,0.5019,267,1,10.4906,99.6,1.7052,7.6704,-0.4593,0.0599,11.907,4.2558,1.657,106,47
22,New England,Patriots,1,BUF,AFC,AFC East,Closed,Closed,Cover 1,17,307,No,No,No,1343,307,No,32,No,247,0.8046,30,0.2286,200,12,6,0.6515,2449,833,318,3301,23,12,27,20,0.1,0.0586,0.0977,0.3648,0.4756,307,1,10.7524,109.2,1.8235,7.9772,-0.294,0.0879,12.245,4.165,1.59,130,48
30,Tampa Bay,Buccaneers,1,NO,NFC,NFC South,Closed,Closed,Cover 1,17,373,No,No,Yes,1613,373,No,43,Yes,305,0.8177,23,0.2312,258,18,4,0.6917,3107,1151,448,3726,16,7,18,45,0.1744,0.0402,0.0965,0.3217,0.5416,373,1,9.9893,103.1,1.9262,8.3298,0.3276,0.0483,12.0426,4.4612,1.7364,157,41
17,Los Angeles,Rams,1,SEA,NFC,NFC West,Open,Open,Cover 2 Man,17,297,No,No,No,1332,297,No,46,No,230,0.7744,28,0.223,192,23,5,0.6465,2565,905,307,3342,19,10,17,15,0.0781,0.0337,0.1414,0.3165,0.5051,297,1,11.2525,104.8,1.9257,8.6364,0.4677,0.0572,13.3594,4.7135,1.599,127,40
28,Seattle,Seahawks,,LA,NFC,NFC West,Open,Open,Cover 2 Man,17,298,No,No,No,1317,298,No,34,No,226,0.7584,26,0.2263,199,20,9,0.6678,2355,812,282,2821,20,10,11,18,0.0905,0.0537,0.104,0.3557,0.4866,298,1,9.4664,96.3,1.7882,7.9027,0.0854,0.0369,11.8342,4.0804,1.4171,124,52
14,Indianapolis,Colts,1,JAX,AFC,AFC South,Open,Closed,Cover 1,17,288,No,Yes,No,1305,288,Yes,35,Yes,225,0.7812,19,0.2207,201,19,6,0.6979,2499,785,401,3088,18,8,9,32,0.1592,0.0417,0.1007,0.3056,0.5521,288,1,10.7222,98.4,1.9149,8.6771,0.5429,0.0312,12.4328,3.9055,1.995,116,39
10,Denver,Broncos,1,KC,AFC,AFC West,Closed,Closed,Cover 3,17,350,Yes,No,No,1549,352,No,44,Yes,265,0.7528,25,0.2272,233,25,6,0.6619,2682,953,336,3360,16,9,15,22,0.0944,0.0511,0.0994,0.375,0.4688,352,1,9.5455,91.1,1.7314,7.6193,-0.2526,0.0426,11.5107,4.0901,1.4421,139,45
5,Carolina,Panthers,,ATL,NFC,NFC South,Open,Open,Cover 4,17,290,No,No,No,1302,290,No,44,Yes,233,0.8034,31,0.2227,198,21,3,0.6828,2362,665,290,3055,23,15,15,22,0.1111,0.0621,0.0966,0.3414,0.5,290,1,10.5345,113.6,1.8141,8.1448,-0.1055,0.0517,11.9293,3.3586,1.4646,127,53
6,Chicago,Bears,,GB,NFC,NFC North,Closed,Closed,Prevent,17,269,No,No,No,1214,269,No,26,Yes,202,0.7509,24,0.2216,176,14,4,0.6543,2541,774,330,3229,11,8,13,14,0.0795,0.0223,0.1487,0.3197,0.5093,269,1,12.0037,97.2,2.0931,9.4461,0.8462,0.0483,14.4375,4.3977,1.875,109,41
1,Arizona,Cardinals,1,SF,NFC,NFC West,Open,Closed,Cover 3,17,270,No,No,No,1211,270,Yes,37,Yes,211,0.7815,28,0.223,184,19,3,0.6815,2185,704,269,2754,16,8,13,24,0.1304,0.0407,0.1222,0.3667,0.4704,270,1,10.2,103.1,1.8043,8.0926,0.089,0.0481,11.875,3.8261,1.462,118,42
4,Buffalo,Bills,,NE,AFC,AFC East,Closed,Closed,Cover 1,17,315,No,No,No,1423,315,No,39,No,255,0.8095,27,0.2214,219,22,4,0.6952,2679,863,326,3207,16,10,19,21,0.0959,0.0603,0.0984,0.4127,0.4286,315,1,10.181,99.2,1.8826,8.5048,0.3331,0.0603,12.2329,3.9406,1.4886,141,46
24,New York,Giants,,PHI,NFC,NFC East,Open,Open,Cover 6,17,299,No,No,No,1307,299,No,32,No,236,0.7893,22,0.2288,207,17,3,0.6923,2590,813,358,3062,19,12,15,29,0.1401,0.0669,0.0769,0.2843,0.5719,299,1,10.2408,112.9,1.9816,8.6622,0.5778,0.0502,12.5121,3.9275,1.7295,119,38
27,Pittsburgh,Steelers,1,CIN,AFC,AFC North,Open,Closed,Cover 3,17,323,No,Yes,No,1443,323,No,37,No,248,0.7678,25,0.2238,217,23,5,0.6718,2652,1030,440,3205,13,9,14,21,0.0968,0.0279,0.096,0.3591,0.517,323,1,9.9226,88.9,1.8378,8.2105,0.2027,0.0433,12.2212,4.7465,2.0276,129,49
16,Kansas City,Chiefs,,DEN,AFC,AFC West,Closed,Closed,Cover 3,17,306,Yes,No,No,1324,306,No,45,Yes,243,0.7941,32,0.2311,214,27,11,0.6993,2574,806,270,3416,17,14,11,15,0.0701,0.0523,0.1078,0.4379,0.402,306,1,11.1634,104.4,1.9441,8.4118,0.2594,0.0359,12.028,3.7664,1.2617,128,41
29,San Francisco,49ers,,ARZ,NFC,NFC West,Open,Closed,Cover 3,17,287,No,No,No,1288,287,Yes,50,Yes,232,0.8084,29,0.2228,182,20,4,0.6341,2147,780,228,3102,20,13,18,20,0.1099,0.0627,0.122,0.2962,0.5192,287,1,10.8084,99.2,1.6669,7.4808,-0.6983,0.0627,11.7967,4.2857,1.2527,119,44
26,Philadelphia,Eagles,1,NYG,NFC,NFC East,Open,Open,Cover 6,17,311,No,No,No,1419,311,No,37,No,236,0.7588,24,0.2192,196,17,7,0.6302,2210,758,336,3240,18,12,19,18,0.0918,0.0579,0.09,0.3955,0.4534,311,1,10.418,88.8,1.5574,7.1061,-1.0054,0.0611,11.2755,3.8673,1.7143,114,42
7,Cincinnati,Bengals,,PIT,AFC,AFC North,Open,Closed,Cover 3,17,303,No,Yes,No,1337,304,No,37,No,224,0.7368,25,0.2274,191,16,1,0.6283,2460,819,386,3264,20,14,13,25,0.1309,0.0362,0.1349,0.3289,0.4967,304,1,10.7368,95,1.8399,8.0921,-0.0558,0.0428,12.8796,4.288,2.0209,121,29
8,Cleveland,Browns,,BLT,AFC,AFC North,Closed,Closed,Cover 1,17,296,No,No,No,1262,296,No,53,Yes,231,0.7804,24,0.2345,189,23,6,0.6385,2695,984,321,3630,21,12,18,26,0.1376,0.0338,0.0912,0.3108,0.5642,296,1,12.2635,111.2,2.1355,9.1047,0.6713,0.0608,14.2593,5.2063,1.6984,124,32
2,Atlanta,Falcons,1,CAR,NFC,NFC South,Open,Open,Cover 4,17,315,No,No,No,1403,317,No,46,Yes,260,0.8202,28,0.2259,228,24,6,0.7192,2731,849,298,3380,25,13,13,24,0.1053,0.0536,0.1104,0.3533,0.4763,317,1,10.6625,112.4,1.9465,8.6151,0.5072,0.041,11.9781,3.7237,1.307,139,53
32,Washington,Commanders,,DAL,NFC,NFC East,Open,Open,Cover 0,17,302,No,No,Yes,1330,303,Yes,47,Yes,234,0.7723,30,0.2278,193,25,7,0.637,2438,714,247,3428,25,16,17,23,0.1192,0.0231,0.0891,0.3333,0.5512,303,1,11.3135,109.3,1.8331,8.0462,-0.3006,0.0561,12.6321,3.6995,1.2798,126,39
