Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,DeepTargetTargetsTotal
Josh Palmer,BUF,WR,4,No,No,No,4,No,Yes,1,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,2,No,Yes,No,2,No,Yes,,5,1,1,1,0.5,1,1,5,11,2,-6,1,1,1,1,-6,87.5,2.5,5,-0.0893,5,11,2,1.2879,1.2879,0.5,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,,
Charlie Woerner,ATL,TE,18,No,Yes,No,8,No,No,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.875,0.125,,,,,,,,,,,
Mason Kinsey,TEN,WR,3,No,No,No,3,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Omarion Hampton,LAC,RB,9,No,No,No,9,No,Yes,,9,9,8,0.8889,1,8,0.8889,49,82,23,-33,0.6667,6,3,0.3333,-3.6667,89.4,5.4444,5.4444,-0.3156,6.125,10.25,2.875,15.6572,15.6572,1,4.9,12.9,8.9,16.9,12.9,12.9,8.9,12.9,12.9,12.9,8.9,12.9,12.9,,0.3333,2,1,,,,,,,,,
David Moore,CAR,WR,1,Yes,No,No,1,No,Yes,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,23,No,No,No,19,No,No,0.5789,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4211,,,,,,,,,,,
Chris Moore,WAS,WR,9,No,No,No,7,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,1,Yes,No,No,1,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,7,No,No,No,6,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Adam Thielen,PIT,WR,15,Yes,No,No,13,No,Yes,0.4615,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5385,,,,,,,,,,,
Elijah Higgins,ARZ,TE,9,Yes,No,No,6,No,Yes,,17,1,1,1,0.1667,1,1,7,9,7,-2,,,,,-2,95.8,1.1667,7,2.1489,7,9,7,1.5099,1.5099,0.1111,0.7,1.7,1.2,1.7,2.2,1.7,1.2,1.7,1.7,1.7,1.2,2.2,1.7,0.3333,0.6667,,,2,2,,,,,,,
Josiah Deguara,ARZ,TE,2,Yes,No,No,2,No,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Harrison Bryant,HST,TE,2,No,No,No,1,No,Yes,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Tylan Wallace,BLT,WR,1,Yes,No,No,1,No,Yes,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonnu Smith,PIT,TE,18,Yes,No,No,11,No,Yes,0.1818,17,1,1,1,0.0909,1,1,6,7,,-1,,,,,-1,91.7,0.5455,6,1.0986,6,7,,1.4909,1.4909,0.0556,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,0.5455,0.2727,,,1,1,,,,,,,
Mason Taylor,NYJ,TE,5,Yes,No,Yes,3,Yes,Yes,0.6667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,
Emanuel Wilson,GB,RB,6,No,No,No,6,No,Yes,,17,5,5,1,0.8333,5,1,19,41,21,-22,1,,,,-4.4,82.5,3.1667,3.8,-1.9199,3.8,8.2,4.2,7.2636,7.2636,0.8333,1.9,6.9,4.4,9.4,6.9,6.9,4.4,6.9,6.9,6.9,4.4,6.9,6.9,,,1,,3,0.6,,,,,,,
Quentin Johnston,LAC,WR,14,No,No,No,12,No,Yes,0.8333,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
Blake Whiteheart,CLV,TE,9,No,No,No,7,No,Yes,0.1429,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5714,0.2857,,,,,,,,,,,
Chris Manhertz,NYG,TE,2,Yes,No,No,2,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,4,No,Yes,Yes,3,No,Yes,0.3333,7,1,1,1,0.3333,1,1,5,9,2,-4,,1,1,1,-4,87.5,1.6667,5,0.5149,5,9,2,1.4329,1.4329,0.25,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,0.6667,,,,,,,,,,,
Jeff Wilson,MIA,RB,1,Yes,No,No,1,No,Yes,,2,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Luther Burden,CHI,WR,8,No,No,No,8,No,No,0.625,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Kameron Johnson,TB,WR,3,Yes,No,No,3,No,Yes,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dyami Brown,JAX,WR,11,No,No,No,10,No,Yes,0.6,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,
Ty Johnson,BUF,RB,9,No,No,No,7,No,Yes,,17,5,5,1,0.7143,5,1,30,58,22,-28,0.8571,1,,,-5.6,91.7,4.2857,6,0.7703,6,11.6,4.4,6.44,6.44,0.5556,3,8,5.5,10.5,8,8,5.5,8,8,8,5.5,8,8,,0.1429,2,,2,0.4,,,,,,,
Van Jefferson,TEN,WR,14,No,Yes,No,10,No,Yes,0.9,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
Elic Ayomanor,TEN,WR,13,No,No,No,10,No,Yes,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Derrick Henry,BLT,RB,1,Yes,No,No,1,No,Yes,,17,1,1,1,1,1,1,12,12,7,,1,,,,,116.7,12,12,6.1729,12,12,7,1.5315,1.5315,1,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,1,,1,1,,,,,,,
Robert Tonyan,KC,TE,5,Yes,No,No,2,No,Yes,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,
Sean McKeon,IND,TE,1,No,No,No,1,No,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Kareem Hunt,KC,RB,8,Yes,No,No,6,No,Yes,,17,5,4,0.8,0.8333,4,0.8,26,29,7,-4,1,1,,,-0.8,88.3,4.3333,5.2,-0.8716,6.5,7.25,1.75,8.7466,8.7466,0.625,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,,,,1,,,,,,,,,
AJ Barner,SEA,TE,6,Yes,Yes,Yes,6,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Zach Charbonnet,SEA,RB,1,Yes,Yes,Yes,1,No,Yes,,16,1,1,1,1,1,1,12,17,5,-5,1,,,,-5,116.7,12,12,6.1289,12,17,5,1.176,1.176,1,1.2,2.2,1.7,2.7,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,1,,2,2,,,,,,,
Chuba Hubbard,CAR,RB,10,Yes,No,No,10,No,Yes,,15,10,10,1,1,10,1,76,128,30,-52,0.9,5,3,0.3,-5.2,131.7,7.6,7.6,2.1813,7.6,12.8,3,15.8504,15.8504,1,13.6,23.6,18.6,28.6,23.6,23.6,18.6,23.6,23.6,23.6,18.6,23.6,23.6,,0.1,5,1,4,0.4,1,,,,,,
Jared Wayne,HST,WR,1,No,No,No,1,No,Yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Xavier Worthy,KC,WR,19,No,No,No,16,No,Yes,0.8125,14,,,,,,,,,,,,,,,,,,,,,,,1.3449,1.3449,,,,,,,,,,,,,,,,0.1875,,,,,,,,,,,
Rachaad White,TB,RB,12,Yes,No,No,12,No,Yes,,17,11,11,1,0.9167,11,1,53,103,24,-50,0.6667,6,6,0.5455,-4.5455,86.7,4.4167,4.8182,-0.9083,4.8182,9.3636,2.1818,19.7032,19.7032,0.9167,5.3,16.3,10.8,21.8,16.3,16.3,10.8,16.3,16.3,16.3,10.8,16.3,16.3,,0.3333,,2,2,0.1818,,,,,,,
Elijah Moore,BUF,WR,4,No,No,No,4,No,Yes,0.75,9,1,1,1,0.25,1,1,,6,1,-6,,1,,,-6,79.2,,,-3.7419,,6,1,1.1043,1.1043,0.25,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,0.25,,,,,,,,,,,
Malachi Corley,CLV,WR,5,No,No,No,4,No,Yes,0.25,13,1,1,1,0.25,1,1,1,5,1,-4,,,,,-4,79.2,0.25,1,-3.4851,1,5,1,1.576,1.576,0.2,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,0.75,,1,1,1,,,,,,,
Darren Waller,MIA,TE,11,No,No,No,11,No,Yes,0.5455,9,1,1,1,0.0909,1,1,8,12,,-4,,1,1,1,-4,100,0.7273,8,1.6636,8,12,,1.4435,1.4435,0.0909,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,0.0909,0.3636,1,,,,,,,,,,
Isiah Pacheco,KC,RB,16,No,No,No,12,No,Yes,,13,12,11,0.9167,1,10,0.8333,38,68,14,-29,1,4,,,-2.4167,79.9,3.1667,3.1667,-2.7965,3.8,6.8,1.4,17.9945,17.9945,0.75,3.8,13.8,8.8,18.8,13.8,13.8,8.8,13.8,13.8,13.8,8.8,13.8,13.8,,,2,1,1,0.1,,1,0.0833,,,,
Pat Freiermuth,PIT,TE,15,Yes,No,No,11,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4545,0.5455,,,,,,,,,,,
Calvin Austin,PIT,WR,13,Yes,No,No,12,No,Yes,0.5,14,1,1,1,0.0833,1,1,5,10,9,-5,,1,1,1,-5,87.5,0.4167,5,0.8404,5,10,9,1.825,1.825,0.0769,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,0.5,,,1,1,,,,,,,
Bijan Robinson,ATL,RB,30,No,Yes,No,29,No,No,,17,28,26,0.9286,0.9655,24,0.8571,263,335,52,-89,0.7241,12,6,0.2143,-3.1786,114.7,9.069,9.3929,3.4833,10.9583,13.9583,2.1667,43.374,43.374,0.9333,38.3,62.3,50.3,74.3,62.3,65.3,53.3,62.3,62.3,62.3,50.3,62.3,62.3,,0.2759,10,3,11,0.4583,2,2,0.0714,2,2,,
LeQuint Allen,JAX,RB,6,No,No,No,5,No,Yes,,17,4,3,0.75,0.8,3,0.75,19,22,13,-11,1,,,,-2.75,84.4,3.8,4.75,-1.065,6.3333,7.3333,4.3333,6.2561,6.2561,0.6667,1.9,4.9,3.4,6.4,4.9,4.9,3.4,4.9,4.9,4.9,3.4,4.9,4.9,,,,1,,,,,,,,,
Jaleel McLaughlin,DEN,RB,3,No,Yes,No,2,No,No,,8,2,2,1,1,2,1,12,23,15,-11,1,,,,-5.5,91.7,6,6,0.5198,6,11.5,7.5,2.6999,2.6999,0.6667,1.2,3.2,2.2,4.2,3.2,3.2,2.2,3.2,3.2,3.2,2.2,3.2,3.2,,,1,,2,1,,,,,,,
Colston Loveland,CHI,TE,6,No,No,No,4,No,No,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,,,,,,,,,,,
Darnell Mooney,ATL,WR,28,No,Yes,No,24,No,No,0.625,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.375,,,,,,,,,,,
Jeremy Ruckert,NYJ,TE,9,No,No,No,5,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.2,,,,,,,,,,,
Kalif Raymond,DET,WR,8,No,No,No,7,No,No,0.5714,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,,,,,,,,,,,
Andrei Iosivas,CIN,WR,22,No,No,No,21,No,Yes,0.2857,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,,,,,,,,,,,
Isaac TeSlaa,DET,WR,6,No,No,No,5,No,No,0.8,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,
Allen Lazard,NYJ,WR,2,No,No,Yes,2,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,1,No,No,No,1,No,Yes,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Jones,ARZ,WR,5,No,Yes,Yes,4,No,No,0.75,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,
Jaylin Noel,HST,WR,3,No,No,No,3,No,Yes,1,17,1,1,1,0.3333,1,1,-2,7,2,-9,,,,,-9,79.2,-0.6667,-2,-4.5405,-2,7,2,1.3069,1.3069,0.3333,-0.2,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,0.8,0.3,0.8,0.8,,,,,,,,,,,,,
Stefon Diggs,NE,WR,10,Yes,No,No,6,No,Yes,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Jaydon Blue,DAL,RB,1,Yes,No,No,1,No,Yes,,5,1,1,1,1,1,1,5,10,1,-5,1,,,,-5,87.5,5,5,-0.8711,5,10,1,1.3667,1.3667,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,25,Yes,No,No,25,No,Yes,,17,25,22,0.88,1,21,0.84,79,191,46,-105,0.96,3,1,0.04,-4.2,79.8,3.16,3.16,-2.3681,3.7619,9.0952,2.1905,39.0146,39.0146,1,7.9,28.9,18.4,39.4,28.9,28.9,18.4,28.9,28.9,28.9,18.4,28.9,28.9,,0.04,2,3,5,0.2381,,,,1,,,
Kyle Monangai,CHI,RB,6,No,No,No,6,No,No,,17,5,5,1,0.8333,4,0.8,26,37,15,-15,1,1,1,0.2,-3,88.3,4.3333,5.2,-0.731,6.5,9.25,3.75,9.3329,9.3329,0.8333,2.6,6.6,4.6,8.6,6.6,6.6,4.6,6.6,6.6,6.6,4.6,6.6,6.6,,,2,1,3,0.75,,1,0.2,,,,
Ben Sinnott,WAS,TE,2,No,No,No,2,No,Yes,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Austin Ekeler,WAS,RB,4,No,No,No,4,No,Yes,,2,3,3,1,0.75,3,1,22,38,11,-16,1,,,,-5.3333,97.2,5.5,7.3333,1.827,7.3333,12.6667,3.6667,4.1715,4.1715,0.75,2.2,5.2,3.7,6.7,5.2,5.2,3.7,5.2,5.2,5.2,3.7,5.2,5.2,,,1,,2,0.6667,,,,,,,
Daniel Bellinger,NYG,TE,10,Yes,No,No,7,No,Yes,0.1429,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4286,0.4286,,,,,,,,,,,
Dylan Drummond,ATL,WR,4,No,Yes,No,3,No,No,0.6667,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Drew Sample,CIN,TE,16,No,No,No,9,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Curtis Samuel,BUF,WR,3,No,No,No,3,No,Yes,0.3333,6,1,1,1,0.3333,1,1,6,7,,-1,,1,,,-1,131.3,2,6,-0.1699,6,7,,3.2158,3.2158,0.3333,6.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,7.6,7.1,7.6,7.6,,0.6667,1,1,,,1,,,,,,
Tanner Hudson,CIN,TE,3,No,No,No,3,No,Yes,0.6667,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,,
Chase Brown,CIN,RB,21,No,No,No,21,No,Yes,,17,19,18,0.9474,0.9048,18,0.9474,57,131,27,-77,0.9048,2,1,0.0526,-4.0526,79.2,2.7143,3,-2.5901,3.1667,7.2778,1.5,31.621,31.621,0.9048,5.7,23.7,14.7,32.7,23.7,23.7,14.7,23.7,23.7,23.7,14.7,23.7,23.7,,0.0952,2,,7,0.3889,,,,1,1,,
Will Shipley,PHI,RB,5,No,No,No,5,No,Yes,,15,5,5,1,1,5,1,32,55,5,-23,0.8,2,1,0.2,-4.6,93.3,6.4,6.4,0.9283,6.4,11,1,8.1707,8.1707,1,3.2,8.2,5.7,10.7,8.2,8.2,5.7,8.2,8.2,8.2,5.7,8.2,8.2,,0.2,1,,,,,,,,,,
Kyren Williams,LA,RB,5,Yes,No,No,5,No,Yes,,17,2,1,0.5,0.4,,,,,,-8,1,,,,-4,39.6,,,-5.9951,,,,3.1127,3.1127,0.4,,,,,,,,,,,,,,,,,,,,,1,0.5,,,,
Payne Durham,TB,TE,5,Yes,No,No,1,No,Yes,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Tucker Kraft,GB,TE,16,No,No,No,10,No,Yes,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.4,,,,,,,,,,,
John Bates,WAS,TE,7,No,No,No,5,No,Yes,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Trey McBride,ARZ,TE,19,Yes,No,No,17,No,Yes,0.2353,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2941,0.4706,,,,,,,,,,,
