Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,playerStatsFirstDownsReceiving,playerStatsInside20ReceivingTargetsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested,ReceptionsHero,DeepTargetTargetsTotal
Cam Skattebo,NYG,RB,5,No,No,No,5,No,Yes,,8,5,4,0.8,1,4,0.8,23,43,8,-25,0.8,4,4,0.8,-5,85.8,4.6,4.6,-1.0545,5.75,10.75,2,7.4635,7.4635,1,2.3,6.3,4.3,8.3,6.3,6.3,4.3,6.3,6.3,6.3,4.3,6.3,6.3,,0.2,,,,,,,,,,,
Dont'e Thornton,LV,WR,9,Yes,No,No,9,No,Yes,0.6667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Dawson Knox,BUF,TE,14,No,No,No,14,No,Yes,0.0714,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7143,0.2143,,,,,,,,,,,
Noah Brown,WAS,WR,6,No,Yes,No,5,No,Yes,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emeka Egbuka,TB,WR,23,Yes,No,No,18,No,Yes,0.6667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333,,,,,,,,,,,
Dontayvion Wicks,GB,WR,13,No,Yes,No,9,No,Yes,0.2222,14,,,,,,,,,,,,,,,,,,,,,,,1.631,1.631,,,,,,,,,,,,,,,,0.7778,,,,,,,,,,,
TreVeyon Henderson,NE,RB,10,Yes,No,No,10,No,Yes,,17,10,8,0.8,1,8,0.8,26,56,6,-28,0.9,1,1,0.1,-2.8,79.2,2.6,2.6,-3.2591,3.25,7,0.75,17.1259,17.1259,1,2.6,10.6,6.6,14.6,10.6,10.6,6.6,10.6,10.6,10.6,6.6,10.6,10.6,,0.1,,1,1,0.125,,,,,,,
Jayden Reed,GB,WR,5,No,No,No,5,No,Yes,0.2,7,2,2,1,0.4,2,1,3,15,2,-12,0.2,1,1,0.5,-6,79.2,0.6,1.5,-1.8501,1.5,7.5,1,3.2742,3.2742,0.4,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,,0.6,,,,,,,,,,,
Devin Neal,NO,RB,5,No,No,No,5,No,Yes,,9,5,4,0.8,1,4,0.8,18,41,24,-30,1,,,,-6,81.7,3.6,3.6,-1.5778,4.5,10.25,6,8.9645,8.9645,1,1.8,5.8,3.8,7.8,5.8,5.8,3.8,5.8,5.8,5.8,3.8,5.8,5.8,,,1,,2,0.5,,,,,,,
Oronde Gadsden,LAC,TE,15,No,Yes,No,11,No,No,0.4545,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0909,0.4545,,,,,,,,,,,
Kyle Pitts,ATL,TE,35,No,Yes,No,27,No,No,0.1481,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7407,0.1111,,,,,,,,,,,
Dante Pettis,NO,WR,2,No,Yes,No,1,No,No,,8,1,1,1,1,1,1,3,8,,-5,,1,1,1,-5,79.2,3,3,-1.1596,3,8,,1.1833,1.1833,0.5,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,1,,,,,,,,,,,
Harold Fannin,CLV,TE,28,No,Yes,Yes,20,No,Yes,0.15,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.25,,,,,,,,,,,
Chris Godwin,TB,WR,17,Yes,No,No,11,No,Yes,0.5455,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4545,,,,,,,,,,,
Terry McLaurin,WAS,WR,12,No,No,No,10,No,Yes,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,16,No,No,No,15,No,No,0.2667,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1333,0.6,,,,,,,,,,,
Cedric Tillman,CLV,WR,23,No,No,No,15,No,Yes,0.7333,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2667,,,,,,,,,,,
Arian Smith,NYJ,WR,5,No,No,No,2,No,Yes,1,16,1,1,1,0.5,1,1,5,13,1,-8,,,,,-8,87.5,2.5,5,2.4595,5,13,1,1.09,1.09,0.2,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,,
Raheem Mostert,LV,RB,3,No,No,No,3,No,Yes,,12,3,3,1,1,3,1,17,26,3,-9,1,,,,-3,90.3,5.6667,5.6667,-0.2957,5.6667,8.6667,1,4.5564,4.5564,1,1.7,4.7,3.2,6.2,4.7,4.7,3.2,4.7,4.7,4.7,3.2,4.7,4.7,,,1,,,,,,,,,,
Marvin Mims,DEN,WR,26,No,Yes,No,25,No,No,0.56,15,10,9,0.9,0.4,9,0.9,48,79,12,-33,0.16,5,4,0.4,-3.3,86.7,1.92,4.8,0.142,5.3333,8.7778,1.3333,14.0423,14.0423,0.3846,4.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,13.8,9.3,13.8,13.8,,0.28,3,1,2,0.2222,,,,,,,
Calvin Ridley,TEN,WR,6,No,Yes,No,6,No,Yes,0.8333,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1667,,,,,,,,,,,
