Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal
Austin Ekeler,WAS,RB,3,No,No,No,3,3,No,Yes,2,0.6667,1,2,0.6667,16,12,2,4,1,1.3333,79.9,5.3333,5.3333,-0.772,8,6,1,1,5.5841,5.5841,1,1.6,3.6,2.6,4.6,3.6,3.6,2.6,3.6,3.6,3.6,2.6,3.6,3.6,2,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,3,No,Yes,Yes,3,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.3333,0.6667,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,12,No,Yes,Yes,12,2,No,Yes,1,0.5,0.1667,1,0.5,6,,,9,0.1667,4.5,56.3,0.5,3,-3.7074,6,,,,2.8173,2.8173,0.1667,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,16,0.1667,0.0833,0.5833,,,,,,,,,,,
Dylan Drummond,ATL,WR,3,No,No,No,3,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.3333,0.6667,,,,,,,,,,,,
Drew Sample,CIN,TE,27,No,Yes,No,23,9,No,No,8,0.8889,0.3913,7,0.7778,23,32,7,-10,0.2174,-1.1111,116.2,1,2.5556,-2.5335,3.2857,4.5714,1,2,15.0171,15.0171,0.3333,8.3,15.3,11.8,15.3,18.8,15.3,11.8,15.3,15.3,15.3,11.8,18.8,15.3,17,,,0.7826,1,1,1,,,,,,,,
Curtis Samuel,BUF,WR,5,No,Yes,Yes,4,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,,,,
Tanner Hudson,CIN,TE,8,No,Yes,No,8,2,No,No,2,1,0.25,2,1,16,17,4,-1,0.125,-0.5,100,2,8,2.9048,8,8.5,2,1,2.9527,2.9527,0.25,1.6,3.6,2.6,3.6,4.6,3.6,2.6,3.6,3.6,3.6,2.6,4.6,3.6,13,0.25,0.375,0.25,,,,,,,,,,,
Najee Harris,LAC,RB,1,Yes,Yes,No,1,1,Yes,Yes,1,1,1,1,1,5,,,5,1,5,87.5,5,5,-2.233,5,,,,1.4465,1.4465,1,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,3,,,,,,,,,,,,,,
Chase Brown,CIN,RB,38,No,Yes,No,36,28,No,No,25,0.8929,0.7778,20,0.7143,114,92,34,33,0.9167,1.1786,63.7,3.1667,4.0714,-2.1507,5.7,4.6,1.7,3,43.5406,43.5406,0.7368,11.4,31.4,21.4,41.4,31.4,34.4,24.4,31.4,31.4,31.4,21.4,31.4,31.4,17,0.0833,,,5,,1,1,3,3,6,0.3,0.1071,,
Darnell Mooney,ATL,WR,16,No,No,No,16,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.125,0.875,,,,,,,,,,,,
