Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,AlignmentBackfieldRoutesPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,AlignmentInlineRoutesPercentage,TargetsContestedTotal,TouchdownsTotal,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,ReceptionsContested,DropsTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AveragesPerTargetDropsTotal,TargetedReadFirstTotal,DeepTargetTargetsTotal
Jeremy Ruckert,NYJ,TE,15,No,No,No,11,1,No,Yes,1,1,0.0909,1,1,4,,,4,,4,83.3,0.3636,4,-2.0667,4,,,,1.3265,1.3265,0.0667,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,,0.1818,0.8182,,,,,,,,,,,
Kalif Raymond,DET,WR,10,No,Yes,No,10,1,No,No,1,1,0.1,1,1,2,6,1,-4,,-4,79.2,0.2,2,-2.4851,2,6,1,,1.7054,1.7054,0.1,0.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,1.2,0.7,1.2,1.2,15,0.4,0.6,,,,,,,,,,,,
Andrei Iosivas,CIN,WR,44,No,Yes,No,44,1,No,No,1,1,0.0227,,,,,,-2,,-2,39.6,,,-5.4991,,,,,1.7404,1.7404,0.0227,,,,,,,,,,,,,,17,0.6818,0.3182,,,,,,,1,,,1,,
Isaac TeSlaa,DET,WR,10,No,Yes,No,10,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.2,0.8,,,,,,,,,,,,
Allen Lazard,NYJ,WR,8,No,No,No,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.5,0.5,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,6,No,Yes,No,6,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0.8333,0.1667,,,,,,,,,,,,
Zay Jones,ARZ,WR,17,No,No,No,17,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0.0588,0.9412,,,,,,,,,,,,
Jaylin Noel,HST,WR,14,No,Yes,No,14,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.8571,0.1429,,,,,,,,,,,,
Stefon Diggs,NE,WR,19,No,No,Yes,19,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5789,0.4211,,,,,,,,,,,,
Jaydon Blue,DAL,RB,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,15,No,Yes,Yes,12,8,No,Yes,5,0.625,0.6667,3,0.375,4,6,3,9,1,1.125,45.8,0.3333,0.5,-5.626,1.3333,2,1,,11.2025,11.2025,0.5333,0.4,3.4,1.9,4.9,3.4,3.4,1.9,3.4,3.4,3.4,1.9,3.4,3.4,17,,,,1,,,,1,2,1,0.3333,0.25,,
Kyle Monangai,CHI,RB,14,No,Yes,No,12,12,No,No,11,0.9167,1,6,0.5,57,42,9,33,1,2.75,63.5,4.75,4.75,-1.7889,9.5,7,1.5,1,18.3623,18.3623,0.8571,5.7,11.7,8.7,14.7,11.7,11.7,8.7,11.7,11.7,11.7,8.7,11.7,11.7,17,,,,1,,1,,,4,1,0.1667,0.3333,,
TreVeyon Henderson,NE,RB,17,No,No,Yes,17,13,No,Yes,13,1,0.7647,11,0.8462,72,60,6,18,1,1.3846,89.7,4.2353,5.5385,-0.6349,6.5455,5.4545,0.5455,1,19.6956,19.6956,0.7647,7.2,18.2,12.7,23.7,18.2,18.2,12.7,18.2,18.2,18.2,12.7,18.2,18.2,17,,,,,,1,,,2,1,0.0909,0.1538,,
Jayden Reed,GB,WR,8,Yes,No,Yes,8,2,No,Yes,2,1,0.25,2,1,3,2,,1,,0.5,79.2,0.375,1.5,-4.2521,1.5,1,,,2.7874,2.7874,0.25,0.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,2.3,1.3,2.3,2.3,7,0.625,0.25,0.125,,,,,,,1,0.5,,,
Devin Neal,NO,RB,15,Yes,No,No,15,9,No,Yes,9,1,0.6,8,0.8889,56,54,32,2,0.9333,0.2222,92.6,3.7333,6.2222,0.1764,7,6.75,4,3,13.1338,13.1338,0.6,5.6,13.6,9.6,17.6,13.6,13.6,9.6,13.6,13.6,13.6,9.6,13.6,13.6,9,0.0667,,,1,,,,1,1,3,0.375,0.1111,,
Oronde Gadsden,LAC,TE,17,Yes,Yes,No,16,1,No,Yes,1,1,0.0625,1,1,6,4,1,2,0.0625,2,91.7,0.375,6,-0.3701,6,4,1,,1.3995,1.3995,0.0588,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,15,0.25,0.125,0.5625,,,,,,,,,,,
Kyle Pitts,ATL,TE,18,No,No,No,18,5,No,Yes,5,1,0.2778,5,1,23,15,2,8,,1.6,85.8,1.2778,4.6,-1.2967,4.6,3,0.4,,6.9927,6.9927,0.2778,2.3,7.3,4.8,7.3,9.8,7.3,4.8,7.3,7.3,7.3,4.8,9.8,7.3,17,0.2778,0.1111,0.6111,1,,,,1,,1,0.2,,,
Ben Sinnott,WAS,TE,6,Yes,No,Yes,6,1,No,Yes,1,1,0.1667,1,1,8,8,5,,,,100,1.3333,8,2.711,8,8,5,,1.4438,1.4438,0.1667,0.8,1.8,1.3,1.8,2.3,1.8,1.3,1.8,1.8,1.8,1.3,2.3,1.8,16,0.3333,0.1667,0.5,,,,,,,,,,,
Brayden Willis,SF,TE,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,1,,,,,,,,,,,
Dante Pettis,NO,WR,5,No,No,No,5,2,No,Yes,2,1,0.4,2,1,31,36,16,-5,,-2.5,118.8,6.2,15.5,10.28,15.5,18,8,,3.2922,3.2922,0.4,2.1,4.1,3.1,4.1,4.1,4.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,8,0.6,0.4,,,,,,,,4,2,,,
Harold Fannin,CLV,TE,24,No,Yes,No,24,3,No,No,2,0.6667,0.125,2,0.6667,17,19,6,-1,,-0.3333,81.3,0.7083,5.6667,0.3615,8.5,9.5,3,1,5.7083,5.7083,0.125,1.7,3.7,2.7,3.7,4.7,3.7,2.7,3.7,3.7,3.7,2.7,4.7,3.7,16,0.4583,0.0417,0.5,,,,,,,,,,,
Chris Godwin,TB,WR,7,No,No,No,7,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.4286,0.5714,,,,,,,,,,,,
Terry McLaurin,WAS,WR,10,Yes,No,Yes,10,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.2,0.8,,,,,,,,,,,,
Dallas Goedert,PHI,TE,21,No,No,No,21,1,Yes,Yes,1,1,0.0476,1,1,2,1,,1,,1,79.2,0.0952,2,-3.7754,2,1,,,1.5479,1.5479,0.0476,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,15,0.6667,0.0476,0.2857,,,,,,,,,,,
Cedric Tillman,CLV,WR,16,No,Yes,No,16,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,0.25,0.75,,,,,,,,,,,,
Arian Smith,NYJ,WR,17,No,No,No,17,,No,Yes,,,,,,,,,,,,,,,,,,,,1.5766,1.5766,,,,,,,,,,,,,,,16,0.5882,0.4118,,,,,,,,,,,,
Raheem Mostert,LV,RB,6,No,No,No,6,5,No,Yes,5,1,0.8333,5,1,32,34,6,-2,0.8333,-0.4,93.3,5.3333,6.4,0.3464,6.4,6.8,1.2,2,7.9803,7.9803,0.8333,3.2,8.2,5.7,10.7,8.2,8.2,5.7,8.2,8.2,8.2,5.7,8.2,8.2,12,0.1667,,,,,1,,,,,,,,
Marvin Mims,DEN,WR,11,Yes,Yes,No,11,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.0909,0.9091,,,,,,,,,,,,
Calvin Ridley,TEN,WR,8,No,Yes,No,8,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.625,0.375,,,,,,,,,,,,
Jalen Coker,CAR,WR,15,No,No,No,15,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,0.5333,0.4667,,,,,,,,,,,,
Will Shipley,PHI,RB,4,Yes,No,Yes,4,2,No,Yes,2,1,0.5,1,0.5,11,2,,12,0.5,6,66.7,2.75,5.5,-1.4519,11,2,,,3.0243,3.0243,0.5,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,15,0.25,0.25,,,,1,,,1,,,0.5,,
Kyren Williams,LA,RB,33,No,Yes,No,29,24,Yes,Yes,19,0.7917,0.8276,19,0.7917,121,75,27,62,1,2.5833,87.7,4.1724,5.0417,-1.448,6.3684,3.9474,1.4211,4,34.9173,34.9173,0.7273,12.1,31.1,21.6,40.6,31.1,34.1,24.6,31.1,31.1,31.1,21.6,31.1,31.1,17,,,,3,,2,,3,,1,0.0526,,,
Payne Durham,TB,TE,4,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,1,,,,,,,,,,,
Tucker Kraft,GB,TE,15,No,No,Yes,15,1,No,Yes,,,0.0667,,,,,,2,,2,39.6,,,-6.3701,,,,,1.3829,1.3829,0.0667,,,,,,,,,,,,,,8,0.4,0.0667,0.5333,,,,,,,,,,,
John Bates,WAS,TE,4,Yes,No,Yes,2,1,No,Yes,,,0.5,,,,,,4,,4,39.6,,,-6.0667,,,,,1.367,1.367,0.25,,,,,,,,,,,,,,15,,,1,,,,,,,,,,,
Trey McBride,ARZ,TE,57,No,Yes,No,57,3,Yes,Yes,2,0.6667,0.0526,2,0.6667,11,3,3,3,,1,72.9,0.193,3.6667,-1.8356,5.5,1.5,1.5,,4.1294,4.1294,0.0526,1.1,3.1,2.1,3.1,4.1,3.1,2.1,3.1,3.1,3.1,2.1,4.1,3.1,17,0.5965,0.0877,0.3158,,,,,,,1,0.5,,,
Cam Skattebo,NYG,RB,9,No,No,Yes,9,9,No,Yes,8,0.8889,1,7,0.7778,57,54,22,7,1,0.7778,93.1,6.3333,6.3333,0.2036,8.1429,7.7143,3.1429,3,12.8588,12.8588,1,5.7,12.7,9.2,16.2,12.7,12.7,9.2,12.7,12.7,12.7,9.2,12.7,12.7,8,,,,,,1,,,1,2,0.2857,0.1111,,
Dont'e Thornton,LV,WR,6,No,Yes,Yes,6,,No,Yes,,,,,,,,,,,,,,,,,,,,1.4573,1.4573,,,,,,,,,,,,,,,15,0.3333,0.6667,,,,,,,,,,,,
Malik Davis,DAL,RB,7,No,Yes,No,5,4,No,Yes,2,0.5,0.8,1,0.25,10,6,1,12,1,3,39.6,2,2.5,-4.0189,10,6,1,,5.7179,5.7179,0.5714,1,2,1.5,2.5,2,2,1.5,2,2,2,1.5,2,2,10,,,,1,,,,,1,,,0.25,,
Dawson Knox,BUF,TE,18,No,No,No,17,3,No,Yes,3,1,0.1765,3,1,17,8,5,9,,3,90.3,1,5.6667,-0.3029,5.6667,2.6667,1.6667,1,4.0385,4.0385,0.1667,1.7,4.7,3.2,4.7,6.2,4.7,3.2,4.7,4.7,4.7,3.2,6.2,4.7,17,0.2941,0.1765,0.5294,1,,,,1,,,,,,
Noah Brown,WAS,WR,2,Yes,Yes,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.5,0.5,,,,,,,,,,,,
Emeka Egbuka,TB,WR,19,No,No,No,19,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.3158,0.6842,,,,,,,,,,,,
Dontayvion Wicks,GB,WR,17,No,Yes,No,17,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.3529,0.5882,0.0588,,,,,,,,,,,
Mason Taylor,NYJ,TE,19,No,No,No,18,2,No,No,2,1,0.1111,2,1,5,8,2,-3,,-1.5,79.2,0.2778,2.5,-3.5848,2.5,4,1,,2.6766,2.6766,0.1053,0.5,2.5,1.5,2.5,3.5,2.5,1.5,2.5,2.5,2.5,1.5,3.5,2.5,13,0.3333,0.2222,0.4444,,,,,,,,,,,
Emanuel Wilson,GB,RB,8,Yes,No,Yes,6,3,No,Yes,3,1,0.5,3,1,21,22,13,-1,1,-0.3333,95.8,3.5,7,0.9634,7,7.3333,4.3333,2,5.7456,5.7456,0.375,2.1,5.1,3.6,6.6,5.1,5.1,3.6,5.1,5.1,5.1,3.6,5.1,5.1,17,,,,,,1,,,,2,0.6667,,,
Quentin Johnston,LAC,WR,17,No,No,Yes,17,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.1765,0.8235,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,10,No,Yes,No,7,1,No,No,1,1,0.1429,1,1,,,,,0.1429,,79.2,,,-5.289,,,,,1.5682,1.5682,0.1,,1,0.5,1,1.5,1,0.5,1,1,1,0.5,1.5,1,16,0.1429,0.2857,0.4286,,,,,,,,,,,
Cameron Latu,PHI,TE,2,Yes,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,1,,,,,,,,,,,,,
Ja'Corey Brooks,WAS,WR,1,No,Yes,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,18,No,No,No,18,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0.3889,0.6111,,,,,,,,,,,,
Corey Kiner,ARZ,RB,2,No,Yes,No,2,2,Yes,Yes,2,1,1,1,0.5,4,,,6,1,3,56.3,2,2,-4.5283,4,,,,3.2265,3.2265,1,0.4,1.4,0.9,1.9,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,4,,,,1,,1,,1,1,,,0.5,,
Kameron Johnson,TB,WR,1,No,No,No,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,1,,,,,,,,,,,,
Dyami Brown,JAX,WR,4,Yes,No,No,4,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,
Luther Burden,CHI,WR,8,No,Yes,No,8,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,0.25,0.75,,,,,,,,,,,,
Josh Palmer,BUF,WR,12,No,No,No,12,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.3333,0.6667,,,,,,,,,,,,
Charlie Woerner,ATL,TE,7,No,No,No,5,4,No,Yes,4,1,0.8,4,1,5,9,9,-4,0.4,-1,79.2,1,1.25,-4.8512,1.25,2.25,2.25,,5.4152,5.4152,0.5714,0.5,4.5,2.5,4.5,6.5,4.5,2.5,4.5,4.5,4.5,2.5,6.5,4.5,17,,,0.6,2,,,,2,,1,0.25,,1,
Mason Kinsey,TEN,WR,5,Yes,No,No,5,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.4,0.6,,,,,,,,,,,,
Omarion Hampton,LAC,RB,16,No,No,Yes,16,13,No,Yes,13,1,0.8125,13,1,70,53,28,17,0.9375,1.3077,89.1,4.375,5.3846,-0.8281,5.3846,4.0769,2.1538,1,18.527,18.527,0.8125,7,20,13.5,26.5,20,20,13.5,20,20,20,13.5,20,20,9,,,0.0625,3,,,,3,,1,0.0769,,,
CJ Dippre,NE,TE,1,No,No,Yes,1,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,,,,,
David Moore,CAR,WR,2,No,Yes,Yes,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,1,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,21,No,Yes,No,21,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0.5238,0.4762,,,,,,,,,,,,
Chris Moore,WAS,WR,8,Yes,No,Yes,8,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,1,,,,,,,,,,,,
Tutu Atwell,LA,WR,7,No,Yes,No,7,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.1429,0.8571,,,,,,,,,,,,
Isaiah Williams,NYJ,WR,4,No,No,No,4,1,No,Yes,1,1,0.25,1,1,1,4,2,-3,,-3,79.2,0.25,1,-3.9408,1,4,2,,1.858,1.858,0.25,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,15,0.75,0.25,,,,,,,,,,,,
Adam Thielen,PIT,WR,11,No,Yes,Yes,11,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.8182,0.1818,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,26,No,Yes,No,26,4,Yes,Yes,4,1,0.1538,4,1,25,32,14,-7,0.0385,-1.75,92.7,0.9615,6.25,0.4401,6.25,8,3.5,1,5.7314,5.7314,0.1538,2.5,6.5,4.5,6.5,8.5,6.5,4.5,6.5,6.5,6.5,4.5,8.5,6.5,17,0.4615,0.0769,0.4231,,,,,,,3,0.75,,,
Braelon Allen,NYJ,RB,2,No,No,No,1,1,No,Yes,1,1,1,1,1,5,,,5,1,5,87.5,5,5,-2.233,5,,,,2.255,2.255,0.5,0.5,1.5,1,2,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,4,,,,,,1,,,,,,,,
Josiah Deguara,ARZ,TE,7,No,Yes,No,7,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.4286,0.1429,0.4286,,,,,,,,,,,
Harrison Bryant,HST,TE,5,No,Yes,No,4,1,No,Yes,,,0.25,,,,,,-2,,-2,39.6,,,-4.8511,,,,,1.5667,1.5667,0.2,,,,,,,,,,,,,,12,0.25,,0.75,,,,,,,,,,,
Tylan Wallace,BLT,WR,9,No,Yes,Yes,9,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.4444,0.5556,,,,,,,,,,,,
Jonnu Smith,PIT,TE,20,No,Yes,Yes,20,4,No,No,4,1,0.2,3,0.75,13,3,1,10,,2.5,78.1,0.65,3.25,-2.705,4.3333,1,0.3333,1,5.8453,5.8453,0.2,1.3,4.3,2.8,4.3,5.8,4.3,2.8,4.3,4.3,4.3,2.8,5.8,4.3,17,0.55,0.05,0.4,,,,,,1,,,0.25,,
Darren Waller,MIA,TE,4,No,No,Yes,4,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0.75,0.25,,,,,,,,,,,,
Isiah Pacheco,KC,RB,5,Yes,No,No,5,4,No,Yes,4,1,0.8,2,0.5,10,12,2,-8,1,-2,56.3,2,2.5,-3.3321,5,6,1,,7.5007,7.5007,0.8,1,3,2,4,3,3,2,3,3,3,2,3,3,13,,,,,,,,,2,,,0.5,,
Pat Freiermuth,PIT,TE,24,No,Yes,Yes,24,4,No,No,3,0.75,0.1667,3,0.75,30,37,14,-7,,-1.75,95.8,1.25,7.5,1.9828,10,12.3333,4.6667,2,5.4499,5.4499,0.1667,3,6,4.5,6,7.5,6,4.5,6,6,6,4.5,7.5,6,17,0.5417,0.1667,0.2917,,,,,,,1,0.3333,,,
Calvin Austin,PIT,WR,19,No,Yes,Yes,19,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0.4211,0.5789,,,,,,,,,,,,
Ronnie Bell,NO,WR,2,No,No,No,2,,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,
Bijan Robinson,ATL,RB,14,No,No,No,11,4,No,Yes,3,0.75,0.3636,3,0.75,52,48,20,7,0.7273,1.75,116.7,4.7273,13,6.55,17.3333,16,6.6667,1,5.618,5.618,0.2857,5.2,8.2,6.7,9.7,8.2,8.2,6.7,8.2,8.2,8.2,6.7,8.2,8.2,17,0.0909,0.1818,,,,,,,,1,0.3333,,,
LeQuint Allen,JAX,RB,8,Yes,No,No,6,3,No,Yes,3,1,0.5,3,1,13,17,7,-4,0.5,-1.3333,84.7,2.1667,4.3333,-1.4759,4.3333,5.6667,2.3333,,4.0952,4.0952,0.375,1.3,4.3,2.8,5.8,4.3,4.3,2.8,4.3,4.3,4.3,2.8,4.3,4.3,17,0.5,,,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,1,Yes,Yes,No,1,,No,Yes,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,
Ty Johnson,BUF,RB,9,No,No,No,9,5,No,Yes,4,0.8,0.5556,3,0.6,20,17,6,,0.8889,,68.8,2.2222,4,-1.841,6.6667,5.6667,2,1,8.206,8.206,0.5556,2,5,3.5,6.5,5,5,3.5,5,5,5,3.5,5,5,17,0.1111,,,,,,,,1,,,0.2,,
Van Jefferson,TEN,WR,30,No,Yes,No,30,1,No,Yes,1,1,0.0333,1,1,8,7,1,1,,1,100,0.2667,8,2.8789,8,7,1,,1.5754,1.5754,0.0333,0.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,1.8,1.3,1.8,1.8,16,0.0333,0.9667,,,,,,,,,,,,
Colston Loveland,CHI,TE,27,No,Yes,No,27,1,No,No,1,1,0.037,1,1,2,,,2,,2,79.2,0.0741,2,-4.3701,2,,,,2.1273,2.1273,0.037,0.2,1.2,0.7,1.2,1.7,1.2,0.7,1.2,1.2,1.2,0.7,1.7,1.2,16,0.2963,0.2963,0.4074,1,,1,,1,,,,,,
