Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterCatchTotal,AveragesPerReceptionYardsAfterCatch,ReceptionsContested,YardsAfterContactTotal,DropsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Oronde Gadsden,LAC,TE,3,No,No,No,3,No,No,0.3333,0.3333,0.3333,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jonathan Taylor,IND,RB,6,No,Yes,No,6,No,Yes,,,0.1667,17,1,1,1,1,0.1667,23,0.8333,1,23,1,39.6,-12.1852,1.6077,1.6077,0.1667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Troy Franklin,DEN,WR,7,No,No,No,7,No,No,,0.4286,0.5714,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Pittman,IND,WR,6,No,Yes,No,6,No,Yes,,0.1667,0.8333,17,3,2,2,0.6667,0.5,49,,3,16.3333,1,50.7,-4.7841,9.461,9.461,0.5,1,1,0.3333,15,2.5,5,15,1,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,,,,,,,,,,,,,
Laquon Treadwell,IND,WR,1,No,Yes,No,1,No,Yes,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Mason,MIN,RB,7,No,No,No,3,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Tucker,LV,WR,8,No,No,No,8,Yes,Yes,,0.125,0.875,17,1,,1,1,0.125,18,,1,18,,118.8,8.1009,1.5941,1.5941,0.125,1,,1,19,2.375,19,19,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,1,1,,,,,,,,,,,
Javonte Williams,DAL,RB,2,No,No,No,1,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Courtland Sutton,DEN,WR,8,No,No,No,8,No,No,,0.375,0.625,17,7,3,6,0.8571,0.875,108,,6,15.4286,1,87.8,-0.5486,11.9161,11.9161,0.875,4,,0.5714,64,8,9.1429,16,4,6.4,10.4,8.4,10.4,10.4,10.4,8.4,10.4,10.4,10.4,8.4,10.4,10.4,15,3.75,1,12,1,0.1429,3,1,,,,,
Greg Dortch,ARZ,WR,4,No,No,No,4,No,No,,0.75,0.25,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
