Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentInlineRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsContestedTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,YardsAirTotal,AlignmentBackfieldRoutesPercentage,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerTargetYardsOverExpected,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,ReceptionsTotal,ReceptionsHero,ReceptionsPercentage,YardsTotal,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerReceptionYardsTotal,playerStatsFirstDownsReceiving,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,YardsAfterCatchTotal,AveragesPerReceptionYardsAfterCatch,ReceptionsContested,YardsAfterContactTotal,DropsTotal,AveragesPerTargetDropsTotal,AveragesPerReceptionYardsAfterContact,playerStatsInside20ReceivingTargetsTotal,TargetsInEndzone,TouchdownsTotal,TouchdownsInEndzone,MissedTacklesForcedTotal,MissedTacklesForcedPerReception
Zach Ertz,WAS,TE,6,No,No,No,6,No,No,0.3333,0.6667,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darnell Washington,PIT,TE,4,No,No,No,2,No,No,0.5,0.5,,16,,,,,,,,,,,,,3.6,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Davis Allen,LA,TE,2,No,No,No,1,Yes,Yes,1,,,17,1,,1,1,1,14,,1,14,,118.8,9.7183,2.0147,2.0147,0.5,1,,1,20,20,20,20,1,2,3,2.5,3,3.5,3,2.5,3,3,3,2.5,3.5,3,6,6,,2,,,2,,,,,,
Tyrell Shavers,BUF,WR,4,No,No,No,4,No,No,,,1,17,2,1,1,0.5,0.5,36,,1,18,1,77.1,-2.8245,3.8694,3.8694,0.5,1,1,0.5,16,4,8,16,1,1.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,2.6,2.1,2.6,2.6,1,1,1,,,,,,,,,,
Jahmyr Gibbs,DET,RB,2,No,No,No,2,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hunter Henry,NE,TE,7,No,No,No,7,No,No,0.5714,0.2857,,17,1,,1,1,0.1429,18,0.1429,1,18,,118.8,6.0268,1.1783,1.1783,0.1429,1,1,1,19,2.7143,19,19,1,1.9,2.9,2.4,2.9,3.4,2.9,2.4,2.9,2.9,2.9,2.4,3.4,2.9,1,1,,,,,,,,,,,
Dalton Kincaid,BUF,TE,7,No,No,No,7,No,No,0.2857,0.7143,,12,1,,,,0.1429,20,,,20,1,39.6,-11.7623,1.6022,1.6022,0.1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jakobi Meyers,JAX,WR,8,No,No,No,7,No,No,,0.4286,0.5714,16,2,1,1,0.5,0.2857,37,,2,18.5,1,39.6,-10.6673,5.1804,5.1804,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Gabe Davis,BUF,WR,1,No,No,No,1,No,No,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Wilson,ARZ,WR,14,No,No,No,14,Yes,Yes,,0.2857,0.7143,17,6,3,4,0.6667,0.4286,94,,6,15.6667,2,149.3,2.6672,17.2419,17.2419,0.4286,4,2,0.6667,75,5.3571,12.5,18.75,4,19.5,23.5,21.5,23.5,23.5,23.5,21.5,23.5,23.5,23.5,21.5,23.5,23.5,3,0.75,3,,,,,4,4,2,2,,
Ian Thomas,LV,TE,4,No,No,No,2,Yes,Yes,1,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zay Flowers,BLT,WR,4,No,No,No,4,No,No,,0.5,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
T.J. Hockenson,MIN,TE,11,No,Yes,Yes,10,No,No,0.5,0.3,0.2,15,,,,,,,,,,,,,1.8648,1.8648,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simi Fehoko,ARZ,WR,2,No,No,No,2,No,Yes,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Hutchinson,HST,WR,3,No,Yes,No,3,No,Yes,,,1,17,1,1,1,1,0.3333,12,,1,12,,147.9,0.9539,5.4579,5.4579,0.3333,1,,1,10,3.3333,10,10,1,7,8,7.5,8,8,8,7.5,8,8,8,7.5,8,8,,,1,,,,,1,1,1,1,,
Brian Thomas,JAX,WR,7,No,No,No,7,No,No,,,1,14,4,2,2,0.5,0.5714,80,,4,20,1,46.9,-6.1616,6.2007,6.2007,0.5714,1,1,0.25,19,2.7143,4.75,19,1,1.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,2.9,2.4,2.9,2.9,1,1,1,,,,,,,,,,
DeAndre Hopkins,BLT,WR,5,No,No,No,5,No,No,,,1,17,5,2,4,0.8,1,81,,5,16.2,1,89.6,-1.0194,13.0127,13.0127,1,3,,0.6,45,9,9,15,3,4.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,7.5,6,7.5,7.5,4,1.3333,1,,,,,,,,,,
Noah Gray,KC,TE,1,No,No,No,1,Yes,Yes,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chimere Dike,TEN,WR,1,No,No,No,1,No,No,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tim Patrick,JAX,WR,1,No,No,No,1,No,No,,1,,16,1,,1,1,1,14,,1,14,,39.6,-9.8134,1.35,1.35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tyrone Tracy,NYG,RB,5,Yes,No,No,5,No,No,,,,15,1,1,1,1,0.2,21,1,1,21,1,158.3,8.6923,2.6667,2.6667,0.2,1,,1,18,3.6,18,18,1,7.8,8.8,8.3,9.3,8.8,8.8,8.3,8.8,8.8,8.8,8.3,8.8,8.8,,,1,,,,,1,1,1,1,,
Michael Mayer,LV,TE,4,No,No,No,3,Yes,Yes,0.3333,0.6667,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jelani Woods,NYJ,TE,1,No,No,Yes,1,No,No,1,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marvin Harrison,ARZ,WR,5,No,No,No,5,No,No,,0.2,0.8,12,5,,5,1,1,72,,5,14.4,,158.3,2.3985,11.3597,11.3597,1,4,,0.8,63,12.6,12.6,15.75,4,12.3,16.3,14.3,16.3,16.3,16.3,14.3,16.3,16.3,16.3,14.3,16.3,16.3,5,1.25,,1,1,0.2,0.25,1,1,1,1,,
Mo Alie-Cox,IND,TE,1,No,Yes,No,1,No,Yes,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashee Rice,KC,WR,3,No,No,No,3,No,No,,0.3333,0.6667,8,1,1,1,1,0.3333,5,,1,5,,118.8,-3.3628,7.2118,7.2118,0.3333,1,,1,3,1,3,3,1,6.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,7.3,6.8,7.3,7.3,,,1,,,,,1,1,1,1,,
Britain Covey,PHI,WR,1,No,No,No,1,No,No,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Hooper,NE,TE,2,No,No,No,2,No,No,1,,,16,1,1,1,1,0.5,23,,1,23,1,118.8,14.3008,2.3333,2.3333,0.5,1,,1,26,13,26,26,1,2.6,3.6,3.1,3.6,4.1,3.6,3.1,3.6,3.6,3.6,3.1,4.1,3.6,3,3,1,3,,,3,,,,,,
Tyler Lockett,LV,WR,6,No,No,No,6,Yes,Yes,,0.8333,0.1667,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jordan Addison,MIN,WR,10,No,No,No,10,No,No,,0.1,0.9,14,3,1,3,1,0.3,43,,3,14.3333,,158.3,6.7304,7.4928,7.4928,0.3,3,1,1,49,4.9,16.3333,16.3333,3,16.9,19.9,18.4,19.9,19.9,19.9,18.4,19.9,19.9,19.9,18.4,19.9,19.9,9,3,1,5,,,1.6667,2,1,2,1,,
Keon Coleman,BUF,WR,6,No,No,No,6,No,No,,0.1667,0.8333,13,6,2,3,0.5,1,119,,6,19.8333,4,102.8,-1.7643,11.7426,11.7426,1,2,,0.3333,48,8,8,24,2,10.8,12.8,11.8,12.8,12.8,12.8,11.8,12.8,12.8,12.8,11.8,12.8,12.8,8,4,2,4,1,0.1667,2,,,1,,,
Kenneth Walker,SEA,RB,1,No,No,No,1,No,No,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mike Evans,TB,WR,4,No,No,No,4,No,No,,,1,8,4,2,2,0.5,1,66,,4,16.5,1,79.2,-1.7264,8.9538,8.9538,1,2,,0.5,34,8.5,8.5,17,2,3.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,5.4,4.4,5.4,5.4,6,3,1,4,,,2,1,1,,,,
John FitzPatrick,GB,TE,2,No,No,No,2,No,No,,0.5,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brashard Smith,KC,RB,1,No,No,No,1,Yes,Yes,,1,,17,1,,1,1,1,11,,1,11,,39.6,-7.2558,1.6607,1.6607,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tank Bigsby,PHI,RB,3,No,No,No,3,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Darius Cooper,PHI,WR,1,No,No,No,1,No,No,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tre Harris,LAC,WR,2,No,No,No,2,No,No,,,1,17,2,,1,0.5,1,44,,1,22,2,93.8,0.6909,4.0427,4.0427,1,1,,0.5,24,12,12,24,1,2.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,3.4,2.9,3.4,3.4,4,4,,1,,,1,,,,,,
Luke Schoonmaker,DAL,TE,2,Yes,No,No,2,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jalen Royals,KC,WR,1,No,No,No,1,Yes,Yes,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shane Zylstra,DET,TE,1,No,No,No,1,No,No,,1,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jayden Higgins,HST,WR,6,No,Yes,No,6,No,Yes,,0.1667,0.8333,17,2,1,1,0.5,0.3333,28,,2,14,,39.6,-9.5706,4.7927,4.7927,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Skyy Moore,SF,WR,2,No,No,No,2,No,No,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Puka Nacua,LA,WR,4,No,No,No,4,Yes,Yes,,0.25,0.75,16,1,,,,0.25,8,,1,8,,39.6,-7.5106,3.6,3.6,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,
Woody Marks,HST,RB,4,No,Yes,No,3,No,Yes,,,,16,1,,1,1,0.3333,12,1,,12,,39.6,-9.3774,0.9032,0.9032,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
Luke Musgrave,GB,TE,1,No,No,No,1,No,No,1,,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Jones,MIN,RB,3,No,No,No,2,No,No,0.5,,,12,,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christian Kirk,HST,WR,3,No,Yes,No,3,No,Yes,,0.6667,0.3333,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jahan Dotson,PHI,WR,4,No,No,No,4,No,No,0.25,0.25,0.5,17,1,,,,0.25,18,,1,18,,39.6,-10.8991,2.6583,2.6583,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,
DeVonta Smith,PHI,WR,5,No,No,No,5,No,No,,0.6,0.4,17,1,1,1,1,0.2,23,,1,23,1,118.8,16.7826,1.5,1.5,0.2,1,1,1,27,5.4,27,27,1,2.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,3.7,3.2,3.7,3.7,4,4,1,2,,,2,,,,,,
Theo Johnson,NYG,TE,4,No,Yes,Yes,4,No,No,1,,,15,1,,,,0.25,15,,1,15,,39.6,-10.6391,1.5286,1.5286,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell Evans,CAR,TE,1,No,No,No,1,No,No,,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jameson Williams,DET,WR,5,No,No,No,5,No,No,,0.2,0.8,17,2,,1,0.5,0.4,46,,2,23,1,135.4,6.5773,5.1507,5.1507,0.4,1,,0.5,37,7.4,18.5,37,1,9.7,10.7,10.2,10.7,10.7,10.7,10.2,10.7,10.7,10.7,10.2,10.7,10.7,10,10,,,,,,,,1,,,
Tucker Fisk,LAC,TE,1,No,Yes,Yes,1,Yes,Yes,1,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tai Felton,MIN,WR,1,No,No,No,1,No,No,,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jimmy Horn,CAR,WR,1,No,No,No,1,No,No,,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brian Robinson,SF,RB,1,No,No,No,1,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alvin Kamara,NO,RB,5,No,No,No,3,No,No,,,0.3333,11,,,,,,,0.6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gunner Olszewski,NYG,WR,1,Yes,No,No,1,No,No,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ray-Ray McCloud,NYG,WR,1,No,No,No,1,Yes,Yes,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Malik Nabers,NYG,WR,2,No,No,No,2,No,No,,0.5,0.5,4,1,,1,1,0.5,18,,1,18,,118.8,10.1009,3.8508,3.8508,0.5,1,,1,21,10.5,21,21,1,2.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3.1,2.6,3.1,3.1,3,3,,22,,,22,,,,,,
Cade Otton,TB,TE,6,No,No,No,3,No,No,0.6667,0.3333,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DeMario Douglas,NE,WR,3,No,No,No,3,No,No,,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xavier Weaver,ARZ,WR,3,No,No,No,3,Yes,Yes,,,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taysom Hill,NO,TE,1,No,No,No,1,No,No,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blake Corum,LA,RB,3,No,No,No,1,Yes,Yes,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breece Hall,NYJ,RB,2,No,No,Yes,1,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK Metcalf,PIT,WR,10,No,No,No,10,No,Yes,,,1,15,7,4,5,0.7143,0.7,88,,7,12.5714,1,49.1,-3.6801,16.0236,16.0236,0.7,2,1,0.2857,37,3.7,5.2857,18.5,2,3.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,5.7,4.7,5.7,5.7,4,2,1,2,,,1,2,2,,,,
Mark Andrews,BLT,TE,3,No,No,No,3,No,No,0.3333,0.3333,0.3333,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker Washington,JAX,WR,6,No,No,No,6,No,No,,0.1667,0.8333,16,3,1,2,0.6667,0.5,68,,2,22.6667,2,64.6,-3.0786,6.3087,6.3087,0.5,1,,0.3333,25,4.1667,8.3333,25,1,2.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,3.5,3,3.5,3.5,6,6,1,1,,,1,,,,,,
Travis Hunter,JAX,WR,3,No,No,No,3,No,No,,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rome Odunze,CHI,WR,2,No,No,Yes,2,No,Yes,,1,,12,,,,,,,,,,,,,1.834,1.834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Bond,CLV,WR,1,No,No,No,1,Yes,Yes,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Davis,NYJ,RB,2,No,No,Yes,2,No,No,,,,16,1,1,1,1,0.5,20,1,,20,1,39.6,-10.2619,1.47,1.47,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,
Josh Oliver,MIN,TE,3,No,No,No,1,No,No,,1,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nick Chubb,HST,RB,1,No,No,Yes,1,No,No,,,,15,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Carter,ARZ,RB,9,No,No,No,8,Yes,Yes,,,0.125,13,,,,,,,0.875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bucky Irving,TB,RB,3,No,No,No,2,No,No,,,,10,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJ Moore,CHI,WR,2,No,No,No,2,No,No,,,1,17,1,1,1,1,0.5,11,,1,11,,39.6,-8.3152,1.5118,1.5118,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Sills,ATL,WR,2,No,No,No,2,No,No,,,1,17,1,,,,0.5,15,,1,15,,39.6,-10.4097,1.7942,1.7942,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zamir White,LV,RB,1,No,No,No,1,Yes,Yes,,,,5,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ameer Abdullah,IND,RB,1,No,Yes,No,1,No,Yes,,,,13,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isaiah Hodgins,NYG,WR,3,Yes,No,No,2,No,No,,,1,7,1,,,,0.5,23,,1,23,1,39.6,-10.2174,2.5583,2.5583,0.3333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Singletary,NYG,RB,3,Yes,No,No,1,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gage Larvadain,CLV,WR,1,No,No,No,1,Yes,Yes,,,1,13,1,,,,1,28,,1,28,1,39.6,-11.0769,2.0462,2.0462,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Foster Moreau,NO,TE,1,No,No,No,1,No,No,,1,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devaughn Vele,NO,WR,4,No,No,No,3,No,Yes,,,1,13,1,1,1,1,0.3333,25,,1,25,1,39.6,-11.4887,1.794,1.794,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Josh Downs,IND,WR,7,No,Yes,No,7,No,Yes,,1,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tetairoa McMillan,CAR,WR,5,No,No,No,5,No,No,,0.4,0.6,17,3,1,2,0.6667,0.6,22,,3,7.3333,,50.7,-2.5233,8.3803,8.3803,0.6,1,1,0.3333,15,3,5,15,1,1.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,2.5,2,2.5,2.5,20,20,,,,,,1,1,,,,
Hassan Haskins,LAC,RB,1,No,No,No,1,No,No,,,,11,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jack Bech,LV,WR,1,No,No,No,1,Yes,Yes,,,1,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jaylen Warren,PIT,RB,4,No,No,No,2,No,No,,,,16,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mack Hollins,NE,WR,2,Yes,No,Yes,2,Yes,Yes,,,1,15,1,,,,0.5,14,,1,14,,39.6,-9.8134,1.933,1.933,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kendrick Bourne,SF,WR,4,No,No,No,4,No,No,,0.25,0.75,16,1,1,1,1,0.25,20,,1,20,1,39.6,-10.8652,1.7721,1.7721,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Juwan Johnson,NO,TE,6,No,No,No,6,No,No,,0.8333,0.1667,17,2,1,2,1,0.3333,25,,2,12.5,,120.8,-0.7006,4.8467,4.8467,0.3333,1,1,0.5,18,3,9,18,1,7.8,8.8,8.3,8.8,9.3,8.8,8.3,8.8,8.8,8.8,8.3,9.3,8.8,1,1,1,,1,0.5,,1,,1,,,
David Montgomery,DET,RB,3,No,No,No,2,No,No,,,,17,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ja'Tavion Sanders,CAR,TE,2,No,No,No,2,No,No,,1,,13,,,,,,,,,,,,,1.6938,1.6938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jauan Jennings,SF,WR,4,No,No,No,4,No,No,,0.5,0.5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KaVontae Turpin,DAL,WR,1,Yes,No,No,1,No,No,,,1,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
