Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsTotal,TargetsContestedLabel,TargetsCatchableLabel,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsGamesPlayed,AlignmentBackfieldRoutesPercentage,playerStatsInside20ReceivingTargetsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,DropsTotal,AveragesPerTargetDropsTotal,TargetsContestedTotal,ReceptionsContested
DJ Moore,CHI,WR,6,No,No,No,3,3,No,No,3,1,1,3,1,16,22,9,-6,1,0.3333,0.3333,0.6667,3,3,1,-2,88.9,5.3333,5.3333,-0.2033,5.3333,7.3333,3,1,4.2521,4.2521,0.5,1.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,4.6,3.1,4.6,4.6,17,,,,,,,,
Tyjae Spears,TEN,RB,5,Yes,No,No,1,1,No,Yes,1,1,1,1,1,9,13,3,-4,,,1,,1,1,1,-4,104.2,9,9,3.4301,9,13,3,1,1.7769,1.7769,0.2,0.9,1.9,1.4,2.4,1.9,1.9,1.4,1.9,1.9,1.9,1.4,1.9,1.9,13,,,,,,,,
Isaiah Bond,CLV,WR,2,Yes,No,No,2,2,No,Yes,2,1,1,2,1,4,12,-1,-8,,,,1,2,2,1,-4,79.2,2,2,-2.4851,2,6,-0.5,,4.0139,4.0139,1,0.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,2.4,1.4,2.4,2.4,16,,,,,,,,
Jacory Croskey-Merritt,WAS,RB,6,No,No,No,2,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,1,,,,,,,
Rome Odunze,CHI,WR,6,No,No,No,1,1,No,No,1,1,1,1,1,-4,-1,,-3,,,,1,1,1,1,-3,79.2,-4,-4,-8.9408,-4,-1,,,1.858,1.858,0.1667,-0.4,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,0.6,0.1,0.6,0.6,12,,,,,,,,
Khalil Herbert,NYJ,RB,1,No,No,No,1,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,
Josh Downs,IND,WR,2,No,No,No,1,1,No,No,,,1,,,,,,-2,,,1,,1,1,1,-2,39.6,,,-5.4991,,,,,3.0953,3.0953,0.5,,,,,,,,,,,,,,16,,,,,,,,
Tetairoa McMillan,CAR,WR,4,No,No,No,2,,No,No,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,
Ja'Tavion Sanders,CAR,TE,2,No,No,No,1,1,No,No,1,1,1,1,1,5,8,2,-3,,,1,,1,1,1,-3,87.5,5,5,-0.8652,5,8,2,,2.7,2.7,0.5,0.5,1.5,1,1.5,2,1.5,1,1.5,1.5,1.5,1,2,1.5,13,,1,,,,,,
Juwan Johnson,NO,TE,5,Yes,No,No,2,1,No,Yes,1,1,0.5,1,1,4,7,2,-3,,,0.5,,1,1,1,-3,83.3,2,4,-1.8652,4,7,2,,1.454,1.454,0.2,0.4,1.4,0.9,1.4,1.9,1.4,0.9,1.4,1.4,1.4,0.9,1.9,1.4,17,,,0.5,,,,,
