Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal
Xavier Weaver,ARZ,WR,10,Yes,No,No,2,No,Yes,0.5,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Garrett Wilson,NYJ,WR,4,No,Yes,Yes,2,No,Yes,0.5,0.5,7,1,1,1,0.5,1,1,4,8,1,-4,1,1,1,-4,83.3,2,4,-0.4851,4,8,1,1.3095,1.3095,0.25,0.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,1.4,0.9,1.4,1.4,,,,,,,,,,,,
Corey Kiner,ARZ,RB,3,Yes,No,No,3,No,Yes,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Kameron Johnson,TB,WR,7,No,No,Yes,3,No,Yes,,1,17,1,1,1,0.3333,1,1,,1,,-1,1,1,1,-1,79.2,,,-6.1699,,1,,1.349,1.349,0.1429,,1,0.5,1,1,1,0.5,1,1,1,0.5,1,1,,,,,,,,,,,,
Dyami Brown,JAX,WR,22,No,No,No,10,No,Yes,0.1,0.9,14,3,3,1,0.3,3,1,12,19,9,-7,3,3,1,-2.3333,83.3,1.2,4,-1.3847,4,6.3333,3,4.7103,4.7103,0.1364,1.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,4.2,2.7,4.2,4.2,,1,0.3333,1,,,,,,,,
Luther Burden,CHI,WR,26,No,No,No,21,No,Yes,0.619,0.381,15,15,15,1,0.7143,15,1,83,129,25,-46,15,15,1,-3.0667,89.7,3.9524,5.5333,0.8015,5.5333,8.6,1.6667,23.2044,23.2044,0.5769,8.3,23.3,15.8,23.3,23.3,23.3,15.8,23.3,23.3,23.3,15.8,23.3,23.3,,3,0.2,2,4,,,,,,,
Emanuel Wilson,GB,RB,6,No,No,Yes,4,No,Yes,0.25,,17,4,4,1,1,3,0.75,24,41,6,-22,4,4,1,-5.5,89.6,6,6,0.7352,8,13.6667,2,6.9912,6.9912,0.6667,2.4,5.4,3.9,6.9,5.4,5.4,3.9,5.4,5.4,5.4,3.9,5.4,5.4,0.75,,,,1,1,0.25,,,,,
Mason Taylor,NYJ,TE,18,No,No,No,3,No,Yes,0.6667,,13,2,1,0.5,0.6667,,,,,,-10,2,2,1,-5,39.6,,,-4.3733,,,,3.1022,3.1022,0.1111,,,,,,,,,,,,,,,,,,,1,0.5,0.3333,,,,
Quentin Johnston,LAC,WR,18,No,No,No,11,No,Yes,0.1818,0.8182,14,2,2,1,0.1818,2,1,14,17,9,-3,2,2,1,-1.5,95.8,1.2727,7,1.5103,7,8.5,4.5,2.9617,2.9617,0.1111,1.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,3.4,2.4,3.4,3.4,,,,,,,,,,,,
Blake Whiteheart,CLV,TE,9,No,Yes,No,1,No,No,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Adam Thielen,PIT,WR,20,No,No,No,9,No,Yes,0.6667,0.3333,16,1,1,1,0.1111,1,1,7,7,3,,1,1,1,,95.8,0.7778,7,0.9614,7,7,3,1.3899,1.3899,0.05,0.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,1.7,1.2,1.7,1.7,,,,,,,,,,,,
Elijah Higgins,ARZ,TE,17,Yes,No,No,4,No,Yes,0.25,,17,3,3,1,0.75,3,1,16,24,14,-8,3,3,1,-2.6667,88.9,4,5.3333,-0.6539,5.3333,8,4.6667,4.239,4.239,0.1765,1.6,4.6,3.1,4.6,6.1,4.6,3.1,4.6,4.6,4.6,3.1,6.1,4.6,,4,1.3333,,,,,0.75,,,,
Jonnu Smith,PIT,TE,30,No,No,No,17,No,Yes,0.2353,0.5294,17,10,10,1,0.5882,10,1,44,73,29,-29,10,10,1,-2.9,85,2.5882,4.4,-1.2552,4.4,7.3,2.9,15.4193,15.4193,0.3333,4.4,14.4,9.4,14.4,19.4,14.4,9.4,14.4,14.4,14.4,9.4,19.4,14.4,0.0588,2,0.2,2,1,,,0.1765,,,,
Tylan Wallace,BLT,WR,7,No,No,No,3,No,Yes,,1,14,1,1,1,0.3333,1,1,6,7,1,-1,1,1,1,-1,91.7,2,6,-0.1699,6,7,1,1.3738,1.3738,0.1429,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,
Charlie Woerner,ATL,TE,17,Yes,No,No,2,No,Yes,,0.5,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,
Omarion Hampton,LAC,RB,9,No,No,No,8,No,Yes,0.125,,9,7,7,1,0.875,7,1,24,62,17,-38,7,7,1,-5.4286,81,3,3.4286,-2.1391,3.4286,8.8571,2.4286,10.0203,10.0203,0.7778,2.4,9.4,5.9,12.9,9.4,9.4,5.9,9.4,9.4,9.4,5.9,9.4,9.4,0.875,1,0.1429,,2,,,,,,,
Josh Palmer,BUF,WR,9,No,No,Yes,1,No,Yes,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antonio Gibson,NE,RB,1,No,No,No,1,No,Yes,,,5,1,1,1,1,1,1,1,5,3,-4,1,1,1,-4,79.2,1,1,-4.5699,1,5,3,1.5079,1.5079,1,0.1,1.1,0.6,1.6,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1,,,,,,,,,,,
Chris Moore,WAS,WR,14,No,No,Yes,7,No,Yes,,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tutu Atwell,LA,WR,11,Yes,No,No,3,No,Yes,0.6667,0.3333,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Moore,CAR,WR,3,Yes,No,No,1,No,Yes,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amon-Ra St. Brown,DET,WR,45,No,No,No,17,No,Yes,0.5294,0.4118,17,11,11,1,0.6471,11,1,78,116,32,-38,11,11,1,-3.4545,135.8,4.5882,7.0909,2.3233,7.0909,10.5455,2.9091,16.7003,16.7003,0.2444,25.8,36.8,31.3,36.8,36.8,36.8,31.3,36.8,36.8,36.8,31.3,36.8,36.8,0.0588,5,0.4545,4,5,,,,3,,,
Isaiah Williams,NYJ,WR,21,No,No,Yes,13,No,Yes,0.5385,0.3846,15,9,8,0.8889,0.6923,8,0.8889,41,72,17,-34,9,9,1,-3.7778,85.6,3.1538,4.5556,-0.0453,5.125,9,2.125,14.0746,14.0746,0.4286,4.1,12.1,8.1,12.1,12.1,12.1,8.1,12.1,12.1,12.1,8.1,12.1,12.1,0.0769,1,0.125,,1,,,,,,,
Calvin Austin,PIT,WR,19,No,No,No,8,No,Yes,0.5,0.5,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bijan Robinson,ATL,RB,36,Yes,No,No,29,No,Yes,0.2069,0.2069,17,22,22,1,0.7586,21,0.9545,152,251,81,-105,22,22,1,-4.7727,110.6,5.2414,6.9091,1.5345,7.2381,11.9524,3.8571,34.7089,34.7089,0.6111,21.2,42.2,31.7,52.7,42.2,45.2,34.7,42.2,42.2,42.2,31.7,42.2,42.2,0.5862,9,0.4286,1,6,1,0.0455,,1,1,1,
LeQuint Allen,JAX,RB,9,No,No,No,7,No,Yes,0.1429,0.1429,17,2,2,1,0.2857,2,1,9,15,7,-6,2,2,1,-3,85.4,1.2857,4.5,-1.384,4.5,7.5,3.5,2.7348,2.7348,0.2222,0.9,2.9,1.9,3.9,2.9,2.9,1.9,2.9,2.9,2.9,1.9,2.9,2.9,0.7143,,,,,,,,,,,
Jaleel McLaughlin,DEN,RB,1,No,No,No,1,No,Yes,,,8,1,1,1,1,,,,,,-6,1,1,1,-6,39.6,,,-5.0893,,,,1.2932,1.2932,1,,,,,,,,,,,,,,1,,,,,1,1,,,1,,
Colston Loveland,CHI,TE,23,No,No,No,4,No,Yes,0.25,0.5,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,
Darren Waller,MIA,TE,7,Yes,No,No,2,No,Yes,0.5,0.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
