Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TargetedReadFirstTotal,TargetedReadDesignTotal,TargetedReadDesignPercentage,AverageDepthOfTarget,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,AlignmentBackfieldRoutesPercentage,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,playerStatsInside20ReceivingTargetsTotal,playerStatsFirstDownsReceiving,DropsTotal,AveragesPerTargetDropsTotal,AlignmentInlineRoutesPercentage,TouchdownsTotal,TargetsContestedTotal,ReceptionsContested,DeepTargetTargetsTotal
Pat Freiermuth,PIT,TE,25,No,No,No,11,No,Yes,0.4545,0.0909,17,3,3,1,0.2727,3,1,22,30,10,-8,3,3,1,-2.6667,97.2,2,7.3333,1.6323,7.3333,10,3.3333,4.2417,4.2417,0.12,2.2,5.2,3.7,5.2,6.7,5.2,3.7,5.2,5.2,5.2,3.7,6.7,5.2,,1,0.3333,,1,,,0.4545,,,,
Isiah Pacheco,KC,RB,16,Yes,No,No,6,No,Yes,,,13,4,4,1,0.6667,2,0.5,-3,7,3,-18,4,4,1,-4.5,56.3,-0.5,-0.75,-6.6831,-1.5,3.5,1.5,6.0738,6.0738,0.25,-0.3,1.7,0.7,2.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,1,,,1,,2,0.5,,,,,
Zach Charbonnet,SEA,RB,10,Yes,No,Yes,6,No,Yes,0.1667,,16,2,2,1,0.3333,2,1,1,6,1,-5,2,2,1,-2.5,79.2,0.1667,0.5,-5.1945,0.5,3,0.5,3.8089,3.8089,0.2,0.1,2.1,1.1,3.1,2.1,2.1,1.1,2.1,2.1,2.1,1.1,2.1,2.1,0.8333,,,1,,,,,,,,
Chuba Hubbard,CAR,RB,10,No,No,Yes,7,No,Yes,,0.1429,15,5,5,1,0.7143,5,1,45,71,17,-26,5,5,1,-5.2,104.2,6.4286,9,3.4883,9,14.2,3.4,6.3394,6.3394,0.5,4.5,9.5,7,12,9.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,0.8571,2,0.4,,2,,,,,,,
Jared Wayne,HST,WR,2,No,Yes,Yes,1,No,Yes,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJ Barner,SEA,TE,12,Yes,No,Yes,2,No,Yes,,,17,2,2,1,1,2,1,22,30,8,-8,2,2,1,-4,112.5,11,11,4.6636,11,15,4,4.5074,4.5074,0.1667,2.2,4.2,3.2,4.2,5.2,4.2,3.2,4.2,4.2,4.2,3.2,5.2,4.2,,,,,,,,1,,,,
Rachaad White,TB,RB,36,No,No,Yes,26,No,Yes,0.1154,0.0385,17,17,17,1,0.6538,17,1,88,162,58,-74,17,17,1,-4.3529,88.2,3.3846,5.1765,-0.4384,5.1765,9.5294,3.4118,26.6125,26.6125,0.4722,8.8,25.8,17.3,34.3,25.8,25.8,17.3,25.8,25.8,25.8,17.3,25.8,25.8,0.8462,8,0.4706,6,4,,,,,,,
Cam Grandy,CIN,TE,1,No,No,No,1,No,Yes,,,5,1,1,1,1,1,1,6,8,10,-2,1,1,1,-2,91.7,6,6,1.1489,6,8,10,1.5043,1.5043,1,0.6,1.6,1.1,1.6,2.1,1.6,1.1,1.6,1.6,1.6,1.1,2.1,1.6,,,,,,,,1,,,,
Elijah Moore,BUF,WR,10,Yes,No,Yes,8,No,Yes,0.25,0.75,9,2,2,1,0.25,1,0.5,5,7,4,-5,2,2,1,-2.5,56.3,0.625,2.5,-2.72,5,7,4,2.9222,2.9222,0.2,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,1,1,,,1,0.5,,,,,
Malachi Corley,CLV,WR,12,No,Yes,No,8,No,No,0.75,0.25,13,4,3,0.75,0.5,3,0.75,32,37,8,-12,4,4,1,-3,97.9,4,8,3.6142,10.6667,12.3333,2.6667,5.87,5.87,0.3333,3.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,6.2,4.7,6.2,6.2,,1,0.3333,,1,,,,,,,
Xavier Worthy,KC,WR,30,Yes,No,No,11,No,Yes,0.1818,0.8182,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elic Ayomanor,TEN,WR,41,No,No,No,9,No,Yes,0.2222,0.7778,16,1,1,1,0.1111,1,1,6,7,4,-1,1,1,1,-1,91.7,0.6667,6,-0.1699,6,7,4,1.4786,1.4786,0.0244,0.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,1.6,1.1,1.6,1.6,,,,,,,,,,,,
Andre Baccellia,ARZ,WR,6,Yes,No,No,2,No,Yes,0.5,0.5,5,1,1,1,0.5,1,1,3,6,3,-3,1,1,1,-3,79.2,1.5,3,-1.9408,3,6,3,1.6358,1.6358,0.1667,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,2,2,,,,,,,,,
Ty Johnson,BUF,RB,29,No,No,Yes,21,No,Yes,0.1905,0.2857,17,12,11,0.9167,0.5714,10,0.8333,117,158,67,-49,12,12,1,-4.0833,135.1,5.5714,9.75,3.9618,11.7,15.8,6.7,18.1577,18.1577,0.4138,17.7,27.7,22.7,32.7,27.7,30.7,25.7,27.7,27.7,27.7,22.7,27.7,27.7,0.5238,2,0.2,2,4,,,,1,1,,
Van Jefferson,TEN,WR,25,No,No,No,6,No,Yes,0.3333,0.6667,16,1,1,1,0.1667,1,1,12,17,3,-5,1,1,1,-5,116.7,2,12,7.8404,12,17,3,2.7929,2.7929,0.04,1.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,2.2,1.7,2.2,2.2,,,,,1,,,,,,,
Kareem Hunt,KC,RB,23,No,No,No,9,No,Yes,,,17,6,5,0.8333,0.6667,5,0.8333,45,63,22,-22,6,6,1,-3.6667,97.9,5,7.5,1.6053,9,12.6,4.4,8.9804,8.9804,0.2609,4.5,9.5,7,12,9.5,9.5,7,9.5,9.5,9.5,7,9.5,9.5,1,2,0.4,1,3,,,,,,,
Derrick Henry,BLT,RB,11,No,No,No,3,No,Yes,,,17,2,2,1,0.6667,2,1,8,14,3,-6,2,2,1,-3,83.3,2.6667,4,-2.1191,4,7,1.5,3.1563,3.1563,0.1818,0.8,2.8,1.8,3.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,1,,,,,,,,,1,1,
Chase Brown,CIN,RB,17,No,Yes,No,14,No,No,0.2143,0.0714,17,10,10,1,0.7143,9,0.9,51,86,20,-40,10,10,1,-4,87.9,3.6429,5.1,-0.6838,5.6667,9.5556,2.2222,14.25,14.25,0.5882,5.1,14.1,9.6,18.6,14.1,14.1,9.6,14.1,14.1,14.1,9.6,14.1,14.1,0.7143,5,0.5556,,1,,,,,,,
Curtis Samuel,BUF,WR,13,No,No,No,2,No,Yes,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austin Ekeler,WAS,RB,3,No,No,No,1,No,Yes,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,
Devontez Walker,BLT,WR,2,No,No,No,1,No,Yes,,1,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dylan Drummond,ATL,WR,6,Yes,No,No,1,No,Yes,,1,9,1,1,1,1,1,1,3,7,1,-4,1,1,1,-4,79.2,3,3,-1.4851,3,7,1,1.6722,1.6722,0.1667,0.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,1.3,0.8,1.3,1.3,,,,1,,,,,,,,
Drew Sample,CIN,TE,14,No,Yes,No,1,No,No,,1,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Daniel Bellinger,NYG,TE,8,Yes,No,No,3,No,Yes,0.3333,,16,1,1,1,0.3333,1,1,29,30,25,-1,1,1,1,-1,158.3,9.6667,29,24.0986,29,30,25,1.3511,1.3511,0.125,8.9,9.9,9.4,9.9,10.4,9.9,9.4,9.9,9.9,9.9,9.4,10.4,9.9,0.3333,1,1,,1,,,0.3333,1,,,
Jaylin Noel,HST,WR,9,No,No,No,5,No,Yes,0.6,0.4,17,4,4,1,0.8,4,1,28,44,8,-16,4,4,1,-4,95.8,5.6,7,2.5149,7,11,2,6.1693,6.1693,0.4444,2.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,6.8,4.8,6.8,6.8,,,,,,,,,,,,
Zay Jones,ARZ,WR,8,No,No,Yes,2,No,Yes,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashton Jeanty,LV,RB,27,No,No,No,16,No,Yes,0.1875,0.25,17,15,15,1,0.9375,14,0.9333,71,145,56,-78,15,15,1,-5.2,108.6,4.4375,4.7333,-0.7641,5.0714,10.3571,4,23.266,23.266,0.5556,13.1,27.1,20.1,34.1,27.1,27.1,20.1,27.1,27.1,27.1,20.1,27.1,27.1,0.5625,6,0.4286,2,2,1,0.0667,,1,,,
Kyle Monangai,CHI,RB,19,No,No,No,10,No,Yes,0.2,0.1,17,5,5,1,0.5,4,0.8,47,62,5,-20,5,5,1,-4,105.8,4.7,9.4,3.66,11.75,15.5,1.25,9.157,9.157,0.2632,4.7,8.7,6.7,10.7,8.7,8.7,6.7,8.7,8.7,8.7,6.7,8.7,8.7,0.7,1,0.25,1,2,1,0.2,,,,,
Ben Sinnott,WAS,TE,6,No,No,Yes,1,No,Yes,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,
Stefon Diggs,NE,WR,15,Yes,No,Yes,7,No,Yes,0.2857,0.7143,17,2,2,1,0.2857,2,1,6,8,3,-2,2,2,1,-1,118.8,0.8571,3,-2.7688,3,4,1.5,5.0153,5.0153,0.1333,6.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,8.6,7.6,8.6,8.6,,,,2,1,,,,1,,,
Kalif Raymond,DET,WR,24,No,No,No,9,No,Yes,0.3333,0.6667,15,5,5,1,0.5556,5,1,47,59,10,-12,5,5,1,-2.4,105.8,5.2222,9.4,4.0789,9.4,11.8,2,7.0898,7.0898,0.2083,4.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,9.7,7.2,9.7,9.7,,,,,2,,,,,,,
Darnell Mooney,ATL,WR,29,Yes,No,No,5,No,Yes,0.2,0.8,15,2,2,1,0.4,2,1,8,11,2,-3,2,2,1,-1.5,83.3,1.6,4,-1.8345,4,5.5,1,3.1191,3.1191,0.069,0.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,2.8,1.8,2.8,2.8,,,,,1,,,,,,,
Isaac TeSlaa,DET,WR,18,No,No,No,3,No,Yes,0.3333,0.6667,17,1,1,1,0.3333,1,1,11,13,5,-2,1,1,1,-2,112.5,3.6667,11,5.5009,11,13,5,2.3393,2.3393,0.0556,1.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,1,1,,,,,,,
Allen Lazard,NYJ,WR,8,No,No,No,1,No,No,,1,10,1,1,1,1,1,1,5,7,3,-2,1,1,1,-2,87.5,5,5,-0.4991,5,7,3,1.3826,1.3826,0.125,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,,,,,,,,,
Hunter Renfrow,CAR,WR,6,Yes,No,No,3,No,Yes,1,,6,1,1,1,0.3333,1,1,5,5,2,,1,1,1,,87.5,1.6667,5,-1.0386,5,5,2,1.4769,1.4769,0.1667,0.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,1.5,1,1.5,1.5,,,,1,,,,,,,,
Andrei Iosivas,CIN,WR,19,No,Yes,No,1,No,No,1,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dallas Goedert,PHI,TE,7,No,No,No,4,No,No,0.25,0.75,15,4,4,1,1,4,1,12,23,11,-11,4,4,1,-2.75,118.8,3,3,-2.476,3,5.75,2.75,11.8261,11.8261,0.5714,13.2,17.2,15.2,17.2,19.2,17.2,15.2,17.2,17.2,17.2,15.2,19.2,17.2,,,,3,2,,,,2,,,
Arian Smith,NYJ,WR,8,No,No,Yes,3,No,Yes,1,,16,2,2,1,0.6667,2,1,-4,3,,-7,2,2,1,-3.5,79.2,-1.3333,-2,-6.7129,-2,1.5,,3.0319,3.0319,0.25,-0.4,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,1.6,0.6,1.6,1.6,,,,,,,,,,,,
Marvin Mims,DEN,WR,26,No,No,No,13,No,Yes,0.4615,0.4615,15,6,6,1,0.4615,6,1,22,42,11,-20,6,6,1,-3.3333,81.9,1.6923,3.6667,-1.1781,3.6667,7,1.8333,9.0352,9.0352,0.2308,2.2,8.2,5.2,8.2,8.2,8.2,5.2,8.2,8.2,8.2,5.2,8.2,8.2,0.0769,1,0.1667,,1,,,,,,,
Cedric Tillman,CLV,WR,18,No,Yes,No,5,No,No,,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calvin Ridley,TEN,WR,7,Yes,No,No,2,No,Yes,0.5,0.5,7,1,1,1,0.5,1,1,1,3,1,-2,1,1,1,-2,79.2,0.5,1,-4.4991,1,3,1,1.6766,1.6766,0.1429,0.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,1.1,0.6,1.1,1.1,,,,,,,,,,,,
Raheem Mostert,LV,RB,8,No,No,Yes,6,No,Yes,,,12,2,2,1,0.3333,2,1,-3,9,3,-12,2,2,1,-6,79.2,-0.5,-1.5,-6.6999,-1.5,4.5,1.5,3.0321,3.0321,0.25,-0.3,1.7,0.7,2.7,1.7,1.7,0.7,1.7,1.7,1.7,0.7,1.7,1.7,1,2,1,,1,,,,,,,
Jalen Coker,CAR,WR,12,No,No,Yes,5,No,Yes,0.6,0.4,11,1,1,1,0.2,1,1,-11,-8,,-3,1,1,1,-3,79.2,-2.2,-11,-15.9408,-11,-8,,1.6139,1.6139,0.0833,-2.1,-1.1,-1.6,-1.1,-1.1,-1.1,-2.6,-2.1,-2.1,-2.1,-2.6,-1.1,-2.1,,,,,,,,,,,,
Kyle Pitts,ATL,TE,38,Yes,No,No,12,No,Yes,0.5,0.3333,17,9,7,0.7778,0.75,7,0.7778,24,45,10,-29,9,9,1,-3.2222,39.6,2,2.6667,-2.6393,3.4286,6.4286,1.4286,14.0192,14.0192,0.2368,2.4,9.4,5.9,9.4,12.9,9.4,5.9,9.4,9.4,9.4,5.9,12.9,9.4,,1,0.1429,2,,,,0.1667,,,,
Dante Pettis,NO,WR,3,Yes,No,No,1,No,Yes,,1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TreVeyon Henderson,NE,RB,11,Yes,No,Yes,10,No,Yes,,,17,8,8,1,0.8,7,0.875,43,71,24,-30,8,8,1,-3.75,89.1,4.3,5.375,-0.5335,6.1429,10.1429,3.4286,14.5397,14.5397,0.7273,4.3,11.3,7.8,14.8,11.3,11.3,7.8,11.3,11.3,11.3,7.8,11.3,11.3,1,3,0.4286,1,2,1,0.125,,,,,
Jayden Reed,GB,WR,3,No,No,Yes,3,No,Yes,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devin Neal,NO,RB,3,No,No,No,2,No,Yes,,,9,2,2,1,1,2,1,10,23,4,-13,2,2,1,-6.5,87.5,5,5,0.191,5,11.5,2,2.4575,2.4575,0.6667,1,3,2,4,3,3,2,3,3,3,2,3,3,1,,,,,,,,,,,
Oronde Gadsden,LAC,TE,15,No,No,No,4,No,Yes,0.25,0.5,15,1,1,1,0.25,,,,,,-6,1,1,1,-6,39.6,,,-7.1169,,,,1.7417,1.7417,0.0667,,,,,,,,,,,,,,,,,1,,1,1,0.25,,,,
Chris Godwin,TB,WR,20,No,No,Yes,9,No,Yes,0.5556,0.4444,9,5,5,1,0.5556,5,1,29,41,16,-12,5,5,1,-2.4,90.8,3.2222,5.8,0.5017,5.8,8.2,3.2,7.8516,7.8516,0.25,2.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,7.9,5.4,7.9,7.9,,3,0.6,,2,,,,,,,
Terry McLaurin,WAS,WR,13,No,No,Yes,4,No,Yes,,1,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
