Name,Team,POS,playerStatsSnapsOffenseTotal,PlayActionLabel,PressuredLabel,BlitzedLabel,RoutesTotal,TargetsContestedLabel,TargetsCatchableLabel,AlignmentBackfieldRoutesPercentage,AlignmentSlotRoutesPercentage,AlignmentWideRoutesPercentage,playerStatsGamesPlayed,TargetsTotal,TargetsCatchableTotal,TargetsCatchablePercentage,TargetsInEndzone,TargetsPerRoute,ReceptionsTotal,ReceptionsPercentage,YardsTotal,YardsAfterCatchTotal,YardsAfterContactTotal,YardsAirTotal,TouchdownsTotal,TouchdownsInEndzone,TargetedReadFirstTotal,AverageDepthOfTarget,DeepTargetTargetsTotal,PasserRatingWhenTargeted,AveragesPerRouteYardsTotal,AveragesPerTargetYardsTotal,AveragesPerTargetYardsOverExpected,AveragesPerReceptionYardsTotal,AveragesPerReceptionYardsAfterCatch,AveragesPerReceptionYardsAfterContact,playerStatsFirstDownsReceiving,playerStatsXfpPprTotal,playerStatsXfpPprReceiving,playerStatsOffenseThreatsPercentage,playerStatsFantasyPointsNonPpr,playerStatsFantasyPointsPpr,playerStatsFantasyPointsHalfPpr,playerStatsFantasyPointsHalfPprRb,playerStatsFantasyPointsPprTe,playerStatsFantasyPointsDraftKings,playerStatsFantasyPointsFanDuel,playerStatsFantasyPointsCbs,playerStatsFantasyPointsNfl,playerStatsFantasyPointsEspn,playerStatsFantasyPointsYahoo,playerStatsFantasyPointsFfpc,playerStatsFantasyPointsNffc,playerStatsInside20ReceivingTargetsTotal,TargetsContestedTotal,DropsTotal,AlignmentInlineRoutesPercentage,AveragesPerTargetDropsTotal,ReceptionsContested,MissedTacklesForcedTotal,MissedTacklesForcedPerReception,ReceptionsHero,TargetedReadDesignTotal,TargetedReadDesignPercentage
Austin Ekeler,WAS,RB,16,No,Yes,Yes,15,No,Yes,0.6,0.3333,0.0667,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devontez Walker,BLT,WR,22,No,Yes,Yes,22,Yes,Yes,,0.1364,0.8636,11,4,4,1,1,0.1818,4,1,82,22,1,69,2,1,4,17.25,1,158.3,3.7273,20.5,11.3272,20.5,5.5,0.25,3,10.2354,10.2354,0.1818,20.2,24.2,22.2,24.2,24.2,24.2,22.2,24.2,24.2,24.2,22.2,24.2,24.2,1,,,,,,,,,,
Daniel Bellinger,NYG,TE,82,No,No,No,71,No,No,0.0704,0.4648,0.1268,16,12,11,0.9167,,0.169,9,0.75,93,71,14,56,,,8,4.6667,,96.9,1.3099,7.75,1.0259,10.3333,7.8889,1.5556,6,18.5521,18.5521,0.1463,9.3,18.3,13.8,18.3,22.8,18.3,13.8,18.3,18.3,18.3,13.8,22.8,18.3,1,2,1,0.338,0.0833,,,,,,
Dylan Drummond,ATL,WR,24,No,No,No,24,No,Yes,,0.2917,0.7083,9,7,7,1,1,0.2917,5,0.7143,34,8,6,48,,,3,6.8571,,81.8,1.4167,4.8571,-2.321,6.8,1.6,1.2,2,11.3698,11.3698,0.2917,3.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,8.4,5.9,8.4,8.4,2,3,1,,0.1429,1,,,,,
Drew Sample,CIN,TE,108,No,No,Yes,79,Yes,Yes,0.2532,0.0886,0.0506,17,5,5,1,,0.0633,5,1,44,46,16,-2,,,3,-0.4,,103.3,0.557,8.8,2.9964,8.8,9.2,3.2,2,7.4488,7.4488,0.0463,4.4,9.4,6.9,9.4,11.9,9.4,6.9,9.4,9.4,9.4,6.9,11.9,9.4,,,,0.6076,,,,,,,
Curtis Samuel,BUF,WR,32,No,Yes,No,31,No,Yes,,0.4516,0.5484,6,4,4,1,,0.129,4,1,40,14,3,26,,,2,6.5,1,108.3,1.2903,10,3.0491,10,3.5,0.75,2,5.6975,5.6975,0.125,4,8,6,8,8,8,6,8,8,8,6,8,8,,1,,,,1,,,,,
Tanner Hudson,CIN,TE,51,No,No,Yes,49,Yes,Yes,,0.5714,0.1224,13,8,7,0.875,2,0.1633,5,0.625,28,16,5,45,1,1,6,5.625,,68.8,0.5714,3.5,-3.22,5.6,3.2,1,2,15.4276,15.4276,0.1569,8.8,13.8,11.3,13.8,16.3,13.8,11.3,13.8,13.8,13.8,11.3,16.3,13.8,3,2,,0.3061,,,,,,,
Najee Harris,LAC,RB,8,No,No,Yes,4,No,Yes,1,,,3,1,1,1,,0.25,1,1,11,10,5,1,,,1,1,,112.5,2.75,11,5.2706,11,10,5,1,1.3977,1.3977,0.125,1.1,2.1,1.6,2.6,2.1,2.1,1.6,2.1,2.1,2.1,1.6,2.1,2.1,,,,,,,1,1,,,
Chase Brown,CIN,RB,177,No,No,Yes,146,Yes,Yes,0.7808,0.1507,0.0616,17,26,22,0.8462,2,0.1781,19,0.7308,185,108,36,78,5,2,18,3,,116.2,1.2671,7.1154,0.1987,9.7368,5.6842,1.8947,11,45.719,45.719,0.1469,48.5,67.5,58,77,67.5,70.5,61,67.5,67.5,67.5,58,67.5,67.5,10,4,2,0.0068,0.0769,3,5,0.2632,2,,
Darnell Mooney,ATL,WR,171,No,No,No,171,No,Yes,,0.4386,0.5614,15,35,20,0.5714,3,0.2047,12,0.3429,150,26,5,447,,,32,12.7714,4,48.5,0.8772,4.2857,-4.6739,12.5,2.1667,0.4167,11,64.3718,64.3718,0.2047,15,27,21,27,27,30,24,27,27,27,21,27,27,5,6,4,,0.1143,1,1,0.0833,,,
