teamTeamId,teamLocation,teamNickname,teamIsHomeTeam,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingAttemptsInEndzoneTotal,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingDropsYardsLost,opponentStatsPassingDropsPercentage,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingInterceptionsTotal,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingOffTargetThrowAttemptsPercentage,opponentStatsPassingTowThrowPercentage,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingDeepThrowAttemptsTotal,opponentStatsPassingDeepThrowAttemptsPercentage,opponentStatsPassingHeroThrowPercentage
1,Arizona,Cardinals,,LA,NFC,NFC West,Open,Open,Cover 2,17,118,118,0.8389830508474576,,84,0.711864406779661,0.7711864406779662,0.02161083918644069,68,0.059322033898305086,856,7.254237288135593,0.3703271028037383,6.491525423728813,850,,2,3,No,No,29,0.2457627118644068,-0.09301186440677967,No,0.00847457627118644,0.15254237288135594,0.025423728813559324,0.6864406779661016,0.6610169491525424,2.538983050847458,2.493103448275862,7.203389830508475,84.6,No,Yes,48,1,0.00847457627118644,0.00847457627118644
4,Buffalo,Bills,True,NYJ,AFC,AFC East,Closed,Closed,Cover 3,17,82,82,0.8536585365853658,2,56,0.6829268292682927,0.7560975609756098,0.012516140365853579,47,0.07317073170731707,557,6.7926829268292686,0.27289048473967686,6.7317073170731705,624,2,1,1,No,No,19,0.23170731707317074,-0.14494024390243904,No,,0.13414634146341464,0.012195121951219513,0.7073170731707317,0.5975609756097561,2.7585365853658534,2.731578947368421,7.609756097560975,90.3,No,Yes,29,1,0.012195121951219513,0.012195121951219513
24,New York,Giants,True,DAL,NFC,NFC East,Closed,Closed,Cover 3,17,102,102,0.8529411764705882,3,72,0.7058823529411765,0.7843137254901961,0.043224806607843114,55,0.0784313725490196,733,7.186274509803922,0.2605729877216917,7.137254901960785,784,2,1,2,No,No,35,0.3431372549019608,-0.038802450980392166,Yes,0.00980392156862745,0.14705882352941177,,0.7058823529411765,0.7156862745098039,2.7892156862745097,2.58,7.686274509803922,93.3,No,No,37,2,0.0196078431372549,
14,Indianapolis,Colts,,HST,AFC,AFC South,Closed,Closed,Cover 1,17,99,99,0.8787878787878788,4,75,0.7575757575757576,0.8181818181818182,0.07818560415151521,51,0.06060606060606061,751,7.585858585858586,0.31158455392809586,7.9393939393939394,767,4,1,3,Yes,No,26,0.26262626262626265,-0.12814343434343434,Yes,0.020202020202020204,0.09090909090909091,0.030303030303030304,0.5656565656565656,0.7272727272727273,2.8404040404040405,2.7115384615384617,7.747474747474747,106.1,No,Yes,40,3,0.030303030303030304,0.010101010101010102
10,Denver,Broncos,True,LAC,AFC,AFC West,Open,Open,Cover 4,17,77,77,0.8441558441558441,1,53,0.6883116883116883,0.7532467532467533,-0.0017843389740259674,30,0.06493506493506493,480,6.233766233766234,0.2916666666666667,5.64935064935065,544,,1,,No,No,18,0.23376623376623376,-0.09313116883116881,No,0.012987012987012988,0.14285714285714285,0.05194805194805195,0.8051948051948052,0.7012987012987013,2.47012987012987,2.3777777777777778,7.064935064935065,80,No,Yes,24,2,0.025974025974025976,
28,Seattle,Seahawks,,SF,NFC,NFC West,Open,Open,Cover 4,17,88,88,0.875,1,66,0.75,0.8068181818181818,0.03227763237499992,33,0.056818181818181816,519,5.8977272727272725,0.3448940269749518,4.590909090909091,540,1,3,2,No,Yes,26,0.29545454545454547,-0.012680681818181817,No,,0.09090909090909091,0.011363636363636364,0.5909090909090909,0.6704545454545454,2.3613636363636363,2.2576923076923077,6.136363636363637,78.7,No,Yes,20,,,0.011363636363636364
31,Tennessee,Titans,,JAX,AFC,AFC South,Closed,Closed,Cover 1,17,102,102,0.8725490196078431,1,80,0.7843137254901961,0.7941176470588235,0.030171550323529472,11,0.00980392156862745,777,7.617647058823529,0.38738738738738737,7.176470588235294,684,,1,,No,No,22,0.21568627450980393,-0.11382696078431369,No,0.0196078431372549,0.10784313725490197,0.00980392156862745,0.696078431372549,0.7647058823529411,2.485294117647059,2.3636363636363638,6.705882352941177,94.3,Yes,Yes,37,2,0.0196078431372549,0.00980392156862745
22,New England,Patriots,True,MIA,AFC,AFC East,Closed,Open,Cover 2,17,102,102,0.9215686274509803,,85,0.8333333333333334,0.8811881188118812,0.11545648041584167,34,0.0392156862745098,779,7.637254901960785,0.3453145057766367,7.392156862745098,665,1,1,3,No,No,35,0.3431372549019608,-0.011743627450980417,No,,0.058823529411764705,0.00980392156862745,0.5588235294117647,0.6470588235294118,2.6323529411764706,2.568571428571429,6.686274509803922,97.7,No,Yes,34,1,0.00980392156862745,
30,Tampa Bay,Buccaneers,True,CAR,NFC,NFC South,Open,Open,Cover 2,17,104,104,0.8269230769230769,4,78,0.75,0.75,-0.0028955271250000747,,,661,6.355769230769231,0.2783661119515885,4.576923076923077,726,2,5,4,No,No,28,0.2692307692307692,-0.08322067307692307,No,,0.14423076923076922,0.07692307692307693,0.6538461538461539,0.6634615384615384,2.618269230769231,2.5749999999999997,6.980769230769231,77.4,No,Yes,39,2,0.019230769230769232,0.009615384615384616
17,Los Angeles,Rams,True,ARZ,NFC,NFC West,Open,Open,Cover 2,17,121,121,0.8347107438016529,2,89,0.7355371900826446,0.7603305785123967,0.023161765818181856,16,0.024793388429752067,882,7.289256198347108,0.2619047619047619,6.132231404958677,950,2,4,2,No,No,31,0.256198347107438,-0.08725661157024794,No,0.008264462809917356,0.1487603305785124,0.04132231404958678,0.6942148760330579,0.6776859504132231,2.5661157024793386,2.435483870967742,7.851239669421488,85.5,No,Yes,56,4,0.03305785123966942,
12,Green Bay,Packers,,MIN,NFC,NFC North,Closed,Closed,Cover 3,17,133,133,0.8571428571428571,2,104,0.7819548872180451,0.8120300751879699,0.04179896018045104,15,0.03007518796992481,877,6.593984962406015,0.29076396807297605,6.406015037593985,854,1,1,7,No,No,45,0.3383458646616541,-0.017179699248120305,No,0.007518796992481203,0.13533834586466165,0.015037593984962405,0.6090225563909775,0.6541353383458647,2.63609022556391,2.428888888888889,6.421052631578948,93.5,Yes,Yes,42,3,0.022556390977443608,0.015037593984962405
3,Baltimore,Ravens,,PIT,AFC,AFC North,Closed,Open,Cover 2,17,94,94,0.8723404255319149,3,75,0.7978723404255319,0.8404255319148937,0.08211239185106389,33,0.0425531914893617,672,7.148936170212766,0.2961309523809524,6.882978723404255,648,1,1,1,Yes,No,25,0.26595744680851063,-0.0793053191489362,No,0.02127659574468085,0.10638297872340426,0.010638297872340425,0.7340425531914894,0.6914893617021277,2.576595744680851,2.528,6.8936170212765955,95.6,No,Yes,27,3,0.031914893617021274,
