teamTeamId,teamLocation,teamNickname,opponentAbbreviation,opponentConference,opponentDivisionName,playDefenseMiddleOfTheFieldLookPreName,playDefenseMiddleOfTheFieldLookPostName,playDefenseCoverageSchemeParent,teamStatsGamesPlayed,opponentStatsPassingDropbacksTotal,opponentStatsPassingAttemptsTotal,opponentStatsPassingAttemptsCatchablePercentage,opponentStatsPassingCompletionsTotal,opponentStatsPassingCompletionsPercentage,opponentStatsPassingCompletionsAdjustedPercentage,opponentStatsPassingCompletionsOverExpected,opponentStatsPassingYardsTotal,opponentStatsPassingYardsPerAttempt,opponentStatsPassingYardsAfterCatchPercentage,opponentStatsPassingYardsAdjustedNetPercentage,opponentStatsPassingYardsAirTotal,opponentStatsPassingTouchdownsTotal,opponentStatsPassingPlayActionLabel,opponentStatsPassingPressuredLabel,opponentStatsPassingPressuredTotal,opponentStatsPassingPressuredPercentage,opponentStatsPassingPressuredOverExpected,opponentStatsPassingBlitzedLabel,opponentStatsPassingTargetedReadFirstPercentage,opponentStatsPassingThrowAccuracyHighlyAccuratePercentage,opponentStatsPassingAverageTimeToThrow,opponentStatsPassingAverageTimeToPressure,opponentStatsPassingAverageDepthOfTarget,opponentStatsPassingPasserRating,opponentStatsReceivingTargetsContestedLabel,opponentStatsReceivingTargetsCatchableLabel,opponentStatsFirstDownsPassing,opponentStatsPassingSackedAvoidedTotal,opponentStatsPassingOffTargetThrowAttemptsPercentage,teamIsHomeTeam,opponentStatsPassingTargetedReadCheckdownPercentage,opponentStatsPassingRunPassOptionPercentage,opponentStatsPassingInterceptionsTotal,opponentStatsPassingTowThrowPercentage
18,Los Angeles,Chargers,DEN,AFC,AFC West,Open,Closed,Cover 3,4,2,2,1,2,1,1,0.11867421499999997,10,5,0.9,15,1,1,No,Yes,1,0.5,0.12482499999999996,No,0.5,1,2.75,2.7,0.5,127.1,No,Yes,1,,,,,,,
29,San Francisco,49ers,CLV,AFC,AFC North,Closed,Closed,Cover 1,3,1,1,,,,,-0.894773764,,,,,,,Yes,No,1,1,0.46094999999999997,No,,,3.7,3.3,,39.6,No,Yes,,1,1,,,,,
16,Kansas City,Chiefs,LAC,AFC,AFC West,Open,Closed,Cover 3,1,1,1,,,,,-0.824362606,,,,,4,,No,Yes,1,1,0.46094999999999997,No,,,3.7,2.6,4,39.6,No,No,,,1,,,,,
6,Chicago,Bears,GB,NFC,NFC North,Open,Closed,Cover 3,2,1,1,1,1,1,1,0.06430062599999997,4,4,1.5,4,-2,,Yes,No,,,-0.1768,No,1,1,1.6,,-2,83.3,No,Yes,,,,,,,,
3,Baltimore,Ravens,CIN,AFC,AFC North,Open,Open,Cover 2,2,2,2,1,2,1,1,0.21827649449999997,23,11.5,0.5652173913043478,11.5,10,,No,Yes,2,1,0.39195,Yes,,0.5,4.1,2.0999999999999996,5,114.6,No,Yes,,1,,True,0.5,,,
2,Atlanta,Falcons,BUF,AFC,AFC East,Closed,Closed,Cover 3,1,1,1,,,,,-0.711892797,,,,,8,,No,Yes,1,1,0.5817,Yes,,,3,1.7,8,39.6,No,No,,,1,True,,,,
20,Miami,Dolphins,NE,AFC,AFC East,Closed,Closed,Cover 1,2,2,2,1,2,1,1,0.11996900999999993,7,3.5,0.7142857142857143,13.5,2,1,Yes,No,,,-0.444175,Yes,0.5,1,3.15,,1,120.8,No,Yes,1,,,,,,,
25,New York,Jets,DAL,NFC,NFC East,Open,Closed,Cover 3,1,1,1,1,1,1,1,0.07618632999999997,1,1,2,1,-1,,Yes,No,,,-0.1423,Yes,1,1,1.4,,-1,79.2,No,Yes,,,,True,,,,
32,Washington,Commanders,SEA,NFC,NFC West,Open,Open,Cover 6,2,2,2,1,2,1,1,0.122640325,20,10,0.85,10,3,,No,Yes,1,0.5,0.1507,No,0.5,1,2.6,2.7,1.5,108.3,No,Yes,1,1,,True,0.5,,,
8,Cleveland,Browns,BUF,AFC,AFC East,Closed,Closed,Cover 1,3,4,4,1,4,1,1,0.14391522275000002,5,1.25,1.2,1.25,-1,,Yes,Yes,3,0.75,0.20232499999999998,No,0.25,0.75,3.75,2.6666666666666665,-0.25,79.2,No,Yes,1,,,True,0.25,,,
7,Cincinnati,Bengals,BLT,AFC,AFC North,Open,Open,Cover 2,2,1,1,1,1,1,1,0.06430062599999997,10,10,1.2,10,-2,,No,Yes,,,-0.15955,Yes,1,1,1.5,,-2,108.3,No,Yes,,,,,,,,
12,Green Bay,Packers,CHI,NFC,NFC North,Open,Closed,Cover 3,1,1,1,1,1,1,1,0.06275862099999996,8,8,1.625,8,-5,,Yes,No,,,-0.3493,No,1,1,2.6,,-5,100,No,Yes,1,,,True,,,,
